question,subject,choices,answer,question_id,gold_answer,gold_position,modified_options,Predicted_token_ID,Normalized_A_probs,Normalized_B_probs,Normalized_C_probs,Normalized_D_probs,predicted_token
"Question: According to Bentham, a moral sanction is:
Options: 
B. pleasure or pain inflicted by a judge in accordance with a rule.
A. pleasure or pain inflicted by chance members of the community.
C. pleasure or pain that it is permissible to inflict on someone.
D. none of the above.
Answer: 
",philosophy,"['pleasure or pain inflicted by chance members of the community.'
 'pleasure or pain inflicted by a judge in accordance with a rule.'
 'pleasure or pain that it is permissible to inflict on someone.'
 'none of the above.']",0,34,A,1,BACD,B,0.0028184093534786,0.9956146826587275,0.0014621715046444,0.0001047364831493,B
"Question: Descartes had been disillusioned by his discovery that many of the alleged truths learned in his youth were _____.
Options: 
A. contrary to his religion
C. FALSE
B. TRUE
D. beyond question
Answer: 
",philosophy,['contrary to his religion' 'TRUE' 'FALSE' 'beyond question'],2,45,C,1,ACBD,1,0.0062868593347984,0.9514553426411572,0.0413977751486323,0.000860022875412,B
"Question: According to Bentham, a moral sanction is:
Options: 
D. none of the above.
B. pleasure or pain inflicted by a judge in accordance with a rule.
C. pleasure or pain that it is permissible to inflict on someone.
A. pleasure or pain inflicted by chance members of the community.
Answer: 
",philosophy,"['pleasure or pain inflicted by chance members of the community.'
 'pleasure or pain inflicted by a judge in accordance with a rule.'
 'pleasure or pain that it is permissible to inflict on someone.'
 'none of the above.']",0,34,A,3,DBCA,D,0.026888297498588,0.0246740904843907,0.0042877137382843,0.9441498982787369,D
"Question: Singer claims that his argument upsets the traditional distinction between:
Options: 
B. egoism and altruism.
A. duty and charity.
C. rights and privileges.
D. positive and negative rights.
Answer: 
",philosophy,"['duty and charity.' 'egoism and altruism.' 'rights and privileges.'
 'positive and negative rights.']",0,21,A,1,BACD,B,0.0147231550358945,0.981066549899888,0.0039088750168284,0.0003014200473888,B
"Question: Like most rationalists, Plato defines knowledge as justified true belief.  In terms of this definition, we might be able to claim to know something as true which might actually be false, but it is impossible for us really to know something that is false.  Why?
Options: 
C. Because we cannot give a justification or reason for believing in something that is false.
B. Because what we know as true is ultimately based on what we claim to know as true.
A. Because to know something that is false is to know no real thing, nothing (i.e., not to know at all).
D. Because in contrast to our knowledge of the unchanging Forms, beliefs about particular objects can change.
Answer: 
",philosophy,"['Because to know something that is false is to know no real thing, nothing (i.e., not to know at all).'
 'Because what we know as true is ultimately based on what we claim to know as true.'
 'Because we cannot give a justification or reason for believing in something that is false.'
 'Because in contrast to our knowledge of the unchanging Forms, beliefs about particular objects can change.']",0,57,A,2,CBAD,C,0.0301670094552318,0.0013782456487897,0.9682583112891676,0.0001964336068105,C
"Question: Berkeley insists that heat and cold are _____.
Options: 
A. illusions
B. physical objects
C. only things existing apart from our minds
D. only sensations existing in our minds
Answer: 
",philosophy,"['illusions' 'physical objects'
 'only things existing apart from our minds'
 'only sensations existing in our minds']",3,67,D,3,ABCD,1,0.0938880489947431,0.2007115515691896,0.3808835650881542,0.324516834347913,C
"Question: An important formal characteristic of art is_____.
Options: 
A. social meaning
D. coherence
C. its power to evoke strong emotions
B. faithful representation
Answer: 
",philosophy,"['social meaning' 'faithful representation'
 'its power to evoke strong emotions' 'coherence']",3,43,D,1,ADCB,1,0.0071748403725961,0.9161590212710836,0.0416935374871419,0.0349726008691783,B
"Question: According to Hume, justice:
Options: 
A. has no value.
B. has value in part because it is useful to society.
C. has value solely because it is useful to society.
D. has value solely because it is useful to the agent.
Answer: 
",philosophy,"['has no value.' 'has value in part because it is useful to society.'
 'has value solely because it is useful to society.'
 'has value solely because it is useful to the agent.']",2,37,C,2,ABCD,B,0.0056823022263319,0.964994112677324,0.0235065313977122,0.0058170536986318,B
"Question: Plato's suggestion that knowledge is innate or remembered as a result of being triggered by experience is in response to a paradox he sets up for himself.  The paradox, now referred to as Meno's Paradox, has to do with the question of:
Options: 
A. how a person can remember anything about the realm of the Forms after the shock of being born into this world.
B. how knowledge of the Forms can ever be anything other than a generalization of experience.
C. how anyone can recognize the correct answer to a question without already knowing the answer.
D. how concepts bound to the realm of becoming have meaning only when associated with the realm of Being.
Answer: 
",philosophy,"['how a person can remember anything about the realm of the Forms after the shock of being born into this world.'
 'how knowledge of the Forms can ever be anything other than a generalization of experience.'
 'how anyone can recognize the correct answer to a question without already knowing the answer.'
 'how concepts bound to the realm of becoming have meaning only when associated with the realm of Being.']",2,44,C,2,ABCD,B,0.0017661880348425,0.991185421702214,0.0053663703019617,0.0016820199609816,B
"Question: Taurek claims that if faced with the choice between saving the life of X or the arm of Y:
Options: 
A. Y is obligated to choose saving the life of X.
B. we are obligated to choose saving the life of X.
C. both a and b.
D. neither a nor b.
Answer: 
",philosophy,"['Y is obligated to choose saving the life of X.'
 'we are obligated to choose saving the life of X.' 'both a and b.'
 'neither a nor b.']",3,41,D,3,ABCD,C,0.0322770024696995,0.0713304788521634,0.8555107907318817,0.0408817279462552,C
