question,subject,choices,answer,question_id,gold_answer,modified_options,Predicted_token_ID,Normalized_A_probs,Normalized_B_probs,Normalized_C_probs,Normalized_D_probs
"Question: This question refers to the following information.
Source 1:
""Moreover, Sir, in our Kingdoms there is another great inconvenience which is of little service to God, and this is that many of our people, keenly desirous as they are of the wares and things of your Kingdoms, which are brought here by your people, and in order to satisfy their voracious appetite, seize many of our people, freed and exempt men, and very often it happens that they kidnap even noblemen and our relatives, and take them to be sold to the white men who are in our kingdoms.""
Letter from King Afonso I of Kongo to King John III of Portugal, 1526
Source 2:
""This expedition has cost us much: it would be unreasonable to send it home with empty hands. Although our [principal] wish is to serve God and the pleasure of the king of Kongo, none the less you will make him understand—as though speaking in our name—what he should do to fill the ships, whether with slaves, or copper, or ivory.""
Instructions from King Manuel of Portugal to his envoy in Kongo, 1512
The tone of the first letter best reflects which of the following developments in early modern Africa?
Options: 
B. A growing dependence on trade with Europe for manufactured goods
A. Vigorous resistance to European expeditions of conquest
C. The establishment of Portuguese trading posts along the coastline
D. The consolidation of states along the Atlantic coast of Africa
Answer: 
",high_school_world_history,"['A growing dependence on trade with Europe for manufactured goods'
 'Vigorous resistance to European expeditions of conquest'
 'The establishment of Portuguese trading posts along the coastline'
 'The consolidation of states along the Atlantic coast of Africa']",0,2,B,BACD,"
",0.25832931975315826,0.3954469186214557,0.17547850522926542,0.1707452563961206
"Question: For all sensory systems except olfaction, the afferent sensory pathways include the
Options: 
A. cerebellum
B. thalamus
C. caudate nucleus
D. inferior colliculus
Answer: 
",professional_psychology,['cerebellum' 'thalamus' 'caudate nucleus' 'inferior colliculus'],1,86,B,ABCD,"
",0.15374441157032762,0.42783137670138527,0.08261554458064056,0.3358086671476465
"Question: You receive a call from Mrs. Wang who is very upset because her 14-year-old daughter witnessed the assault of her best friend three days ago and is very distraught. The girl hasn’t slept, won’t eat, and can’t stop crying. You have limited experience working with adolescents and in providing crisis intervention services. However, there is no one else in the community who is more experienced than you are. As an ethical psychologist, you will:
Options: 
D. agree to see Mrs. Wang’s daughter in therapy since you’ve had some experience providing crisis intervention experiences.
B. inform Mrs. Wang about your lack of experience and let her decide if she wants you to provide therapy to her daughter.
C. inform Mrs. Wang that you cannot see her daughter because of your lack of experience.
A. see Mrs. Wang’s daughter in therapy only until the crisis has ended or until you locate alternative services.
Answer: 
",professional_psychology,"['agree to see Mrs. Wang’s daughter in therapy since you’ve had some experience providing crisis intervention experiences.'
 'inform Mrs. Wang about your lack of experience and let her decide if she wants you to provide therapy to her daughter.'
 'inform Mrs. Wang that you cannot see her daughter because of your lack of experience.'
 'see Mrs. Wang’s daughter in therapy only until the crisis has ended or until you locate alternative services.']",3,43,A,DBCA,A,0.7691578001377404,0.16504755025119583,0.027798543913411588,0.0379961056976522
"Question: There are several methods for estimating the test reliability, like the INTERNAL CONSISTENCY RELIABILITY for example. From your knowledge about this topic, find the correct definition of it.
Options: 
A. administer 2 equivalent forms of a test to same people and correlate
C. administer test twice to same people and then correlate scores
B. correlations among individual test items
D. they are not used for an unstable trait
Answer: 
",professional_psychology,"['administer 2 equivalent forms of a test to same people and correlate'
 'administer test twice to same people and then correlate scores'
 'correlations among individual test items'
 'they are not used for an unstable trait']",2,55,B,ACBD,A,0.30492703902898216,0.5227665623471601,0.10016224147789368,0.07214415714596407
"Question: In conducting a study on the relationship between depression and academic achievement, you are collecting third-grade children’s self- report data and their scores on a standardized achievement test. Parents have given informed consent to allow you to assess their children, but two children tell you that they do not want to participate in the study. At this point, which of the following is your most appropriate course of action regarding these two children
Options: 
A. Since the parents have consented to participation, the children can be included in the study
D. You can ask the teacher to discuss with the children why they do not want to participate
C. You can obtain information about the children from the teacher, bur cannot collect the children’s self-report data
B. The children should not be included in the study
Answer: 
",professional_psychology,"['Since the parents have consented to participation, the children can be included in the study'
 'You can ask the teacher to discuss with the children why they do not want to participate'
 'You can obtain information about the children from the teacher, bur cannot collect the children’s self-report data'
 'The children should not be included in the study']",3,72,B,ADCB,B,0.08983924799291952,0.7944971736656834,0.06031521707691698,0.05534836126448008
"Question: This question refers to the following information.
""The struggle against neo-colonialism is not aimed at excluding the capital of the developed world from operating in less developed countries. It is aimed at preventing the financial power of the developed countries being used in such a way as to impoverish the less developed.
Non-alignment, as practiced by Ghana and many other countries, is based on co-operation with all States whether they be capitalist, socialist or have a mixed economy. Such a policy, therefore, involves foreign investment from capitalist countries, but it must be invested in accordance with a national plan drawn up by the government of the non-aligned State with its own interests in mind. The issue is not what return the foreign investor receives on his investments…The question is one of power. A State in the grip of neo-colonialism is not master of its own destiny.""
Kwame Nkrumah, Neo-Colonialism, 1965
Which of the following is referenced by the co-operation mentioned in the second paragraph?
Options: 
A. The competing ideologies of the Cold War
B. The competing ideologies of World War II
C. The competing empires of World War I
D. The competing colonization companies in the Scramble for Africa
Answer: 
",high_school_world_history,"['The competing ideologies of the Cold War'
 'The competing ideologies of World War II'
 'The competing empires of World War I'
 'The competing colonization companies in the Scramble for Africa']",0,34,A,ABCD,"
",0.12994947547521377,0.400272579275701,0.12065400579574263,0.34912393945334264
"Question: This question refers to the following information.
""The struggle against neo-colonialism is not aimed at excluding the capital of the developed world from operating in less developed countries. It is aimed at preventing the financial power of the developed countries being used in such a way as to impoverish the less developed.
Non-alignment, as practiced by Ghana and many other countries, is based on co-operation with all States whether they be capitalist, socialist or have a mixed economy. Such a policy, therefore, involves foreign investment from capitalist countries, but it must be invested in accordance with a national plan drawn up by the government of the non-aligned State with its own interests in mind. The issue is not what return the foreign investor receives on his investments…The question is one of power. A State in the grip of neo-colonialism is not master of its own destiny.""
Kwame Nkrumah, Neo-Colonialism, 1965
Which of the following is referenced by the co-operation mentioned in the second paragraph?
Options: 
B. The competing ideologies of the Cold War
A. The competing ideologies of World War II
C. The competing empires of World War I
D. The competing colonization companies in the Scramble for Africa
Answer: 
",high_school_world_history,"['The competing ideologies of the Cold War'
 'The competing ideologies of World War II'
 'The competing empires of World War I'
 'The competing colonization companies in the Scramble for Africa']",0,34,B,BACD,"
",0.2058116688768944,0.40612015039647154,0.12483107071672939,0.2632371100099047
"Question: Which of the following would be the most dependable environmental signal that a plant in a temperate ecosystem could use to initiate flowering at the correct time of the year?
Options: 
A. Circadian rhythm
C. Photoperiod
B. Changing air temperature
D. Fluctuations in abscisic acid levels
Answer: 
",college_biology,"['Circadian rhythm' 'Photoperiod' 'Changing air temperature'
 'Fluctuations in abscisic acid levels']",1,71,C,ACBD,A,0.23714884898718558,0.5323396828973334,0.17148045361315742,0.05903101450232368
"Question: If, during a postexamination discussion with parents, a psychologist establishes that a child’s new pediatrician is apparently unaware of the child's history of brain damage. which is very important in understanding the problem situation, the psychologist should
Options: 
A. tell the parents that he/she will inform the pediatrician
C. urge the parents to grant him/her permission to inform the pediatrician
B. cell the parents char be/she is legally obligated to inform the pediatrician
D. cell the parents that it is their responsibility to inform the pediatrician
Answer: 
",professional_psychology,"['tell the parents that he/she will inform the pediatrician'
 'urge the parents to grant him/her permission to inform the pediatrician'
 'cell the parents char be/she is legally obligated to inform the pediatrician'
 'cell the parents that it is their responsibility to inform the pediatrician']",1,18,C,ACBD,C,0.160878859925685,0.3186984593745974,0.2530979561257255,0.2673247245739921
"Question: Which of the following is the proper comparison rate for studying the effectiveness of a new psychotherapy
Options: 
A. Incidence in the population of the disorder being eared
B. Relapse in those who experience spontaneous remission
D. Cure rate for the currently most effective therapists
C. Cure rare for current treatment modalities
Answer: 
",professional_psychology,"['Incidence in the population of the disorder being eared'
 'Relapse in those who experience spontaneous remission'
 'Cure rate for the currently most effective therapists'
 'Cure rare for current treatment modalities']",3,5,C,ABDC,A,0.29318243334530686,0.25273904949255405,0.4118415806670904,0.0422369364950487
