question,subject,choices,answer,question_id,gold_answer,modified_options,Predicted_token_ID,Normalized_A_probs,Normalized_B_probs,Normalized_C_probs,Normalized_D_probs
"Question: The four big moons of Jupiter are Callisto Europa Ganymede and Io. Which one of them has the smallest distance to Jupiter?
Options: 
A. Callisto
B. Europa
D. Ganymede
C. Io
Answer: 
",astronomy,['Callisto' 'Europa' 'Ganymede' 'Io'],3,5,C,ABDC,n,0.3826308804927142,0.1375012863195943,0.2734539630232903,0.20641387016440124
"Question: How do we think the ""hot Jupiters"" around other stars were formed?
Options: 
A. They where formed when their stars flung material out into the system in a process similar to planetary fission.
B. They formed as gas giants beyond the frost line and then migrated inwards.
C. They formed as dense rocky planets close to the star in the same orbits that they are seen today.
D. They formed as gas giants close to the star in the same orbits that they are seen today.
Answer: 
",astronomy,"['They where formed when their stars flung material out into the system in a process similar to planetary fission.'
 'They formed as gas giants beyond the frost line and then migrated inwards.'
 'They formed as dense rocky planets close to the star in the same orbits that they are seen today.'
 'They formed as gas giants close to the star in the same orbits that they are seen today.']",1,89,B,ABCD,n,0.3227733489329329,0.2655061078155096,0.1623006203472753,0.24941992290428217
"Question: Kirkwood gaps are observed in the main asteroid belt including at the position(s) where:
Options: 
D. asteroids would orbit with a period half that of Jupiter
B. asteroids would orbit with a period twice that of Jupiter
C. asteroids would orbit with a period twice that of Mars
A. A and B
Answer: 
",astronomy,"['asteroids would orbit with a period half that of Jupiter'
 'asteroids would orbit with a period twice that of Jupiter'
 'asteroids would orbit with a period twice that of Mars' 'A and B']",0,67,D,DBCA,A,0.4459074274725977,0.14363838809413784,0.12479517681888411,0.28565900761438034
"Question: The resolution of a telescope is a measure of its:
Options: 
A. Ability to magnify distant objects
B. Ability to measure the angular separation of objects
C. Ability to measure the distance between objects
D. Light-collecting efficiency
Answer: 
",astronomy,"['Ability to magnify distant objects'
 'Ability to measure the angular separation of objects'
 'Ability to measure the distance between objects'
 'Light-collecting efficiency']",1,28,B,ABCD,A,0.6534305980784154,0.12087251129451829,0.14131428029619866,0.08438261033086766
"Question: By locating the north celestial pole (NCP) in the sky how can you determine your latitude?
Options: 
A. The azimuth of the NCP is the angular distance from the North Pole.
B. The azimuth of the NCP is the same as your latitude.
D. The altitude of the NCP is the same as your latitude.
C. The altitude of the NCP is your angular distance from the North Pole.
Answer: 
",astronomy,"['The azimuth of the NCP is the angular distance from the North Pole.'
 'The azimuth of the NCP is the same as your latitude.'
 'The altitude of the NCP is the same as your latitude.'
 'The altitude of the NCP is your angular distance from the North Pole.']",2,68,D,ABDC,e,0.4475750241523349,0.19553104950195985,0.20814173165133332,0.14875219469437195
"Question: The nebular theory of the formation of the solar system successfully predicts all but one of the following. Which one does the theory not predict?
Options: 
A. Planets orbit around the Sun in nearly circular orbits in a flattened disk.
C. the equal number of terrestrial and jovian planets
B. the craters on the Moon
D. asteroids Kuiper-belt comets and the Oort cloud
Answer: 
",astronomy,"['Planets orbit around the Sun in nearly circular orbits in a flattened disk.'
 'the equal number of terrestrial and jovian planets'
 'the craters on the Moon'
 'asteroids Kuiper-belt comets and the Oort cloud']",1,25,C,ACBD,e,0.3324319023804819,0.23944171743180157,0.23572954034370217,0.19239683984401434
"Question: The terrestrial planet cores contain mostly metal because
Options: 
A. the entire planets are made mostly of metal.
D. radioactivity created metals in the core from the decay of uranium.
C. metals condensed first in the solar nebula and the rocks then accreted around them.
B. metals differentiated to the center during a time when the interiors were molten throughout.
Answer: 
",astronomy,"['the entire planets are made mostly of metal.'
 'radioactivity created metals in the core from the decay of uranium.'
 'metals condensed first in the solar nebula and the rocks then accreted around them.'
 'metals differentiated to the center during a time when the interiors were molten throughout.']",3,74,B,ADCB,C,0.22808065278094206,0.2334894325411749,0.32416797591882973,0.2142619387590533
"Question: Where is the crater from the impact that is believed to be responsible for the mass extinction of dinosaurs 65 million years ago?
Options: 
A. Tunguska Siberia.
D. Chicxulub Crater Yucatan Peninsula in Mexico.
C. Quebec Canada.
B. Meteor Crater in Arizona.
Answer: 
",astronomy,"['Tunguska Siberia.' 'Chicxulub Crater Yucatan Peninsula in Mexico.'
 'Quebec Canada.' 'Meteor Crater in Arizona.']",1,60,D,ADCB,B,0.187667751434615,0.32426077872867415,0.23355628154835048,0.25451518828836034
"Question: The name of the black hole in the center of our Milky Way is ...
Options: 
A. Altair A*
B. Alsephina A*
D. Fomalhaut A*
C. Sagittarius A*
Answer: 
",astronomy,['Altair A*' 'Alsephina A*' 'Fomalhaut A*' 'Sagittarius A*'],3,93,C,ABDC,e,0.33397754621748404,0.1338890122738459,0.3668025631722639,0.16533087833640617
"Question: Which living organisms most resemble the common ancestor of all life according to genetic testing?
Options: 
A. viruses
B. bacteria such as E. coli
C. organisms living deep in the oceans around seafloor volcanic vents and in hot springs
D. plankton that use sunlight as an energy source through photosynthesis
Answer: 
",astronomy,"['viruses' 'bacteria such as E. coli'
 'organisms living deep in the oceans around seafloor volcanic vents and in hot springs'
 'plankton that use sunlight as an energy source through photosynthesis']",2,57,C,ABCD,A,0.3810394440754161,0.23475159299198142,0.23844838659016943,0.14576057634243306
