question,subject,choices,answer,question_id,gold_answer,modified_options,Predicted_token_ID,Normalized_A_probs,Normalized_B_probs,Normalized_C_probs,Normalized_D_probs
"Question: A 42-year-old woman comes to the physician because of a 1-year history of vaginal bleeding for 2 to 5 days every 2 weeks. The flow varies from light to heavy with passage of clots. Menses previously occurred at regular 25- to 29-day intervals and lasted for 5 days with normal flow. She has no history of serious illness and takes no medications. She is sexually active with one male partner, and they use condoms inconsistently. Her mother died of colon cancer, and her maternal grandmother died of breast cancer. She is 163 cm (5 ft 4 in) tall and weighs 77 kg (170 lb); BMI is 29 kg/m2 . Her temperature is 36.6°C (97.8°F), pulse is 90/min, respirations are 12/min, and blood pressure is 100/60 mm Hg. The uterus is normal sized. The ovaries cannot be palpated. The remainder of the examination shows no abnormalities. Test of the stool for occult blood is negative. Which of the following is the most appropriate next step in diagnosis?
Options: 
D. Progesterone challenge test
B. Colposcopy
C. Cystoscopy
A. Endometrial biopsy
Answer: 
",professional_medicine,"['Progesterone challenge test' 'Colposcopy' 'Cystoscopy'
 'Endometrial biopsy']",3,98,A,DBCA,d,0.40036544928585915,0.16820612976322402,0.13621748216228347,0.2952109387886333
"Question: A 52-year-old man comes to the physician with his wife because of a 1-year history of excessive daytime sleepiness. He does not think the symptoms are problematic, but his wife is concerned because he sometimes falls asleep on the sofa early in the evening when guests are present. He also once fell asleep while driving at night and drove off the road, narrowly avoiding injury. His wife says that he has always snored loudly, and over the past year, he has had episodes of choking or gasping for breath while sleeping. He is 178 cm (5 ft 10 in) tall and weighs 105 kg (231 lb); BMI is 33 kg/m2 . His pulse is 76/min, respirations are 14/min, and blood pressure is 150/76 mm Hg. Physical and neurologic examinations show no other abnormalities. Which of the following is most likely to confirm the diagnosis?
Options: 
C. 24-Hour ambulatory ECG monitoring
B. Multiple sleep latency test
A. Polysomnography
D. CT scan of the head
Answer: 
",professional_medicine,"['24-Hour ambulatory ECG monitoring' 'Multiple sleep latency test'
 'Polysomnography' 'CT scan of the head']",2,45,A,CBAD,n,0.43689270040540384,0.2910333086486825,0.20962343280205803,0.06245055814385563
"Question: A previously healthy 17-year-old girl comes to the physician because of a 2-month history of exercise-induced cough and nasal congestion. She plays field hockey and has noticed she coughs when running up and down the field. The cough is nonproductive and resolves with rest. She has not had chest pain or palpitations. She takes no medications and does not smoke. Her sister has asthma. The patient appears well. Her pulse is 68/min, respirations are 16/min, and blood pressure is 100/75 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 99%. Cardiopulmonary examination shows no abnormalities. An x-ray of the chest shows no abnormalities. Spirometry shows an FEV1:FVC ratio of 90% and an FEV1 of 90% of predicted. Which of the following is the most likely diagnosis?
Options: 
C. Asthma
B. Chronic bronchitis
A. Gastroesophageal reflux disease
D. Postnasal drip syndrome
Answer: 
",professional_medicine,"['Asthma' 'Chronic bronchitis' 'Gastroesophageal reflux disease'
 'Postnasal drip syndrome']",0,21,C,CBAD,C,0.26090322839173824,0.22491261550265215,0.39473394860077354,0.11945020750483605
"Question: A 4-year-old boy is brought to the physician because of temperatures to 39.4°C (102.9°F) for 8 days. Examination shows anterior cervical lymphadenopathy, nonexudative conjunctivitis bilaterally, a strawberry tongue, an erythematous truncal rash, and edema of the hands and feet. Which of the following is the most appropriate pharmacotherapy to prevent complications of this illness?
Options: 
D. Intravenous immune globulin
B. Intravenous penicillin
C. Intravenous prednisone
A. Oral isoniazid
Answer: 
",professional_medicine,"['Intravenous immune globulin' 'Intravenous penicillin'
 'Intravenous prednisone' 'Oral isoniazid']",0,73,D,DBCA,D,0.2912735205566797,0.19555180082575294,0.17529149417904968,0.33788318443851767
"Question: A 22-year-old woman comes to the physician in October for a follow-up examination. She feels well. She has a 2-year history of type 1 diabetes mellitus controlled with insulin. She had a normal Pap smear 3 months ago and saw her ophthalmologist 6 months ago. Her 67-year-old grandmother has breast cancer. She is 168 cm (5 ft 6 in) tall and weighs 57 kg (125 lb); BMI is 20 kg/m2 . Her hemoglobin A1c is 6.2%, and fingerstick blood glucose concentration is 118 mg/dL. Which of the following health maintenance recommendations is most appropriate at this time?
Options: 
A. Dietary modification for weight loss
B. Human papillomavirus testing
C. Mammography
D. Influenza virus vaccine
Answer: 
",professional_medicine,"['Dietary modification for weight loss' 'Human papillomavirus testing'
 'Mammography' 'Influenza virus vaccine']",3,23,D,ABCD,n,0.2868481829550894,0.16862934353510933,0.30297208298662287,0.24155039052317837
"Question: A healthy 22-year-old man participates in a study of glucose metabolism. At the beginning of the study, his serum glucose concentration is within the reference range. He consumes an 800-calorie meal consisting of protein, fat, and carbohydrates. He then sleeps through the night without additional food or drink. Twelve hours later, his serum glucose concentration remains within the reference range. Which of the following mechanisms is most likely involved in maintaining this man's serum glucose concentration?
Options: 
C. Continued gut absorption of calories from the ingested meal
B. Glucose release from skeletal muscle
A. Glycogenolysis in the liver
D. Increased leptin release from adipose tissues
Answer: 
",professional_medicine,"['Continued gut absorption of calories from the ingested meal'
 'Glucose release from skeletal muscle' 'Glycogenolysis in the liver'
 'Increased leptin release from adipose tissues']",2,60,A,CBAD,B,0.22155984572836132,0.3149000334022007,0.3124494330809128,0.15109068778852525
"Question: Three weeks ago a 45-year-old man was admitted to the hospital because of frostbite of both feet. He was treated by rapid rewarming and protective care of the feet. All the toes on the right foot have turned black. He has become slightly febrile and progressively more confused during the past few days. Examination discloses cellulitis in the midfoot. Which of the following is the most appropriate treatment?
Options: 
D. Amputation
B. Application of topical collagenase
C. Debridement of necrotic skin over the toes
A. Hyperbaric oxygen
Answer: 
",professional_medicine,"['Amputation' 'Application of topical collagenase'
 'Debridement of necrotic skin over the toes' 'Hyperbaric oxygen']",0,82,D,DBCA,n,0.3719274425921778,0.2119178675541803,0.18701685881189245,0.22913783104174942
"Question: A previously healthy 22-year-old college student is brought to the emergency department by her parents 20 minutes after they observed her having a seizure. After the seizure, she was confused and had difficulty thinking of some words. She has had a headache, cough, and fever for 3 days treated with acetaminophen and dextromethorphan. Her temperature is 38.9°C (102°F). Neurologic examination shows diffuse hyperreflexia. On mental status examination, she is confused and has short-term memory deficits. She has difficulty naming objects and makes literal paraphasic errors. An MRI of the brain shows bitemporal hyperintensities. A lumbar puncture is done; cerebrospinal fluid analysis shows an erythrocyte count of 340/mm3 , a leukocyte count of 121/mm3 (88% monocytes), and a protein concentration of 78 mg/dL. Which of the following is the most likely diagnosis?
Options: 
A. Bacterial meningitis
B. Dextromethorphan intoxication
C. Herpes simplex encephalitis
D. HIV encephalopathy
Answer: 
",professional_medicine,"['Bacterial meningitis' 'Dextromethorphan intoxication'
 'Herpes simplex encephalitis' 'HIV encephalopathy']",2,92,C,ABCD,A,0.4088706057632794,0.24606267705246995,0.19465160078719235,0.15041511639705832
"Question: A 15-year-old girl comes to the emergency department because, she says, ""something has been sticking out of my bottom since I had a bowel movement this morning."" She has not had previous episodes, although for more than 1 year she has had occasional difficulty passing stools. She is not in pain but is afraid to move her bowels for fear that the problem will worsen. She tells you that she moved away from home more than a year ago and that her parents contribute nothing to her support. She has a 6-month-old child and lives with a 28-year-old female cousin. She has never been married and does not work or attend school. She has no other symptoms. In order to follow the correct procedure for treating a minor, which of the following is the most appropriate step prior to evaluating this patient's rectal problem?
Options: 
A. Accept the girl's consent as sufficient
B. Obtain a court order permitting evaluation
C. Obtain the written consent of at least two licensed physicians
D. Obtain written consent from at least one of her parents
Answer: 
",professional_medicine,"[""Accept the girl's consent as sufficient""
 'Obtain a court order permitting evaluation'
 'Obtain the written consent of at least two licensed physicians'
 'Obtain written consent from at least one of her parents']",0,83,A,ABCD,n,0.3030580680882662,0.1823835653635479,0.31267816536424137,0.2018802011839445
"Question: A 65-year-old man who is quadriplegic as a result of multiple sclerosis is hospitalized for treatment of left lower lobe pneumonia. His temperature is 38.1°C (100.5°F), pulse is 95/min, respirations are 12/min, and blood pressure is 120/80 mm Hg. He appears malnourished. Rhonchi are heard at the left lower lobe of the lung on auscultation. Examination of the heart, lymph nodes, abdomen, and extremities shows no abnormalities. There is a 1-cm area of erythema over the sacrum with intact skin and no induration. Neurologic examination shows quadriparesis. Test of the stool for occult blood is negative. Which of the following is the most effective intervention for this patient's skin lesion?
Options: 
D. Frequent turning
B. Use of wet to dry dressings
C. Whirlpool therapy
A. Broad-spectrum antibiotic therapy
Answer: 
",professional_medicine,"['Frequent turning' 'Use of wet to dry dressings' 'Whirlpool therapy'
 'Broad-spectrum antibiotic therapy']",0,88,D,DBCA,n,0.25750620613529085,0.3519692377439698,0.14672260401436368,0.24380195210637565
