question,subject,choices,answer,question_id,gold_answer,modified_options,Predicted_token_ID,Normalized_A_probs,Normalized_B_probs,Normalized_C_probs,Normalized_D_probs
"Question: During his first therapy session, a client tells Dr. Goodwill that he wants to pay for therapy in cash and doesn't want Dr. Goodwill to keep a record of the therapy sessions or his payments. If Dr. Goodwill agrees to this arrangement she has acted:
Options: 
A. ethically as long as she ascertains that the client's reasons for making this request are valid.
D. ethically since it is up to Dr. Goodwill to decide what to include in her therapy records.
C. ethically and legally as long as she includes the client's payments as income on her income tax forms.
B. unethically and possibly illegally.
Answer: 
",professional_psychology,"[""ethically as long as she ascertains that the client's reasons for making this request are valid.""
 'ethically since it is up to Dr. Goodwill to decide what to include in her therapy records.'
 ""ethically and legally as long as she includes the client's payments as income on her income tax forms.""
 'unethically and possibly illegally.']",3,54,B,ADCB,n,0.339269581990269,0.2901926580251112,0.20258712917807264,0.1679506308065471
"Question: Dr. Carl Carlson is a licensed psychologist and professor in the psychology department at a large university. He is approached by a graduate student, Marla M., age 36, who asks him if he’d like to attend a baseball game on Friday night. Dr. Carlson is divorced and finds Marla to be a very attractive woman. In terms of ethical guidelines, if Dr. Carlson accepts Marla’s invitation, he will be:
Options: 
A. clearly violating ethical guidelines.
B. acting ethically since he is not the one who initiated a potential relationship.
C. acting ethically as long as Marla is a student in a department other than the psychology department and will not be taking any classes in the psychology department.
D. acting ethically as long as he does not become sexually involved with Marla until she is no longer affiliated with the university.
Answer: 
",professional_psychology,"['clearly violating ethical guidelines.'
 'acting ethically since he is not the one who initiated a potential relationship.'
 'acting ethically as long as Marla is a student in a department other than the psychology department and will not be taking any classes in the psychology department.'
 'acting ethically as long as he does not become sexually involved with Marla until she is no longer affiliated with the university.']",2,17,C,ABCD,n,0.3639727745726617,0.2073854343650047,0.23684161202197576,0.1918001790403578
"Question: Standardized tests or measures that compare an examinee’s performance to the performance of a specified group of participants are:
Options: 
A. Criterion-referenced testing
D. Functional behavioral assessments
C. Intellectual assessments
B. Norm-referenced tests
Answer: 
",professional_psychology,"['Criterion-referenced testing' 'Functional behavioral assessments'
 'Intellectual assessments' 'Norm-referenced tests']",3,34,B,ADCB,A,0.4430021920012234,0.123017265961341,0.3818917552749662,0.05208878676246934
"Question: Which of the following is not an available tool for assessing suicide risk?
Options: 
C. Beck Hopelessness Scale
B. Beck Scale for Suicidal Ideation
A. The Suicide Action Questionnaire
D. Suicidal Ideation Questionnaire
Answer: 
",professional_psychology,"['Beck Hopelessness Scale' 'Beck Scale for Suicidal Ideation'
 'The Suicide Action Questionnaire' 'Suicidal Ideation Questionnaire']",2,53,A,CBAD,C,0.22918883957408595,0.2169916366617179,0.30600726948500234,0.24781225427919382
"Question: The TRANSTHEORETICAL MODEL OF CHANGE was originally developed to treat addictive behaviors and 5 stages people pass through in the process of change. Which stage is correctly defined?
Options: 
A. PRECONTEMPLATION: intend to take action in next 6 months
B. PREPARATION: consider change in next 6 months
D. ACTION: time and effort into modifying behavior
C. MAINTENANCE: behavior change lasted at least 8 months
Answer: 
",professional_psychology,"['PRECONTEMPLATION: intend to take action in next 6 months'
 'PREPARATION: consider change in next 6 months'
 'ACTION: time and effort into modifying behavior'
 'MAINTENANCE: behavior change lasted at least 8 months']",2,27,D,ABDC,A,0.3253016778099898,0.17142194808191338,0.2915985422823285,0.2116778318257683
"Question: You receive a phone call from Hermann H., age 28, who says he is “totally miserable” because of the recent breakup with his girlfriend and that he would like to begin therapy with you. During the first session with Hermann, you find out that his political views are completely repugnant to you, and you feel that you would not enjoy working with him. As an ethical psychologist, you should:
Options: 
D. consult with another psychologist during the course of treatment to make sure your feelings don’t interfere with your objectivity.
B. discuss the difference in political views with Hermann only if they become relevant to the psychotherapy process.
C. see Hermann in therapy until his current crisis is over and then make a referral if necessary.
A. provide Hermann with appropriate referrals.
Answer: 
",professional_psychology,"['consult with another psychologist during the course of treatment to make sure your feelings don’t interfere with your objectivity.'
 'discuss the difference in political views with Hermann only if they become relevant to the psychotherapy process.'
 'see Hermann in therapy until his current crisis is over and then make a referral if necessary.'
 'provide Hermann with appropriate referrals.']",3,47,A,DBCA,n,0.26777772490666896,0.23083883508956612,0.21855380138296726,0.28282963862079763
"Question: The STANDARD SCORES express raw score distance from mean by SD and considered the most satisfactory type of NR score. Which statement out of the following ones is about T-scores?
Options: 
A. Shows how many standard deviations a score is above or below the mean: a score of +1.0 means it’s 1 SD above the mean
C. M=50, SD=10- it is used on many psychological tests, MMPI
B. standard nine: M=5, SD=approx 2
D. M=100, SD=15 or 16
Answer: 
",professional_psychology,"['Shows how many standard deviations a score is above or below the mean: a score of +1.0 means it’s 1 SD above the mean'
 'M=50, SD=10- it is used on many psychological tests, MMPI'
 'standard nine: M=5, SD=approx 2' 'M=100, SD=15 or 16']",1,89,C,ACBD,A,0.486505358025844,0.18465660900495068,0.2352586196160669,0.09357941335313846
"Question: A psychologist who already has an established therapeutic relationship with a child is asked to act as an expert witness in a divorce proceeding involving custody of the child. The psychologist's best course of action would be to:
Options: 
C. decline the request to testify.
B. agree to testify only if she obtains consent from both parents.
A. agree to testify only if she can evaluate all of the involved parties.
D. agree to testify only if her familiarity with the child won''t bias her testimony.
Answer: 
",professional_psychology,"['decline the request to testify.'
 'agree to testify only if she obtains consent from both parents.'
 'agree to testify only if she can evaluate all of the involved parties.'
 ""agree to testify only if her familiarity with the child won''t bias her testimony.""]",0,71,C,CBAD,C,0.2571343731841788,0.2216636746023546,0.37121680338899904,0.14998514882446753
"Question: Standardized tests or measures that compare an examinee’s performance to the performance of a specified group of participants are:
Options: 
D. Criterion-referenced testing
B. Functional behavioral assessments
C. Intellectual assessments
A. Norm-referenced tests
Answer: 
",professional_psychology,"['Criterion-referenced testing' 'Functional behavioral assessments'
 'Intellectual assessments' 'Norm-referenced tests']",3,34,A,DBCA,A,0.43619295566324057,0.1259515457415062,0.1950775543652356,0.24277794423001767
"Question: If you were hired by a large company to develop a new training program, your first step would probably be to conduct a:
Options: 
B. needs analysis.
A. job evaluation.
C. summative evaluation.
D. formative evaluation.
Answer: 
",professional_psychology,"['needs analysis.' 'job evaluation.' 'summative evaluation.'
 'formative evaluation.']",0,90,B,BACD,A,0.3680010682410284,0.3172367381976577,0.20164795161548363,0.1131142419458303
