question,subject,choices,answer,question_id,gold_answer,modified_options,Predicted_token_ID,Normalized_A_probs,Normalized_B_probs,Normalized_C_probs,Normalized_D_probs
"Question: There was a growth in income inequality in the 1980s because:
Options: 
A. rates of income tax increased equally for all occupational groups
B. there were more professional jobs available but not enough people to fill them
C. the price of consumer goods rose at a higher rate than earnings
D. growing unemployment made more people dependent on welfare benefits
Answer: 
",sociology,"['rates of income tax increased equally for all occupational groups'
 'there were more professional jobs available but not enough people to fill them'
 'the price of consumer goods rose at a higher rate than earnings'
 'growing unemployment made more people dependent on welfare benefits']",3,48,D,ABCD,n,0.45468539669439634,0.16467615710384886,0.1866025215986491,0.19403592460310568
"Question: There was a growth in income inequality in the 1980s because:
Options: 
D. rates of income tax increased equally for all occupational groups
B. there were more professional jobs available but not enough people to fill them
C. the price of consumer goods rose at a higher rate than earnings
A. growing unemployment made more people dependent on welfare benefits
Answer: 
",sociology,"['rates of income tax increased equally for all occupational groups'
 'there were more professional jobs available but not enough people to fill them'
 'the price of consumer goods rose at a higher rate than earnings'
 'growing unemployment made more people dependent on welfare benefits']",3,48,A,DBCA,n,0.3285716366774943,0.1786413104052038,0.1564235528684092,0.3363635000488927
"Question: The term 'culture industry', used by members of the Frankfurt School, referred to:
Options: 
A. the globalization of culture through new technologies
D. the way in which cultural products were bought and sold for profit
C. the development of subcultures and counter-cultures in society
B. the way in which industrialization had created new means of communication
Answer: 
",sociology,"['the globalization of culture through new technologies'
 'the way in which cultural products were bought and sold for profit'
 'the development of subcultures and counter-cultures in society'
 'the way in which industrialization had created new means of communication']",1,39,D,ADCB,B,0.29410636725927025,0.30344231152954393,0.26988718762184266,0.13256413358934316
"Question: The term inter-generational mobility refers to:
Options: 
A. movement into a different occupational category over a person's lifetime
C. movement into different occupational categories between generations
B. movement into a higher occupational category
D. movement into an occupation that generates a lower income
Answer: 
",sociology,"[""movement into a different occupational category over a person's lifetime""
 'movement into different occupational categories between generations'
 'movement into a higher occupational category'
 'movement into an occupation that generates a lower income']",1,56,C,ACBD,A,0.32794948225140513,0.28492746463363444,0.2916843115432395,0.09543874157172094
"Question: The theory of development which suggests that societies move from traditional to modern, industrial forms of organization is called:
Options: 
A. Westernization theory
D. Modernization theory
C. Industrialization theory
B. Dependency theory
Answer: 
",sociology,"['Westernization theory' 'Modernization theory' 'Industrialization theory'
 'Dependency theory']",1,67,D,ADCB,A,0.37515993856131313,0.2403364848308239,0.22933067118411182,0.15517290542375115
"Question: Chodorow (1978) argued that gender socialization occurred through:
Options: 
C. both boys and girls being closely attached to their mothers, but then boys breaking away
B. girls being attached to their mothers but then breaking away
A. boys being attached to their fathers and girls to their mothers
D. both boys and girls being closely attached to their fathers, but girls breaking away
Answer: 
",sociology,"['both boys and girls being closely attached to their mothers, but then boys breaking away'
 'girls being attached to their mothers but then breaking away'
 'boys being attached to their fathers and girls to their mothers'
 'both boys and girls being closely attached to their fathers, but girls breaking away']",0,20,C,CBAD,A,0.40544928067886665,0.29895956836050086,0.17851689606672336,0.11707425489390919
"Question: Becker proclaimed that cannabis use was:
Options: 
A. increasing throughout all sections of youth in the 1970s
D. learned gradually through the social processes of a deviant career
C. a dangerous pastime that young people should not be allowed to pursue
B. not as enjoyable as other sociologists had suggested
Answer: 
",sociology,"['increasing throughout all sections of youth in the 1970s'
 'learned gradually through the social processes of a deviant career'
 'a dangerous pastime that young people should not be allowed to pursue'
 'not as enjoyable as other sociologists had suggested']",1,52,D,ADCB,A,0.3304362105857243,0.21501891790718564,0.2870879587326673,0.16745691277442273
"Question: Marxist feminists explain patriarchy in terms of:
Options: 
C. a lack of equal rights and opportunities for men and women
B. sex classes, through which men oppress women economically, politically and sexually
A. women's domestic labour being exploited by the capitalist economy
D. the dual systems of capitalism and male domination
Answer: 
",sociology,"['a lack of equal rights and opportunities for men and women'
 'sex classes, through which men oppress women economically, politically and sexually'
 ""women's domestic labour being exploited by the capitalist economy""
 'the dual systems of capitalism and male domination']",2,79,A,CBAD,B,0.22310878377938514,0.4873143479265766,0.22310878377938514,0.06646808451465312
"Question: In the traditional hierarchy of status and precedence, which of these members of the upper class are in the right order (from highest to lowest status)?
Options: 
A. Prime Minister, Archbishop of York, Viscounts of England
B. Marquesses of England, Earls of Great Britain, King's Brothers
D. Esquires, Serjeants of Law, Dukes' Eldest Sons
C. King's Grandsons, Lord High Treasurer, Companions of the Bath
Answer: 
",sociology,"['Prime Minister, Archbishop of York, Viscounts of England'
 ""Marquesses of England, Earls of Great Britain, King's Brothers""
 ""Esquires, Serjeants of Law, Dukes' Eldest Sons""
 ""King's Grandsons, Lord High Treasurer, Companions of the Bath""]",3,99,C,ABDC,A,0.31976100437482197,0.21134911807596293,0.30038765891739094,0.16850221863182419
"Question: The theory of development which suggests that societies move from traditional to modern, industrial forms of organization is called:
Options: 
A. Westernization theory
B. Modernization theory
C. Industrialization theory
D. Dependency theory
Answer: 
",sociology,"['Westernization theory' 'Modernization theory' 'Industrialization theory'
 'Dependency theory']",1,67,B,ABCD,A,0.45142022353182515,0.3571028052088579,0.12437934512418937,0.06709762613512762
"Question: Secularization involves the two related ideas of:
Options: 
A. disappointment and disproportion
C. disbelief and disintegration
B. disengagement and disenchantment
D. distribution and distillation
Answer: 
",sociology,"['disappointment and disproportion' 'disbelief and disintegration'
 'disengagement and disenchantment' 'distribution and distillation']",2,9,B,ACBD,A,0.39427224795711363,0.3791678963249502,0.14391590521519312,0.08264395050274305
"Question: Sullivan's (2000) study suggested that the proportion of housework men did was greatest when:
Options: 
A. they had rediscovered themselves as 'new men'
B. their wives were at home and nagged them all the time
D. exciting gadgets like the hoover and electric iron were invented
C. they were unemployed or both partners worked full time
Answer: 
",sociology,"[""they had rediscovered themselves as 'new men'""
 'their wives were at home and nagged them all the time'
 'exciting gadgets like the hoover and electric iron were invented'
 'they were unemployed or both partners worked full time']",3,84,C,ABDC,A,0.386900979567916,0.19152987436286878,0.24023230379879298,0.18133684227042224
"Question: When sociologists study the structure of layers in society and people's movement between them, they call this:
Options: 
D. social stratification
B. social control
C. social conflict
A. social solidarity
Answer: 
",sociology,"['social stratification' 'social control' 'social conflict'
 'social solidarity']",0,61,D,DBCA,D,0.27557835066418535,0.10707820697364888,0.11047724709282088,0.5068661952693448
"Question: A major car accident occurs. One man stops his car and starts helping people. After seeing him stop, others also stop and start helping. Which of the following theories best explains the scenario?
Options: 
A. Convergence
B. Emergent-norm
C. Contagion
D. Value-added
Answer: 
",sociology,['Convergence' 'Emergent-norm' 'Contagion' 'Value-added'],1,4,B,ABCD,n,0.45082297689807627,0.15458781538084068,0.2375670021333611,0.15702220558772195
"Question: The Macpherson Report highlighted the increasing problem of:
Options: 
A. hate crimes: violence against ethnic minorities simply because of their race
D. institutional racism: systematic forms of disadvantage built into the routines and practices of social institutions
C. overt racism in the police force that must be tackled by institutional reforms
B. growing numbers of asylum seekers in need of long term accommodation
Answer: 
",sociology,"['hate crimes: violence against ethnic minorities simply because of their race'
 'institutional racism: systematic forms of disadvantage built into the routines and practices of social institutions'
 'overt racism in the police force that must be tackled by institutional reforms'
 'growing numbers of asylum seekers in need of long term accommodation']",1,62,D,ADCB,A,0.30520405522993344,0.19860005478596604,0.19099183475416714,0.30520405522993344
"Question: Stone's research suggests that prior to industrialization, the nuclear family:
Options: 
A. did not exist in any form
B. had begun to disappear, as extended networks of kin became more important
D. had begun to emerge through the separation of work and home life
C. was simply another institution of patriarchal control
Answer: 
",sociology,"['did not exist in any form'
 'had begun to disappear, as extended networks of kin became more important'
 'had begun to emerge through the separation of work and home life'
 'was simply another institution of patriarchal control']",2,30,D,ABDC,B,0.37947719203213914,0.3884762444433605,0.1029359629390019,0.1291106005854985
"Question: In the debate about the 'managerial revolution', John Scott (1997) argued that:
Options: 
B. owners still exercised control through groups of shareholders and interlocking directorships
A. ownership and management were becoming increasingly separate functions
C. the techniques of scientific management were overly bureaucratic and inefficient
D. managers were becoming dissatisfied with their working conditions and planned to overthrow the owners of businesses
Answer: 
",sociology,"['owners still exercised control through groups of shareholders and interlocking directorships'
 'ownership and management were becoming increasingly separate functions'
 'the techniques of scientific management were overly bureaucratic and inefficient'
 'managers were becoming dissatisfied with their working conditions and planned to overthrow the owners of businesses']",0,6,B,BACD,n,0.4129912022704846,0.2524564475966981,0.17901843047156307,0.15553391966125427
"Question: The term 'emotion work' (Hochschild 1983) refers to:
Options: 
A. the techniques used to consciously manage and present emotions that are deemed appropriate for public settings of interaction
B. the work done by psychologists, counselors and therapists to help clients with mental and emotional problems
C. experiences such as grieving and falling in love, which demand a lot of emotional energy from a person
D. the way in which increasing levels of risk and anxiety have made us think more reflexively about our self-identities
Answer: 
",sociology,"['the techniques used to consciously manage and present emotions that are deemed appropriate for public settings of interaction'
 'the work done by psychologists, counselors and therapists to help clients with mental and emotional problems'
 'experiences such as grieving and falling in love, which demand a lot of emotional energy from a person'
 'the way in which increasing levels of risk and anxiety have made us think more reflexively about our self-identities']",0,19,A,ABCD,A,0.5686756068103562,0.09882099665795911,0.23521446610434726,0.09728893042733736
"Question: The rise of new social movements indicates that:
Options: 
D. people vote according to pragmatic issues and concerns
B. consumer identities are more important than class identities
C. personal, cultural and environmental issues can mobilise political consciousness just as much as economic interests
A. all of the above
Answer: 
",sociology,"['people vote according to pragmatic issues and concerns'
 'consumer identities are more important than class identities'
 'personal, cultural and environmental issues can mobilise political consciousness just as much as economic interests'
 'all of the above']",3,81,A,DBCA,A,0.40214053680299755,0.21191319490186555,0.17568219604123644,0.21026407225390048
"Question: The rise of new social movements indicates that:
Options: 
A. people vote according to pragmatic issues and concerns
B. consumer identities are more important than class identities
C. personal, cultural and environmental issues can mobilise political consciousness just as much as economic interests
D. all of the above
Answer: 
",sociology,"['people vote according to pragmatic issues and concerns'
 'consumer identities are more important than class identities'
 'personal, cultural and environmental issues can mobilise political consciousness just as much as economic interests'
 'all of the above']",3,81,D,ABCD,C,0.24333631087518678,0.18512049427296537,0.4107077376948597,0.16083545715698816
"Question: Judith Butler (1999) suggested that:
Options: 
A. sexual characteristics are the biological determinants of gender
B. heterosexuality and homosexuality are essential, opposing identities
C. the 'two-sex' model replaced the 'one-sex' model in the eighteenth century
D. gender is performed through bodily gestures and styles to create 'sex'
Answer: 
",sociology,"['sexual characteristics are the biological determinants of gender'
 'heterosexuality and homosexuality are essential, opposing identities'
 ""the 'two-sex' model replaced the 'one-sex' model in the eighteenth century""
 ""gender is performed through bodily gestures and styles to create 'sex'""]",3,91,D,ABCD,n,0.29624992483830714,0.16360474938647562,0.1714563169667911,0.3686890088084261
"Question: A new highway extends from a major city though an area used for farmland. Which of the following is most likely to happen as a result?
Options: 
A. Farmers will increase the acreage under production.
C. The city will evolve into a multiple nuclei model.
B. Suburbanization will develop because the time it takes to commute to the city has been decreased.
D. People from the countryside will move to the city, depopulating the farmland region.
Answer: 
",sociology,"['Farmers will increase the acreage under production.'
 'The city will evolve into a multiple nuclei model.'
 'Suburbanization will develop because the time it takes to commute to the city has been decreased.'
 'People from the countryside will move to the city, depopulating the farmland region.']",2,57,B,ACBD,n,0.3711082191911122,0.26110725194322676,0.2081728510971734,0.15961167776848767
"Question: Butler & Stokes (1969) suggested that working class support for the Labour Party arose from:
Options: 
A. socialization into working class families and communities
B. rational calculation of self-interest
C. issue-based concerns about culture and lifestyle
D. false consciousness and the acceptance of hegemonic values
Answer: 
",sociology,"['socialization into working class families and communities'
 'rational calculation of self-interest'
 'issue-based concerns about culture and lifestyle'
 'false consciousness and the acceptance of hegemonic values']",0,18,A,ABCD,A,0.560432483522387,0.11839438547468027,0.14619756136700057,0.17497556963593222
"Question: Margaret Mead suggested that:
Options: 
A. adolescence and gender roles varied between societies and so were culturally determined
B. gender roles in three New Guinea societies were identical and so must be biologically determined
C. adolescence in the USA is a time of relative calm compared to the experience in Japan and Europe
D. anthropological fieldwork can be problematic because the researcher's values affect the way they interpret their observations
Answer: 
",sociology,"['adolescence and gender roles varied between societies and so were culturally determined'
 'gender roles in three New Guinea societies were identical and so must be biologically determined'
 'adolescence in the USA is a time of relative calm compared to the experience in Japan and Europe'
 ""anthropological fieldwork can be problematic because the researcher's values affect the way they interpret their observations""]",0,32,A,ABCD,A,0.47133704431018636,0.1506483784274159,0.1845782347498599,0.19343634251253783
"Question: In Marx's theory, the 'mode of production' means:
Options: 
A. the way in which products are made in a factory
B. the average measure of productivity under capitalism
D. the organization of a society's technical and human resources
C. an integral part of the superstructure of a society
Answer: 
",sociology,"['the way in which products are made in a factory'
 'the average measure of productivity under capitalism'
 ""the organization of a society's technical and human resources""
 'an integral part of the superstructure of a society']",2,1,D,ABDC,A,0.332878516523634,0.1754146669462975,0.2716875298791326,0.22001928665093598
"Question: Post-modernist writers have argued that:
Options: 
B. we live in a world of superficial, fragmented images
A. no theory is better than any other: 'anything goes'
C. society has changed and we need new kinds of theory
D. all of the above
Answer: 
",sociology,"['we live in a world of superficial, fragmented images'
 ""no theory is better than any other: 'anything goes'""
 'society has changed and we need new kinds of theory' 'all of the above']",0,40,B,BACD,B,0.25673941118001753,0.2732976674809518,0.2230590552825949,0.24690386605643577
"Question: According to Davis (1995), women may seek cosmetic surgery because:
Options: 
A. they have a deep-rooted sense of ineffectiveness and are striving for control
C. they are in pursuit of the 'perfect' body, fuelled by images of beauty
B. they perceive a part of their body as stigmatizing, in relation to a cultural ideal
D. their male partners pressurize them to look like supermodels
Answer: 
",sociology,"['they have a deep-rooted sense of ineffectiveness and are striving for control'
 ""they are in pursuit of the 'perfect' body, fuelled by images of beauty""
 'they perceive a part of their body as stigmatizing, in relation to a cultural ideal'
 'their male partners pressurize them to look like supermodels']",2,43,B,ACBD,A,0.35027576461672577,0.21749117762772768,0.3139851638798885,0.11824789387565801
"Question: Marxist feminists explain patriarchy in terms of:
Options: 
A. a lack of equal rights and opportunities for men and women
B. sex classes, through which men oppress women economically, politically and sexually
C. women's domestic labour being exploited by the capitalist economy
D. the dual systems of capitalism and male domination
Answer: 
",sociology,"['a lack of equal rights and opportunities for men and women'
 'sex classes, through which men oppress women economically, politically and sexually'
 ""women's domestic labour being exploited by the capitalist economy""
 'the dual systems of capitalism and male domination']",2,79,C,ABCD,B,0.4281464694856004,0.4348887701659344,0.07382170622731872,0.06314305412114643
"Question: Which of the following is not a feature of globalization?
Options: 
B. an increasing awareness of the world as a whole
A. the extended power of nation states
C. the destruction of distance through communications technologies
D. the stretching of social relations beyond national boundaries
Answer: 
",sociology,"['an increasing awareness of the world as a whole'
 'the extended power of nation states'
 'the destruction of distance through communications technologies'
 'the stretching of social relations beyond national boundaries']",1,22,A,BACD,A,0.3159751070664277,0.28995505656299064,0.19164858903363655,0.20242124733694516
"Question: In the traditional hierarchy of status and precedence, which of these members of the upper class are in the right order (from highest to lowest status)?
Options: 
A. Prime Minister, Archbishop of York, Viscounts of England
D. Marquesses of England, Earls of Great Britain, King's Brothers
C. Esquires, Serjeants of Law, Dukes' Eldest Sons
B. King's Grandsons, Lord High Treasurer, Companions of the Bath
Answer: 
",sociology,"['Prime Minister, Archbishop of York, Viscounts of England'
 ""Marquesses of England, Earls of Great Britain, King's Brothers""
 ""Esquires, Serjeants of Law, Dukes' Eldest Sons""
 ""King's Grandsons, Lord High Treasurer, Companions of the Bath""]",3,99,B,ADCB,A,0.3345442502337604,0.2751886089122395,0.24861218737341653,0.14165495348058357
"Question: The ecological approach to urban sociology involved studying:
Options: 
D. how social groups colonized different areas of the city and competed for resources
B. the forms of wildlife and natural habitats that could be found on the edges of the city
C. the way in which people organized collective protests about environmental issues
A. how men and women used the city's public spaces differently
Answer: 
",sociology,"['how social groups colonized different areas of the city and competed for resources'
 'the forms of wildlife and natural habitats that could be found on the edges of the city'
 'the way in which people organized collective protests about environmental issues'
 ""how men and women used the city's public spaces differently""]",0,77,D,DBCA,A,0.5845621661446252,0.1513054568212374,0.08162316617554988,0.18250921085858754
"Question: The alternative form of 'network organization' means that:
Options: 
A. work can be subcontracted out to independent suppliers and retailers
B. business transactions occur only through electronic communication
C. the Japanese model is applied, through lateral networks of flexible roles
D. activities are redistributed equally between men and women
Answer: 
",sociology,"['work can be subcontracted out to independent suppliers and retailers'
 'business transactions occur only through electronic communication'
 'the Japanese model is applied, through lateral networks of flexible roles'
 'activities are redistributed equally between men and women']",0,72,A,ABCD,A,0.4653018779250124,0.17251753833763034,0.22677002567417265,0.13541055806318467
"Question: The term 'feminist standpoint' suggests:
Options: 
A. taking a stand on the issues neglected by feminism
C. studying society from the perspective of women
B. the recognition of difference and diversity in women's lives
D. a tendency to ignore the gendered nature of knowledge
Answer: 
",sociology,"['taking a stand on the issues neglected by feminism'
 'studying society from the perspective of women'
 ""the recognition of difference and diversity in women's lives""
 'a tendency to ignore the gendered nature of knowledge']",1,5,C,ACBD,C,0.3167815972495708,0.17909208082372235,0.4067556475524496,0.09737067437425728
