question,subject,choices,answer,question_id,gold_answer,modified_options,Predicted_token_ID,Normalized_A_probs,Normalized_B_probs,Normalized_C_probs,Normalized_D_probs,predicted_token
"Question: When did Aborigines occupy the harsh interior of Australia?
Options: 
A. 10,000–12,000 years ago
B. 20,000–25,000 years ago
C. 35,000–40,000 years ago
D. 40,000–45,000 years ago
Answer: 
",prehistory,"['10,000–12,000 years ago' '20,000–25,000 years ago'
 '35,000–40,000 years ago' '40,000–45,000 years ago']",1,33,B,ABCD,1,0.9735492594023784,0.0047991960375067,0.009396368910314,0.0122551756498006,A
"Question: The name Teotihuacán was given to the city by:
Options: 
D. the Aztecs, who continued to make pilgrimages there long after its collapse.
B. the Spanish invaders, who largely destroyed it.
C. the city's first king, who named it after his favorite deity.
A. Olmec traders, who were impressed with its grandeur.
Answer: 
",prehistory,"['the Aztecs, who continued to make pilgrimages there long after its collapse.'
 'the Spanish invaders, who largely destroyed it.'
 ""the city's first king, who named it after his favorite deity.""
 'Olmec traders, who were impressed with its grandeur.']",0,14,D,DBCA,"
",0.9611980996931352,0.0012408997547783,0.0002913056995789,0.0372696948525074,A
"Question: Which of the following is not a hypothesis for why hominids walked on two legs?
Options: 
A. it freed the hands to carry things
D. it allowed for braincase expansion
C. it expended less energy than quadrupedalism for going long distances
B. it allowed hominids to see greater distances
Answer: 
",prehistory,"['it freed the hands to carry things' 'it allowed for braincase expansion'
 'it expended less energy than quadrupedalism for going long distances'
 'it allowed hominids to see greater distances']",1,98,D,ADCB,"
",0.3431619168660377,0.3378416463281984,0.0137819341191208,0.3052145026866429,A
"Question: Subsistence practices of people can be determined by recovering and studying:
Options: 
B. the faunal assemblage from a site.
A. an osteological comparative collection from a site.
C. pumice and evidence of pyroclastic surges.
D. all of the above.
Answer: 
",prehistory,"['the faunal assemblage from a site.'
 'an osteological comparative collection from a site.'
 'pumice and evidence of pyroclastic surges.' 'all of the above.']",0,75,B,BACD,"
",0.730341479733101,0.2645121459161231,0.0007695444789852,0.0043768298717905,A
"Question: The _______ developed one of the earliest kingdoms in South America, reaching its height at around _________.
Options: 
D. Moche; AD 400
B. Wari; AD 100
C. Inca; AD 200
A. Maya; AD 400
Answer: 
",prehistory,['Moche; AD 400' 'Wari; AD 100' 'Inca; AD 200' 'Maya; AD 400'],0,27,D,DBCA,"
",0.8757714419201276,0.0107689569505862,0.0055433843779664,0.1079162167513196,A
"Question: The “Lion Man” from Hohlenstein-Stadel cave is an example of:
Options: 
C. mobiliary art.
B. long-distance trade of exotic raw materials.
A. parietal art.
D. a Venus figurine.
Answer: 
",prehistory,"['mobiliary art.' 'long-distance trade of exotic raw materials.'
 'parietal art.' 'a Venus figurine.']",0,2,C,CBAD,"
",0.6751859165343922,0.0067762620024906,0.316453271230367,0.00158455023275,A
"Question: Opportunistic foraging involves:
Options: 
A. careful planning and scheduling.
B. reliance on steady sources of food such as shellfish.
C. increased use of imported or ""exotic"" materials
D. little planning
Answer: 
",prehistory,"['careful planning and scheduling.'
 'reliance on steady sources of food such as shellfish.'
 'increased use of imported or ""exotic"" materials' 'little planning']",3,31,D,ABCD,"
",0.0817899181599717,0.6090902503374991,0.085048058750049,0.2240717727524801,B
"Question: One of the less obvious reasons for the Inca to fight so many wars may have been:
Options: 
A. to develop a story line for powerful epic poetry.
D. to identify and cultivate talented leaders.
C. to kill off a certain percentage of the young male population, thus preventing revolution.
B. to appease the gods of war.
Answer: 
",prehistory,"['to develop a story line for powerful epic poetry.'
 'to identify and cultivate talented leaders.'
 'to kill off a certain percentage of the young male population, thus preventing revolution.'
 'to appease the gods of war.']",1,3,D,ADCB,"
",0.0063718755817278,0.8510110468967402,0.0058471613862829,0.1367699161352489,B
"Question: The Chinese process of divining the future by examining fired animal bones is called:
Options: 
A. hang-t'u.
C. sarsen divination
B. scapulimancy
D. cylinder seal prophecy
Answer: 
",prehistory,"[""hang-t'u."" 'sarsen divination' 'scapulimancy' 'cylinder seal prophecy']",2,11,B,ACBD,"
",0.8160424685193159,0.1723933664794636,0.0102324097693587,0.0013317552318616,A
"Question: Opportunistic foraging involves:
Options: 
A. careful planning and scheduling.
D. reliance on steady sources of food such as shellfish.
C. increased use of imported or ""exotic"" materials
B. little planning
Answer: 
",prehistory,"['careful planning and scheduling.'
 'reliance on steady sources of food such as shellfish.'
 'increased use of imported or ""exotic"" materials' 'little planning']",3,31,B,ADCB,"
",0.0025144338033072,0.1898561039874634,0.0020362506408362,0.8055932115683931,D
