question,subject,choices,answer,question_id,gold_answer,gold_position,modified_options,Predicted_token_ID,Normalized_A_probs,Normalized_B_probs,Normalized_C_probs,Normalized_D_probs,predicted_token
"Question: A defendant was convicted of assault of a federal officer and imprisoned in a federal penitentiary. While in prison, federal authorities began investigating the murder of the defendant's 11-year- old stepdaughter who was murdered two years earlier. Believing that the defendant was responsible for this killing, federal agents decided to plant an informant at the prison to befriend the defendant and possibly obtain evidence about the crime. In accord with this plan, the federal agents hired a paid informant and placed him in the prison as a fellow inmate, masquerading as an organized crime figure. The informant soon befriended the defendant and learned that he was being threatened by other inmates because of a rumor that he had killed a child. The informant then raised the subject in several conversations, but the defendant repeatedly denied any such involvement. After the defendant started receiving tough treatment from other inmates because of the rumor, the informant offered to protect the defendant but told him, ""You have to tell me the truth about what really happened you know, if you want me to help you. "" Believing that the informant would protect him from the other inmates, the defendant then admitted to the informant that he had driven his stepdaughter to the desert where he killed her. Based upon this confession, the defendant was then indicted for the first-degree murder of his stepdaughter. Prior to trial, the defendant moves to suppress the statement given to the informant. Should the defendant's motion be granted?
Options: 
B. Yes, because the informant was a false friend, and the defendant was tricked into making the confession.
A. Yes, because the confession was coerced by the threat of physical violence, absent protection from the informant that motivated the defendant to confess.
C. No, because the confession was voluntary.
D. No, because under the totality of circumstances, the informant's conduct was not inherently coercive.
Answer: 
",professional_law,"['Yes, because the confession was coerced by the threat of physical violence, absent protection from the informant that motivated the defendant to confess.'
 'Yes, because the informant was a false friend, and the defendant was tricked into making the confession.'
 'No, because the confession was voluntary.'
 ""No, because under the totality of circumstances, the informant's conduct was not inherently coercive.""]",0,55,A,1,BACD,"
",0.9051645201023192,0.0760624097451625,0.0051358314423551,0.0136372387101632,A
"Question: Sally Sobriety, owner of Greenacre and Blackacre, was a recovering alcoholic. Sally's only heir was her daughter Betty Boozer, a heavy drinker. In an attempt to encourage Betty to go on the wagon, Sally conveyed Greenacre to ""Friend and her heirs, but if liquor is ever consumed on the property, then to Betty."" Sally conveyed Blackacre to ""Associate and her heirs, but if Associate ever consumes alcohol on the property, then to Betty."" One year later, Friend and Associate both began hosting wine-tasting events on their properties, at which they each personally consumed substantial alcohol. Sally was so shocked that she had a stroke and died. The property interests of the following parcels of land should go to
Options: 
B. Friend // Betty
A. Betty // Betty
C. Betty // Associate
D. Friend // Associate
Answer: 
",professional_law,"['Betty // Betty' 'Friend // Betty' 'Betty // Associate'
 'Friend // Associate']",1,32,B,0,BACD,"
",0.5056745119636158,0.4095077222909379,0.0190038829870363,0.0658138827584099,A
"Question: Connie Computer decided to purchase a $1,000 laptop computer to use during law school. When she went into Computer Retailer Inc., the salesperson also sold her a 5-year service agreement for $1,200 for a total price of $2,200. Nine months later, the laptop stopped working and Computer Retailer refused to perform on their service agreement. If Connie sues Computer Retailer, the trial court will likely find for
Options: 
A. Connie, under the common law because the predominate purpose for which the parties contracted was the sale of goods.
C. Connie, under the UCC unless the predominate purpose of the agreement was for the service agreement portion of the contract.
B. Connie, under the UCC only if the predominate reason for entering into the contract was for the goods portion of the contract.
D. Computer Retailer, if the court determines that the predominate purpose of the agreement is determined by intent and not the relative dollars assigned to the computer and the service agreement.
Answer: 
",professional_law,"['Connie, under the common law because the predominate purpose for which the parties contracted was the sale of goods.'
 'Connie, under the UCC only if the predominate reason for entering into the contract was for the goods portion of the contract.'
 'Connie, under the UCC unless the predominate purpose of the agreement was for the service agreement portion of the contract.'
 'Computer Retailer, if the court determines that the predominate purpose of the agreement is determined by intent and not the relative dollars assigned to the computer and the service agreement.']",1,16,B,2,ACBD,"
",0.0342871424905254,0.3715126711147516,0.3202639312570409,0.273936255137682,B
"Question: A mail clerk domiciled in State A slipped and fell on ice that had formed near the loading dock of the building in State B where the clerk's State B employer leased space for its headquarters. The building was owned and operated by a State C corporation. As a result of the fall, the clerk was injured and the employer's expensive computer he was carrying was badly damaged. The clerk sued the building owner for negligence in a federal district court in State B, seeking $100,000 in personal-injury damages. The employer has filed a timely motion to intervene, asserting an $80,000 negligence claim against the building owner for the damage to its computer. Is the court likely to grant the employer's motion to intervene?
Options: 
A. No, because although the employer has an interest in the clerk's action, that interest is not likely to be impaired in the employer's absence.
B. No, because the clerk chose not to join the employer as a co-plaintiff in his action.
D. Yes, because the employer's claim shares common questions of law and fact with the clerk's action.
C. Yes, because the employer is an indispensable party.
Answer: 
",professional_law,"[""No, because although the employer has an interest in the clerk's action, that interest is not likely to be impaired in the employer's absence.""
 'No, because the clerk chose not to join the employer as a co-plaintiff in his action.'
 'Yes, because the employer is an indispensable party.'
 ""Yes, because the employer's claim shares common questions of law and fact with the clerk's action.""]",3,85,D,2,ABDC,"
",0.0036516466774948,0.0035117543869889,0.3236145953789085,0.6692220035566075,D
"Question: Which reason may constitute sufficient good cause or excusable neglect to enable a litigant to file a late notice of appeal past the 30-day deadline?
Options: 
A. The district court judge assured the litigant that the late filing would be permitted.
B. The litigant's original attorney neglected to file notice on time, and now the litigant has retained a new attorney to file the appeal and has also sued the former attorney for malpractice.
D. Opposing counsel agreed not to object to the late notice of appeal.
C. The litigant ran a red light causing a car crash just before the judgment was rendered, and was in the hospital for two months recovering.
Answer: 
",professional_law,"['The district court judge assured the litigant that the late filing would be permitted.'
 ""The litigant's original attorney neglected to file notice on time, and now the litigant has retained a new attorney to file the appeal and has also sued the former attorney for malpractice.""
 'The litigant ran a red light causing a car crash just before the judgment was rendered, and was in the hospital for two months recovering.'
 'Opposing counsel agreed not to object to the late notice of appeal.']",2,33,C,3,ABDC,"
",0.0248987664121325,0.100811833064333,0.2117578279315791,0.6625315725919553,D
"Question: A woman duly executed a will under which she devised her farm to her nephew and bequeathed the residue of her estate to her niece. For 12 years after executing her will, the woman lived on her farm. Then she sold it and used the sales proceeds to purchase a home in the city, in which she lived until she died, never having changed her will. Following the admission of the will to probate, both the nephew and the niece claimed ownership of the home. There is no applicable statute. Who is the owner of the home?
Options: 
A. The nephew, because of the doctrine of ademption.
B. The nephew, because of the doctrine of equitable estoppel.
C. The niece, because of the doctrine of lapse.
D. The niece, because she is the residuary legatee.
Answer: 
",professional_law,"['The nephew, because of the doctrine of ademption.'
 'The nephew, because of the doctrine of equitable estoppel.'
 'The niece, because of the doctrine of lapse.'
 'The niece, because she is the residuary legatee.']",0,45,A,0,ABCD,"
",0.0318721400772459,0.0361158632917506,0.0501419149869524,0.881870081644051,D
"Question: Bob Wilson borrowed $20,000 from Ted Lamar to open a hardware store. Ted's only interest in the business was the repayment of his 5-year unsecured loan. Bob was so grateful for the loan that he named his business ""Wilson and Lamar Hardware"" and purchased signs and advertising displaying this name. He also listed Bob Wilson and Ted Lamar as ""partners"" on his stationery. When Ted found out, he was flattered to the point that he voluntarily reduced Bob's interest rate from 9 percent to 8 percent per annum. A few weeks later, Pete Smith, who had assumed that both Wilson and Lamar were operating the hardware store and was not familiar with the true situation, sold goods to Wilson and Lamar Hardware. Pete Smith has been unable to collect for the goods and he seeks your advice. Your advice to Pete is
Options: 
B. Bob Wilson and Ted Lamar are liable jointly.
A. only Bob Wilson is liable.
C. Bob Wilson is liable for the entire amount and Ted Lamar is liable only to the extent the debt cannot be collected from Bob Wilson.
D. only the de facto partnership arising from the relationship between Wilson and Lamar is liable.
Answer: 
",professional_law,"['only Bob Wilson is liable.'
 'Bob Wilson and Ted Lamar are liable jointly.'
 'Bob Wilson is liable for the entire amount and Ted Lamar is liable only to the extent the debt cannot be collected from Bob Wilson.'
 'only the de facto partnership arising from the relationship between Wilson and Lamar is liable.']",1,19,B,0,BACD,"
",0.7940572929671431,0.0798604467464489,0.0251292007048224,0.1009530595815853,A
"Question: Rainmaking Lawfirm regularly purchased its office supplies from catalogs. Marty Manager saw an advertising catalog from Costco offering 10,000 envelopes for $1,000 CIF. He immediately sent a purchase order which stated ""our law firm accepts your $1,000 offer for 10,000 envelopes for $1,000 CIF."" Costco then sent Rainmaking an order confirmation which stated ""Envelope order acceptance conditional upon a loading charge of $50 per thousand envelopes."" If the parties disagree on the proper contract relationship, a court would likely rule:
Options: 
C. No contract because the order confirmation was a counteroffer which was not accepted.
B. A contract at $1,500 because the loading charges are to be included.
A. A contract at $1,000 because the offer terms CIF means cost, insurance and freight including all loading charges.
D. No contract because the purchase order was the offer and, under the mirror image rule, can not be deviated from.
Answer: 
",professional_law,"['A contract at $1,000 because the offer terms CIF means cost, insurance and freight including all loading charges.'
 'A contract at $1,500 because the loading charges are to be included.'
 'No contract because the order confirmation was a counteroffer which was not accepted.'
 'No contract because the purchase order was the offer and, under the mirror image rule, can not be deviated from.']",2,47,C,0,CBAD,"
",0.9928799782940086,0.002899888251054,0.003286004036205,0.0009341294187322,A
"Question: A state statute provides: ""Whenever a person knows or should know that he (or she) is being arrested by a police officer, it is the duty of such person to refrain from using force or any weapon in resisting arrest. "" Violation of the statute is made punishable by fine and/or imprisonment. One morning, there was a bank robbery in the state. That afternoon, a police officer arrested a suspect who he believed was involved in the crime. However, the police officer and the suspect have given different accounts concerning what happened next. According to the police officer, after the suspect was apprehended, he resisted arrest and hit the police officer in the mouth with his fist. The police officer, who was momentarily stunned, pulled out his nightstick and struck the suspect over the head with it. On the other hand, the suspect claimed that after he was arrested, he cursed at the policeman, whereupon the police officer began hitting the suspect with his nightstick. To avoid being hit again, the suspect hit the police officer with his fist, knocking him down. The suspect was charged with assault. The suspect should be found
Options: 
B. not guilty, if the arrest was lawful, provided that the jury believes the suspect's account.
A. not guilty, if the arrest was unlawful without probable cause and the jury believes the suspect's account.
C. guilty, if the arrest was lawful, regardless which account the jury believes.
D. guilty, if the arrest was unlawful, regardless which account the jury believes.
Answer: 
",professional_law,"[""not guilty, if the arrest was unlawful without probable cause and the jury believes the suspect's account.""
 ""not guilty, if the arrest was lawful, provided that the jury believes the suspect's account.""
 'guilty, if the arrest was lawful, regardless which account the jury believes.'
 'guilty, if the arrest was unlawful, regardless which account the jury believes.']",1,9,B,0,BACD,"
",0.9299567941342216,0.0516511859559157,0.0039365094074886,0.014455510502374,A
"Question: A man and a woman who were friends decided to buy a car together. The man put $5,000 down and the woman's father co-signed on the loan of $10,000. The title was put in the woman's name and the man made the loan payments. They orally agreed that it was a shared ownership, with equal rights. After several months, their relationship deteriorated. They argued over ownership and use of the car. One day, the man attempted to leave with the car, but the woman climbed in and kept arguing as he was driving away. He then crashed into a pole and destroyed the car just to spite her, saying that if he couldn't have it no one would have it. The authorities arrested the man for auto larceny (stealing a car from the owner) and criminal mischief (damaging property of another or property shared with another). Assuming the accuracy of the foregoing facts beyond a reasonable doubt, which crime or crimes alleged can likely result in a sustainable conviction?
Options: 
A. He can be convicted of larceny but he cannot be convicted of criminal mischief.
C. He can be convicted of criminal mischief only.
B. He cannot be convicted of any crime.
D. He can be convicted of both larceny and criminal mischief.
Answer: 
",professional_law,"['He can be convicted of larceny but he cannot be convicted of criminal mischief.'
 'He cannot be convicted of any crime.'
 'He can be convicted of criminal mischief only.'
 'He can be convicted of both larceny and criminal mischief.']",2,54,C,1,ACBD,"
",0.0097172402945289,0.1562169018483269,0.0469048168039157,0.7871610410532284,D
