question,subject,choices,answer,Predicted_token_ID,Normalized_A_probs,Normalized_B_probs,Normalized_C_probs,Normalized_D_probs
Which of the following statements is most consistent with a capitalist market economy?,high_school_microeconomics,"['Economic resources are allocated according to the decisions of the central bank.'
 'Private property is fundamental to innovation, growth, and trade.'
 'A central government plans the production and distribution of goods.'
 'Most wages and prices are legally controlled.']",0,"
",0.31959143605578916,0.23565196708990174,0.23019306848591625,0.21456352836839282
Which describes brightly colored peacocks mating more frequently than drab peacocks?,high_school_biology,"['artificial selection' 'directional selection' 'sexual selection'
 'stabilizing selection']",2,"
",0.30525070233785984,0.26938279453830766,0.19940782335931131,0.22595867976452116
Which of the following is a biotic factor that could affect the growth rate of a population?,high_school_biology,"['Destruction of the ozone layer' 'Glacier melting' 'Volcanic eruption'
 'Sudden reduction in the animal food resource']",0,"
",0.2849597931971269,0.2656117219863879,0.21594081803593307,0.2334876667805522
The endocrine system maintains homeostasis using many feedback mechanisms. Which of the following is an example of positive feedback?,high_school_biology,"[""Infant suckling causes a mother's brain to release oxytocin, which in turn stimulates milk production.""
 'An enzyme is allosterically inhibited by the product of the reaction it catalyzes.'
 'When ATP is abundant the rate of glycolysis decreases.'
 'When blood sugar levels decrease to normal after a meal, insulin is no longer secreted.']",0,"
",0.21525675048322265,0.31565314496277247,0.24872868857457386,0.220361415979431
"This question refers to the following information.
I walk alongside the column, ask what's going on.
A soldier says simply: ""They call up more every day.
""Some of us were sent north to the Yellow River at age fifteen,
And now at forty we're heading off to the garrisons in the west.
On our first tour, the village headman had to tie our bandannas for us.
When we came back, our hair was white, but still there's more unrest.
The frontier garrisons run with blood, enough to fill an ocean,
But the Martial Emperor's territorial ambitions have yet to crest.
In the hundred districts east of the mountains, throughout the land of Han,
There must be ten thousand villages that brambles now infest.
Even if wives are strong enough to handle a hoe and plow,
The crops grow every which way, the fields are all a mess.
It's hardest for the Shanxi men, with their reputations as fighters:
They're rounded up like dogs or chickens, every male impressed.
""But sir, though it's good of you to ask,
Complaining isn't part of the soldier's task.
We can only shake our heads. Take this winter:
The Shanxi troops were never sent home.
The District Officers are demanding the land tax,
But where will it come from? You can't get blood from a stone!
I honestly think it's bad luck to bear a son now,
It's better to have a daughter: at least she can marry
And live with the neighbors next door.
But a son will end up lying on some distant prairie.""
Du Fu, ""Ballad of the Army Carts,"" ca. 750 C.E.
The succeeding Song dynasty differed from the Tang in that",high_school_world_history,"['the Song pursued a less expansive foreign policy'
 'the Song sponsored Buddhism to the detriment of Taoism and Confucianism'
 'the Song abolished the Confucian civil service exams'
 'the Song dynasty was originally from outside of China']",0,"
",0.30881522680071755,0.2620880616993649,0.1780317229416827,0.2510649885582349
"The greater (higher) the wage elasticity of demand, the",high_school_microeconomics,"['greater the proportion of capital costs to labor costs in the production of goods.'
 'the smaller the number of substitutes for labor.'
 'greater the price elasticity for the product produced by labor.'
 'the smaller the time period.']",2,"
",0.32920506857784837,0.2553856239982822,0.21338266323378063,0.20202664419008878
This biome contains plants whose roots cannot go deep due to the presence of a permafrost.,high_school_biology,['Taiga' 'Tundra' 'Desert' 'Deciduous forests'],0,"
",0.3158820185591731,0.270188183618113,0.19767389796869203,0.21625589985402188
A negative externality in the market for a good exists when,high_school_microeconomics,"['the marginal social benefit equals the marginal social cost.'
 'spillover benefits are received by society.'
 'the market overallocates resources to the production of this good.'
 'total welfare is maximized.']",2,"
",0.3451884202475217,0.23448030276109066,0.18767568301102414,0.2326555939803635
Basepair sequence that signals the start site for gene transcription.,high_school_biology,['Promoter' 'Repressor' 'Operator' 'Enhancer'],0,"
",0.8930392294846742,0.04377249144745231,0.036430695821620715,0.026757583246252784
Which of the following is most likely to increase the rate of diffusion of an uncharged solute across the plasma membrane of a cell?,high_school_biology,"['Increasing the concentration gradient of the solute across the membrane'
 'Decreasing the number of different solutes in the solution that bathes the cells'
 'Increasing the ratio of phospholipids to proteins in the membrane'
 'Decreasing the membrane potential across the membrane']",0,"
",0.48068531991360497,0.31401211580070015,0.11284262591536182,0.09245993837033308
"This question refers to the following information.
This great purity of the French Revolution is precisely what causes both our strength and our weakness. Our strength, because it gives to us rights of the public interest over private interests; our weakness, because it rallies all vicious men against us. We must smother the internal and external enemies of the Republic or perish with it; now in this situation, the first maxim of your policy ought to be to lead the people by reason and the people's enemies by terror. Terror is nothing other than justice, prompt, severe, inflexible; it is therefore an emanation of virtue; it is not so much a special principle as it is a consequence of the general principle of democracy applied to our country's most urgent needs.
French revolutionary leader Maximilien Robespierre, 1794
The passage above appears to articulate which of the following political principles?",high_school_world_history,"['The end justifies the means' 'Might makes right'
 'From each according to his abilities, to each according to his needs'
 'The government is best that governs least']",0,"
",0.2979613788016339,0.26501234804893864,0.21211321304408504,0.22491306010534243
"With the presence of a negative externality, which of the following would internalize (or correct) the externality?",high_school_microeconomics,"['A government subsidy.' 'A higher level of output.' 'A lower price.'
 'A government tax.']",3,"
",0.24112669327274017,0.25768262248671314,0.27110599027949644,0.23008469396105025
"When a perfectly competitive labor market is in equilibrium,",high_school_microeconomics,"['unemployment can reach as high as 10-15 percent'
 'individual firms face downward sloping labor demand curves'
 'everyone who wants to work has the opportunity to do so'
 'individual firms face upward sloping labor demand curves']",2,"
",0.4677765765416739,0.18246977004764894,0.12443355925725993,0.22532009415341717
"When the production or consumption of a good creates a positive externality, it is deemed a market failure because at the market quantity",high_school_microeconomics,"['the marginal social cost exceeds the marginal social benefit.'
 'the marginal social benefit exceeds the marginal social cost.'
 'society produces too much of the good.'
 'the private benefits from consuming the good exceed the social benefits.']",1,"
",0.34848103724231977,0.21722365861439394,0.20486141483891265,0.22943388930437367
"This question refers to the following information.
""Upon this a question arises: whether it be better to be loved than feared or feared than loved? It may be answered that one should wish to be both, but, because it is difficult to unite them in one person, it is much safer to be feared than loved, when, of the two, either must be dispensed with. Because this is to be asserted in general of men, that they are ungrateful, fickle, false, cowardly, covetous, and as long as you succeed they are yours entirely; they will offer you their blood, property, life, and children, as is said above, when the need is far distant; but when it approaches they turn against you. And that prince who, relying entirely on their promises, has neglected other precautions, is ruined; because friendships that are obtained by payments, and not by greatness or nobility of mind, may indeed be earned, but they are not secured, and in time of need cannot be relied upon; and men have less scruple in offending one who is beloved than one who is feared, for love is preserved by the link of obligation which, owing to the baseness of men, is broken at every opportunity for their advantage; but fear preserves you by a dread of punishment which never fails.""
Nicolo Machiavelli, The Prince, ca. 1513 C.E.
Which of the following best characterizes the author's attitude in the passage?",high_school_world_history,"['Ambivalence about the future of his economic prospects'
 'Optimism about the fair-mindedness of political leaders'
 'Criticism of the religious establishment'
 ""Cynicism about the loyalty of a ruler's subjects""]",3,"
",0.3264050952158084,0.263300376507827,0.16867654349680292,0.24161798477956167
"If the price of one good (A) increases and the quantity demanded of another good (B) increases, the two goods are",high_school_microeconomics,['inferior goods.' 'complement goods.' 'substitute goods.' 'normal goods.'],2,"
",0.314442820949712,0.43485864829993104,0.15811178127997605,0.09258674947038097
