Dataset,0,1,2,3
['anatomy'],0.3888888888888889,0.018518518518518517,0.35185185185185186,0.09259259259259259
['astronomy'],0.5725806451612904,0.016129032258064516,0.10483870967741936,0.14516129032258066
['business_ethics'],0.4625,0.025,0.125,0.125
['clinical_knowledge'],0.4528301886792453,0.014150943396226415,0.18396226415094338,0.11320754716981132
['college_biology'],0.5517241379310345,0.008620689655172414,0.09482758620689655,0.16379310344827586
['college_chemistry'],0.6,0.0625,0.1625,0.1125
['college_computer_science'],0.5,0.0375,0.1,0.05
['college_mathematics'],0.625,0.0625,0.05,0.025
['college_physics'],0.5714285714285714,0.023809523809523808,0.11904761904761904,0.10714285714285714
['computer_security'],0.4125,0.0375,0.2,0.0625
['econometrics'],0.5217391304347826,0.03260869565217391,0.13043478260869565,0.10869565217391304
['electrical_engineering'],0.6206896551724138,0.034482758620689655,0.10344827586206896,0.017241379310344827
['elementary_mathematics'],0.3815789473684211,0.03618421052631579,0.20723684210526316,0.07236842105263158
['formal_logic'],0.6057692307692307,0.019230769230769232,0.07692307692307693,0.09615384615384616
['global_facts'],0.6,0.05,0.1625,0.025
['high_school_biology'],0.46774193548387094,0.036290322580645164,0.10080645161290322,0.1693548387096774
['high_school_chemistry'],0.5365853658536586,0.042682926829268296,0.14634146341463414,0.0975609756097561
['high_school_computer_science'],0.475,0.05,0.1375,0.05
['high_school_european_history'],0.1590909090909091,0.06060606060606061,0.21212121212121213,0.25
['high_school_geography'],0.575,0.04375,0.125,0.075
['high_school_government_and_politics'],0.6217948717948718,0.0641025641025641,0.04487179487179487,0.057692307692307696
['high_school_macroeconomics'],0.6057692307692307,0.019230769230769232,0.057692307692307696,0.04487179487179487
['high_school_microeconomics'],0.6354166666666666,0.010416666666666666,0.06770833333333333,0.06770833333333333
['high_school_physics'],0.49193548387096775,0.03225806451612903,0.16129032258064516,0.12903225806451613
['high_school_psychology'],0.463302752293578,0.027522935779816515,0.1353211009174312,0.08486238532110092
['high_school_statistics'],0.5511363636363636,0.022727272727272728,0.11931818181818182,0.09659090909090909
['high_school_us_history'],0.06707317073170732,0.12195121951219512,0.1402439024390244,0.2926829268292683
['high_school_world_history'],0.171875,0.06770833333333333,0.18229166666666666,0.2760416666666667
['human_aging'],0.5277777777777778,0.03888888888888889,0.16111111111111112,0.05
['human_sexuality'],0.4537037037037037,0.009259259259259259,0.2962962962962963,0.08333333333333333
['international_law'],0.48,0.0,0.14,0.07
['jurisprudence'],0.48863636363636365,0.045454545454545456,0.1590909090909091,0.07954545454545454
['logical_fallacies'],0.6287878787878788,0.05303030303030303,0.030303030303030304,0.015151515151515152
['machine_learning'],0.5108695652173914,0.043478260869565216,0.21739130434782608,0.06521739130434782
['management'],0.4166666666666667,0.03571428571428571,0.16666666666666666,0.047619047619047616
['marketing'],0.48404255319148937,0.0797872340425532,0.13297872340425532,0.015957446808510637
['medical_genetics'],0.375,0.0,0.3,0.15
['miscellaneous'],0.4394904458598726,0.027070063694267517,0.19904458598726116,0.0589171974522293
['moral_disputes'],0.6071428571428571,0.05357142857142857,0.060714285714285714,0.04285714285714286
['moral_scenarios'],0.6187150837988827,0.0,0.1857541899441341,0.00558659217877095
['nutrition'],0.5,0.0330188679245283,0.2028301886792453,0.0660377358490566
['professional_accounting'],0.42613636363636365,0.06818181818181818,0.19886363636363635,0.05113636363636364
['professional_medicine'],0.12037037037037036,0.07407407407407407,0.3888888888888889,0.1111111111111111
['professional_psychology'],0.484375,0.03515625,0.16015625,0.046875
['public_relations'],0.3888888888888889,0.05555555555555555,0.3611111111111111,0.027777777777777776
['security_studies'],0.45,0.0,0.025,0.125
['sociology'],0.4642857142857143,0.03571428571428571,0.03571428571428571,0.21428571428571427
['us_foreign_policy'],0.25,0.05,0.2,0.25
['virology'],0.2857142857142857,0.0,0.35714285714285715,0.25
['world_religions'],0.20833333333333334,0.020833333333333332,0.22916666666666666,0.020833333333333332
Mean,0.48570344129554655,0.03441295546558704,0.15511133603238866,0.08274291497975708
