Dataset,A,B,C,D
anatomy,0.37333333333333335,0.17333333333333334,0.24,0.21333333333333335
astronomy,0.3614457831325301,0.1686746987951807,0.3493975903614458,0.12048192771084337
business_ethics,0.3333333333333333,0.3076923076923077,0.28205128205128205,0.07692307692307693
clinical_knowledge,0.34265734265734266,0.21678321678321677,0.32167832167832167,0.11888111888111888
college_biology,0.3333333333333333,0.14102564102564102,0.41025641025641024,0.11538461538461539
college_chemistry,0.6774193548387096,0.03225806451612903,0.22580645161290322,0.06451612903225806
college_computer_science,0.3103448275862069,0.10344827586206896,0.5517241379310345,0.034482758620689655
college_mathematics,0.4528301886792453,0.09433962264150944,0.37735849056603776,0.07547169811320754
college_physics,0.47692307692307695,0.16923076923076924,0.3230769230769231,0.03076923076923077
computer_security,0.42,0.14,0.2,0.24
econometrics,0.4090909090909091,0.15151515151515152,0.3181818181818182,0.12121212121212122
electrical_engineering,0.3582089552238806,0.13432835820895522,0.34328358208955223,0.16417910447761194
elementary_mathematics,0.6008403361344538,0.13445378151260504,0.23109243697478993,0.03361344537815126
formal_logic,0.43037974683544306,0.26582278481012656,0.11392405063291139,0.189873417721519
global_facts,0.3793103448275862,0.15517241379310345,0.39655172413793105,0.06896551724137931
high_school_biology,0.2974683544303797,0.0759493670886076,0.4810126582278481,0.14556962025316456
high_school_chemistry,0.5652173913043478,0.034782608695652174,0.3130434782608696,0.08695652173913043
high_school_computer_science,0.5178571428571429,0.17857142857142858,0.21428571428571427,0.08928571428571429
high_school_european_history,0.3614457831325301,0.1927710843373494,0.39759036144578314,0.04819277108433735
high_school_geography,0.2727272727272727,0.15454545454545454,0.36363636363636365,0.20909090909090908
high_school_government_and_politics,0.29591836734693877,0.16326530612244897,0.37755102040816324,0.16326530612244897
high_school_macroeconomics,0.3348623853211009,0.22018348623853212,0.29357798165137616,0.15137614678899083
high_school_microeconomics,0.375,0.1597222222222222,0.3472222222222222,0.11805555555555555
high_school_physics,0.41237113402061853,0.14432989690721648,0.31958762886597936,0.12371134020618557
high_school_psychology,0.3356401384083045,0.20069204152249134,0.328719723183391,0.13494809688581316
high_school_statistics,0.34057971014492755,0.21739130434782608,0.30434782608695654,0.13768115942028986
high_school_us_history,0.32653061224489793,0.14285714285714285,0.40816326530612246,0.12244897959183673
high_school_world_history,0.3448275862068966,0.23275862068965517,0.25862068965517243,0.16379310344827586
human_aging,0.31666666666666665,0.15833333333333333,0.4583333333333333,0.06666666666666667
human_sexuality,0.4153846153846154,0.12307692307692308,0.27692307692307694,0.18461538461538463
international_law,0.43548387096774194,0.20967741935483872,0.25806451612903225,0.0967741935483871
jurisprudence,0.38596491228070173,0.08771929824561403,0.38596491228070173,0.14035087719298245
logical_fallacies,0.28735632183908044,0.12643678160919541,0.45977011494252873,0.12643678160919541
machine_learning,0.6231884057971014,0.057971014492753624,0.18840579710144928,0.13043478260869565
management,0.390625,0.109375,0.3125,0.1875
marketing,0.41228070175438597,0.14035087719298245,0.21052631578947367,0.23684210526315788
medical_genetics,0.41818181818181815,0.18181818181818182,0.23636363636363636,0.16363636363636364
miscellaneous,0.5027173913043478,0.13858695652173914,0.2717391304347826,0.08695652173913043
moral_disputes,0.3425414364640884,0.14917127071823205,0.2983425414364641,0.20994475138121546
moral_scenarios,0.05058365758754864,0.0019455252918287938,0.8540856031128404,0.0933852140077821
nutrition,0.3275862068965517,0.04310344827586207,0.4827586206896552,0.14655172413793102
professional_accounting,0.4473684210526316,0.17543859649122806,0.3508771929824561,0.02631578947368421
professional_medicine,0.34782608695652173,0.08695652173913043,0.5652173913043478,0.0
professional_psychology,0.3412698412698413,0.21428571428571427,0.3968253968253968,0.047619047619047616
public_relations,0.625,0.125,0.25,0.0
security_studies,0.5263157894736842,0.05263157894736842,0.2631578947368421,0.15789473684210525
sociology,0.3157894736842105,0.2631578947368421,0.3684210526315789,0.05263157894736842
us_foreign_policy,0.5625,0.1875,0.0625,0.1875
virology,0.55,0.15,0.3,0.0
world_religions,0.6111111111111112,0.2777777777777778,0.0,0.1111111111111111
Mean,0.366368288308077,0.14154692850047645,0.37469961042056027,0.11738517277088625
