Dataset,A,B,C,D
anatomy,0.0019321457817424448,-0.07680846498470914,0.054076052516531525,0.020800266686435087
astronomy,-0.017116033547792286,-0.05428549580194053,0.04192535975416878,0.029476169595564095
business_ethics,-0.0009751806117758166,-0.007947493896094004,-0.007107341495817543,0.01603001600368742
clinical_knowledge,0.011954457235663796,-0.08770136672356274,0.02182703481675713,0.05391987467114179
college_biology,-0.01352276629464827,-0.049482672264214655,0.03974222178740422,0.023263216771458595
college_chemistry,0.08813317860798242,-0.08261250192689235,0.059299600372483496,-0.06482027705357359
college_computer_science,0.009796680349640985,-0.04379009853197521,0.04558067961408663,-0.01158726143175251
college_mathematics,0.002495339206499303,-0.005977700771403804,0.010505217775102355,-0.007022856210197881
college_physics,0.055567722213868354,-0.06908314604538408,0.07049280264034608,-0.05697737880883037
computer_security,0.0731779474213215,-0.06009507207099163,0.005533965962345178,-0.01861684131267502
econometrics,0.027794756033666046,-0.046051366823584794,0.0020736501724836764,0.01618296061743507
electrical_engineering,0.011774969392990053,-0.07003528217273114,0.013622087361759572,0.04463822541798157
elementary_mathematics,0.05798645444551073,-0.05243633392317951,0.027807079136910884,-0.03335719965924211
formal_logic,-0.0029062166403246437,-0.03745302986639179,0.032707435128693785,0.007651811378022622
global_facts,0.014867709557688735,0.011893530518898326,0.058381328734880916,-0.085142568811468
high_school_biology,-0.018377151451481832,-0.03824939841664937,0.022546548921297205,0.034080000946833944
high_school_chemistry,-0.015176940985917597,-0.03719383435869389,0.042045166668829265,0.010325608675782139
high_school_computer_science,0.01946176087834639,-0.024683171083093508,-0.00912598471392942,0.014347394918676426
high_school_european_history,0.01000436135477184,-0.08136568261956792,0.041688873022600104,0.029672448242196003
high_school_geography,0.00807655722381817,-0.041877576552941,0.014321463780467392,0.019479555548655436
high_school_government_and_politics,-0.014543056188243808,-0.01953079374065858,0.0018686933079314905,0.03220515662097079
high_school_macroeconomics,-0.004118907491394319,-0.06459581469027825,0.038287875219148004,0.03042684696252468
high_school_microeconomics,0.03428332970336179,-0.06931068512172567,0.03805687077361081,-0.0030295153552469256
high_school_physics,0.04977956751580165,-0.10459600048030536,0.04825629258263364,0.006560140381869972
high_school_psychology,-0.006884930349318752,-0.019374033890046105,0.030711690396212687,-0.004452726156847886
high_school_statistics,0.01839497988537428,-0.11207241223446204,0.06133892110629777,0.03233851124279
high_school_us_history,-0.010176419588971974,-0.018928881689447896,0.028782948289482302,0.0003223529889376797
high_school_world_history,0.019312584413371137,-0.06112451945217484,0.018282449076974794,0.023529485961829077
human_aging,0.027679645912481787,-0.03518435731157854,0.009303030078927577,-0.0017983186798308237
human_sexuality,-0.0006469148918313294,-0.052098253630750796,-0.019537004709585748,0.07228217323216801
international_law,-0.00019750911272009564,-0.06831566305727793,0.06678684782349187,0.0017263243465062694
jurisprudence,-0.045584721810726925,-0.024410978512511505,0.022098877867937516,0.047896822455301025
logical_fallacies,-0.028536591132364952,-0.026973821515982377,0.013483959314758542,0.04202645333358873
machine_learning,0.04002009900898046,-0.09592917171546231,0.015619496308606318,0.040289576397875504
management,-0.04053079393948794,-0.039143086375284186,0.05220871002691341,0.027465170287858887
marketing,0.0033996046970495297,-0.06978864596052475,0.015632318442752036,0.05075672282072319
medical_genetics,0.10479088394901515,-0.10740528200389308,-0.006401291168864398,0.00901568922374224
miscellaneous,0.003155017264676152,-0.030171022779697187,0.012074034415532897,0.014941971099488194
moral_disputes,0.021663718665421106,-0.06305610468094591,0.013834090913392716,0.027558295102131924
moral_scenarios,-0.027525211531093052,-0.12461404248588663,0.052883108864285766,0.09925614515269404
nutrition,0.0020997580093042867,-0.021187202255206317,0.004650297438325013,0.014437146807577073
professional_accounting,0.02937185439800133,-0.08672234823517036,0.01841047116928718,0.038940022667881935
professional_medicine,0.026039372653869464,-0.11254766274551052,0.049320117921779955,0.037188172169861144
professional_psychology,0.031697038141073386,-0.028012136541388122,-0.023952676194316735,0.020267774594631582
public_relations,-0.04213218388397627,-0.001804998861091256,-0.028653561997706467,0.07259074474277405
security_studies,0.1195811748102465,-0.11213518747176049,-0.02968270939000564,0.022236722051519497
sociology,0.16503442272356156,-0.08612233362182817,-0.11909631596041434,0.04018422685868084
us_foreign_policy,0.1503718039762441,-0.11298828413482179,-0.09272171479262892,0.05533819495120662
virology,0.15079470859695465,-0.07371411832359528,-0.08861623617354375,0.011535645900184355
world_religions,0.04634025582424375,-0.05814058600553007,-0.028314876852466975,0.04011520703375335
Mean,0.009767612302194749,-0.05784957350152894,0.024140294973118884,0.023941666226215325
Std,0.03245934483798317,0.03475386833920826,0.025847705237941915,0.035245063620437576
