Dataset,0,1,2,3
anatomy,0.23809523809523808,0.4444444444444444,0.25396825396825395,0.06349206349206349
astronomy,0.36470588235294116,0.27058823529411763,0.3058823529411765,0.058823529411764705
business_ethics,0.25,0.4375,0.2916666666666667,0.020833333333333332
clinical_knowledge,0.2898550724637681,0.34057971014492755,0.2826086956521739,0.08695652173913043
college_biology,0.3132530120481928,0.27710843373493976,0.3253012048192771,0.08433734939759036
college_chemistry,0.5970149253731343,0.13432835820895522,0.1791044776119403,0.08955223880597014
college_computer_science,0.3709677419354839,0.2903225806451613,0.3387096774193548,0.0
college_mathematics,0.44642857142857145,0.23214285714285715,0.30357142857142855,0.017857142857142856
college_physics,0.4098360655737705,0.21311475409836064,0.3114754098360656,0.06557377049180328
computer_security,0.275,0.325,0.25,0.15
econometrics,0.39705882352941174,0.3382352941176471,0.22058823529411764,0.04411764705882353
electrical_engineering,0.3484848484848485,0.22727272727272727,0.3484848484848485,0.07575757575757576
elementary_mathematics,0.576036866359447,0.22580645161290322,0.17972350230414746,0.018433179723502304
formal_logic,0.4647887323943662,0.36619718309859156,0.15492957746478872,0.014084507042253521
global_facts,0.39655172413793105,0.27586206896551724,0.20689655172413793,0.1206896551724138
high_school_biology,0.31125827814569534,0.2582781456953642,0.3443708609271523,0.08609271523178808
high_school_chemistry,0.4915254237288136,0.2033898305084746,0.23728813559322035,0.06779661016949153
high_school_computer_science,0.44,0.28,0.2,0.08
high_school_european_history,0.358695652173913,0.2608695652173913,0.30434782608695654,0.07608695652173914
high_school_geography,0.2549019607843137,0.28431372549019607,0.29411764705882354,0.16666666666666666
high_school_government_and_politics,0.3875,0.3125,0.275,0.025
high_school_macroeconomics,0.3401015228426396,0.3248730964467005,0.25380710659898476,0.08121827411167512
high_school_microeconomics,0.3053435114503817,0.25190839694656486,0.40458015267175573,0.03816793893129771
high_school_physics,0.41025641025641024,0.20512820512820512,0.3076923076923077,0.07692307692307693
high_school_psychology,0.3626373626373626,0.3516483516483517,0.2454212454212454,0.040293040293040296
high_school_statistics,0.3,0.3,0.33076923076923076,0.06923076923076923
high_school_us_history,0.37272727272727274,0.2545454545454545,0.3090909090909091,0.06363636363636363
high_school_world_history,0.46226415094339623,0.27358490566037735,0.2358490566037736,0.02830188679245283
human_aging,0.3088235294117647,0.29411764705882354,0.3382352941176471,0.058823529411764705
human_sexuality,0.4305555555555556,0.19444444444444445,0.2916666666666667,0.08333333333333333
international_law,0.45454545454545453,0.3333333333333333,0.15151515151515152,0.06060606060606061
jurisprudence,0.41935483870967744,0.20967741935483872,0.2903225806451613,0.08064516129032258
logical_fallacies,0.3974358974358974,0.28205128205128205,0.32051282051282054,0.0
machine_learning,0.5409836065573771,0.14754098360655737,0.22950819672131148,0.08196721311475409
management,0.4117647058823529,0.23529411764705882,0.27450980392156865,0.0784313725490196
marketing,0.47706422018348627,0.24770642201834864,0.1743119266055046,0.10091743119266056
medical_genetics,0.3684210526315789,0.2631578947368421,0.2982456140350877,0.07017543859649122
miscellaneous,0.4521276595744681,0.3271276595744681,0.18085106382978725,0.0398936170212766
moral_disputes,0.32919254658385094,0.2670807453416149,0.2795031055900621,0.12422360248447205
moral_scenarios,0.21601489757914338,0.1824953445065177,0.6014897579143389,0.0
nutrition,0.30935251798561153,0.33093525179856115,0.302158273381295,0.05755395683453238
professional_accounting,0.3902439024390244,0.34146341463414637,0.25203252032520324,0.016260162601626018
professional_medicine,0.35443037974683544,0.27848101265822783,0.3670886075949367,0.0
professional_psychology,0.35,0.3388888888888889,0.28888888888888886,0.022222222222222223
public_relations,0.5217391304347826,0.34782608695652173,0.13043478260869565,0.0
security_studies,0.5238095238095238,0.0,0.23809523809523808,0.23809523809523808
sociology,0.3684210526315789,0.21052631578947367,0.42105263157894735,0.0
us_foreign_policy,0.15384615384615385,0.3076923076923077,0.3076923076923077,0.23076923076923078
virology,0.058823529411764705,0.29411764705882354,0.6470588235294118,0.0
world_religions,0.7916666666666666,0.16666666666666666,0.0,0.041666666666666664
Mean,0.3712732723651315,0.2771204113336015,0.2965449684386552,0.05506134786261177
