Dataset,top_1_bin,top_2_bin,top_3_bin,top_4_bin
high_school_microeconomics,34.375,15.625,28.125,21.875
high_school_biology,34.61538461538461,28.846153846153847,19.23076923076923,17.307692307692307
high_school_world_history,44.44444444444444,44.44444444444444,2.7777777777777777,8.333333333333332
high_school_government_and_politics,31.25,31.25,25.0,12.5
high_school_psychology,44.23076923076923,35.57692307692308,12.5,7.6923076923076925
high_school_chemistry,35.0,20.0,25.0,20.0
moral_disputes,42.5,33.75,10.0,13.75
high_school_geography,50.0,29.166666666666668,8.333333333333334,12.5
marketing,55.0,20.0,15.0,10.0
sociology,31.25,37.5,18.75,12.5
Mean,41.25,31.5,14.5,12.75
