Dataset,A,B,C,D
high_school_microeconomics,0.047619047619047616,0.6666666666666666,0.047619047619047616,0.23809523809523808
high_school_biology,0.08823529411764706,0.6176470588235294,0.058823529411764705,0.23529411764705882
high_school_world_history,0.0,0.95,0.05,0.0
high_school_government_and_politics,0.36363636363636365,0.36363636363636365,0.09090909090909091,0.18181818181818182
high_school_psychology,0.05172413793103448,0.7586206896551724,0.08620689655172414,0.10344827586206896
high_school_chemistry,0.0,0.9230769230769231,0.0,0.07692307692307693
moral_disputes,0.0,0.717391304347826,0.08695652173913043,0.1956521739130435
high_school_geography,0.0,0.5,0.16666666666666666,0.3333333333333333
marketing,0.0,0.5555555555555556,0.3333333333333333,0.1111111111111111
sociology,0.0,0.7272727272727273,0.09090909090909091,0.18181818181818182
Mean,0.04327384245234144,0.7074150787282898,0.08970107402372152,0.15961000479564727
