Dataset,top_1_bin,top_2_bin,top_3_bin,top_4_bin
high_school_microeconomics,37.5,28.125,21.875,12.5
high_school_biology,44.23076923076923,36.53846153846154,11.538461538461538,7.6923076923076925
high_school_world_history,55.55555555555556,16.666666666666664,8.333333333333332,19.444444444444443
high_school_government_and_politics,43.75,25.0,31.25,0.0
high_school_psychology,39.42307692307693,33.65384615384615,20.192307692307693,6.730769230769231
high_school_chemistry,5.0,60.0,15.0,20.0
moral_disputes,41.25,30.0,13.75,15.0
high_school_geography,16.666666666666668,54.16666666666667,12.5,16.666666666666668
marketing,20.0,30.0,35.0,15.0
sociology,43.75,31.25,12.5,12.5
Mean,38.0,33.25,17.0,11.75
