Dataset,0,1,2,3
high_school_microeconomics,0.2,0.55,0.05,0.2
high_school_biology,0.27586206896551724,0.5517241379310345,0.06896551724137931,0.10344827586206896
high_school_world_history,0.3125,0.4375,0.25,0.0
high_school_government_and_politics,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.1111111111111111
high_school_psychology,0.20634920634920634,0.5714285714285714,0.14285714285714285,0.07936507936507936
high_school_chemistry,0.3157894736842105,0.5263157894736842,0.05263157894736842,0.10526315789473684
moral_disputes,0.3191489361702128,0.46808510638297873,0.10638297872340426,0.10638297872340426
high_school_geography,0.25,0.3,0.3,0.15
marketing,0.4375,0.3125,0.1875,0.0625
sociology,0.2222222222222222,0.6666666666666666,0.1111111111111111,0.0
Mean,0.27679879020123066,0.49722837725274294,0.1327804379651746,0.09319239458085173
