Dataset,0,1,2,3
high_school_microeconomics,1.0,0.6,1.0,0.8333333333333334
high_school_biology,1.0,0.6666666666666666,1.0,0.625
high_school_world_history,1.0,0.7333333333333333,0.75,0.6666666666666666
high_school_government_and_politics,1.0,0.6,1.0,0.0
high_school_psychology,1.0,0.6833333333333333,1.0,0.6923076923076923
high_school_chemistry,1.0,0.6666666666666666,1.0,1.0
moral_disputes,0.9230769230769231,0.5813953488372093,1.0,0.6923076923076923
high_school_geography,1.0,0.4,1.0,0.75
marketing,0.6666666666666666,0.4,1.0,0.5
sociology,1.0,0.7,1.0,0.5
Mean,0.967948717948718,0.6239457364341086,0.9775,0.6663782051282051
