Dataset,p-value,statistic
professional_psychology,0.17827390271227953,4.91307634164777
electrical_engineering,5.864182959482022e-05,22.22222222222223
college_biology,1.0,0.0
marketing,1.0916131243648333e-16,77.43055555555557
high_school_world_history,0.00015121003760364373,20.242214532871976
professional_law,0.060588096371527574,7.385000000000001
prehistory,0.009011148960535958,11.57
philosophy,0.1858559087267757,4.8149999999999995
high_school_mathematics,0.7590063752869711,1.175
conceptual_physics,0.06181523937421505,7.340000000000001
college_medicine,0.1504548208129392,5.3100000000000005
abstract_algebra,0.04484880798464052,8.056972789115646
