Dataset,top_1_bin,top_2_bin,top_3_bin,top_4_bin
anatomy,44.44444444444444,23.14814814814815,17.59259259259259,14.814814814814815
astronomy,41.93548387096774,25.0,16.129032258064516,16.93548387096774
business_ethics,38.75,13.75,30.0,17.5
clinical_knowledge,34.43396226415094,23.11320754716981,24.056603773584907,18.39622641509434
college_biology,37.068965517241374,25.0,21.551724137931032,16.379310344827584
college_chemistry,30.0,21.25,26.25,22.5
college_computer_science,26.25,20.0,32.5,21.25
college_mathematics,27.5,22.5,25.0,25.0
college_physics,28.57142857142857,25.0,20.238095238095237,26.19047619047619
computer_security,40.0,15.0,25.0,20.0
econometrics,30.43478260869565,28.26086956521739,20.652173913043477,20.652173913043477
electrical_engineering,42.241379310344826,26.72413793103448,17.241379310344826,13.793103448275861
elementary_mathematics,27.631578947368425,19.078947368421055,28.289473684210527,25.0
formal_logic,25.961538461538463,21.153846153846153,25.0,27.884615384615387
global_facts,20.0,27.5,35.0,17.5
high_school_biology,35.08064516129032,26.61290322580645,19.758064516129032,18.548387096774192
high_school_chemistry,32.926829268292686,23.78048780487805,23.170731707317074,20.121951219512194
high_school_computer_science,33.75,30.0,16.25,20.0
high_school_european_history,40.90909090909091,30.303030303030305,12.121212121212121,16.666666666666668
high_school_geography,36.875,24.375,23.125,15.625
high_school_government_and_politics,42.307692307692314,24.35897435897436,19.871794871794872,13.461538461538463
high_school_macroeconomics,32.05128205128205,27.564102564102566,22.115384615384617,18.26923076923077
high_school_microeconomics,30.729166666666668,23.958333333333336,23.4375,21.875
high_school_physics,25.806451612903224,29.032258064516128,22.58064516129032,22.58064516129032
high_school_psychology,40.137614678899084,25.0,17.201834862385322,17.660550458715598
high_school_statistics,30.113636363636367,14.772727272727273,27.272727272727273,27.840909090909093
high_school_us_history,40.853658536585364,27.4390243902439,15.853658536585366,15.853658536585366
high_school_world_history,46.35416666666667,25.0,15.625000000000002,13.020833333333334
human_aging,41.66666666666667,19.444444444444446,20.555555555555557,18.333333333333336
human_sexuality,36.111111111111114,25.925925925925927,21.296296296296298,16.666666666666668
international_law,42.0,23.0,15.0,20.0
jurisprudence,39.77272727272727,22.72727272727273,20.454545454545457,17.045454545454547
logical_fallacies,39.39393939393939,21.96969696969697,21.96969696969697,16.666666666666668
machine_learning,22.82608695652174,29.34782608695652,23.913043478260867,23.913043478260867
management,41.666666666666664,30.952380952380953,15.476190476190476,11.904761904761905
marketing,47.87234042553192,18.085106382978722,19.148936170212764,14.893617021276595
medical_genetics,38.75,32.5,13.75,15.0
miscellaneous,41.87898089171974,23.885350318471335,19.26751592356688,14.968152866242038
moral_disputes,41.07142857142857,23.571428571428573,19.285714285714285,16.071428571428573
moral_scenarios,36.1731843575419,19.972067039106143,18.994413407821227,24.860335195530723
nutrition,41.9811320754717,23.58490566037736,15.09433962264151,19.339622641509433
professional_accounting,29.545454545454547,22.15909090909091,25.000000000000004,23.295454545454547
professional_medicine,24.074074074074073,25.925925925925927,25.925925925925927,24.074074074074073
professional_psychology,38.671875,25.0,20.703125,15.625
public_relations,38.888888888888886,16.666666666666664,30.555555555555554,13.88888888888889
security_studies,45.0,32.5,12.5,10.0
sociology,46.42857142857143,14.285714285714286,28.571428571428573,10.714285714285715
us_foreign_policy,70.0,10.0,10.0,10.0
virology,32.142857142857146,39.285714285714285,21.42857142857143,7.142857142857143
world_religions,64.58333333333334,18.75,12.5,4.166666666666667
Mean,36.91801619433198,23.570344129554655,20.711032388663966,18.80060728744939
