Dataset,A,B,C,D
anatomy,0.0,0.5833333333333334,0.3,0.11666666666666667
astronomy,0.027777777777777776,0.7083333333333334,0.18055555555555555,0.08333333333333333
business_ethics,0.04,0.68,0.22,0.06
clinical_knowledge,0.07913669064748201,0.5251798561151079,0.302158273381295,0.09352517985611511
college_biology,0.0273972602739726,0.6438356164383562,0.1917808219178082,0.136986301369863
college_chemistry,0.03571428571428571,0.7142857142857143,0.21428571428571427,0.03571428571428571
college_computer_science,0.05084745762711865,0.5084745762711864,0.2542372881355932,0.1864406779661017
college_mathematics,0.0,0.5517241379310345,0.3620689655172414,0.08620689655172414
college_physics,0.05,0.6833333333333333,0.21666666666666667,0.05
computer_security,0.041666666666666664,0.5,0.2708333333333333,0.1875
econometrics,0.015625,0.6875,0.1875,0.109375
electrical_engineering,0.04477611940298507,0.5522388059701493,0.208955223880597,0.19402985074626866
elementary_mathematics,0.0,0.8363636363636363,0.14545454545454545,0.01818181818181818
formal_logic,0.03896103896103896,0.7142857142857143,0.15584415584415584,0.09090909090909091
global_facts,0.015625,0.625,0.296875,0.0625
high_school_biology,0.08695652173913043,0.546583850931677,0.20496894409937888,0.16149068322981366
high_school_chemistry,0.0,0.7909090909090909,0.16363636363636364,0.045454545454545456
high_school_computer_science,0.0,0.7924528301886793,0.09433962264150944,0.11320754716981132
high_school_european_history,0.08974358974358974,0.47435897435897434,0.21794871794871795,0.21794871794871795
high_school_geography,0.0594059405940594,0.5841584158415841,0.2079207920792079,0.1485148514851485
high_school_government_and_politics,0.05555555555555555,0.6333333333333333,0.14444444444444443,0.16666666666666666
high_school_macroeconomics,0.0330188679245283,0.6273584905660378,0.21226415094339623,0.12735849056603774
high_school_microeconomics,0.045112781954887216,0.5488721804511278,0.24812030075187969,0.15789473684210525
high_school_physics,0.0,0.6630434782608695,0.2391304347826087,0.09782608695652174
high_school_psychology,0.04961832061068702,0.6870229007633588,0.17938931297709923,0.08396946564885496
high_school_statistics,0.0,0.7741935483870968,0.1532258064516129,0.07258064516129033
high_school_us_history,0.09278350515463918,0.6288659793814433,0.16494845360824742,0.1134020618556701
high_school_world_history,0.14563106796116504,0.47572815533980584,0.21359223300970873,0.1650485436893204
human_aging,0.08571428571428572,0.5714285714285714,0.18095238095238095,0.1619047619047619
human_sexuality,0.043478260869565216,0.5507246376811594,0.21739130434782608,0.18840579710144928
international_law,0.017241379310344827,0.603448275862069,0.1896551724137931,0.1896551724137931
jurisprudence,0.018867924528301886,0.8113207547169812,0.07547169811320754,0.09433962264150944
logical_fallacies,0.0375,0.6375,0.2375,0.0875
machine_learning,0.09859154929577464,0.4647887323943662,0.39436619718309857,0.04225352112676056
management,0.02040816326530612,0.6530612244897959,0.2857142857142857,0.04081632653061224
marketing,0.19387755102040816,0.4387755102040816,0.21428571428571427,0.15306122448979592
medical_genetics,0.08163265306122448,0.7142857142857143,0.14285714285714285,0.061224489795918366
miscellaneous,0.057534246575342465,0.7178082191780822,0.1589041095890411,0.06575342465753424
moral_disputes,0.012121212121212121,0.696969696969697,0.15151515151515152,0.1393939393939394
moral_scenarios,0.0,0.5764192139737991,0.3296943231441048,0.09388646288209607
nutrition,0.04878048780487805,0.6422764227642277,0.21951219512195122,0.08943089430894309
professional_accounting,0.03225806451612903,0.8225806451612904,0.13709677419354838,0.008064516129032258
professional_medicine,0.012195121951219513,0.5853658536585366,0.13414634146341464,0.2682926829268293
professional_psychology,0.03184713375796178,0.7261146496815286,0.18471337579617833,0.05732484076433121
public_relations,0.0,0.6818181818181818,0.045454545454545456,0.2727272727272727
security_studies,0.045454545454545456,0.09090909090909091,0.4090909090909091,0.45454545454545453
sociology,0.0,0.4666666666666667,0.3333333333333333,0.2
us_foreign_policy,0.0,0.5,0.0,0.5
virology,0.10526315789473684,0.5263157894736842,0.21052631578947367,0.15789473684210525
world_religions,0.11764705882352941,0.7058823529411765,0.11764705882352941,0.058823529411764705
Mean,0.04377517070223473,0.6373547465415218,0.20898443766119085,0.10988564509505262
