Dataset,A,B,C,D
anatomy,-0.030427230116289977,-0.028896162124064456,0.008004588697700044,0.05131880354265439
astronomy,-0.04550609250512974,-0.00524016807642097,-0.0003529715899577568,0.051099232171508496
business_ethics,0.025019624407068897,0.008912684506651947,0.018317436977992763,-0.05224974589171366
clinical_knowledge,0.04210941866011328,-0.008219229409272166,-0.03556533105855231,0.0016751418077111113
college_biology,-0.02402584194042892,-0.007572203221306223,-0.004334616778742556,0.03593266194047773
college_chemistry,-0.03236066189157877,0.021990975535273488,-0.01991326493421676,0.030282951290522026
college_computer_science,-0.04004804395326868,0.022810140803932136,-0.017926697764605162,0.035164600913941704
college_mathematics,-0.04466932008203274,0.005336675764621185,0.016925336243451397,0.022407308073960172
college_physics,-0.03512858052047607,-0.005271279421645514,0.03529845537739702,0.005101404564724549
computer_security,-0.03955870665398745,-0.008358605496962601,-0.01416297237321687,0.06208028452416697
econometrics,0.018227724547300664,0.0033177871059737324,-0.018995423867907035,-0.002550087785367375
electrical_engineering,-0.040098212752421564,-0.00766155317055528,0.005864142064454236,0.04189562385852258
elementary_mathematics,-0.03443877781089796,-0.00355946548392172,0.03147106370238886,0.006527179592430821
formal_logic,-0.045878865510678914,0.0290292090177362,0.016835499320919947,1.4157172022757902e-05
global_facts,-0.045715258712194,-0.007272191609745807,0.043747823538188554,0.009239626783751245
high_school_biology,-0.012201883840313593,-0.0012789586712015633,-0.019469014792935502,0.032949857304450686
high_school_chemistry,-0.04428998732035078,0.02292553023599675,0.016071997505102742,0.005292459579251341
high_school_computer_science,-0.026665542959640437,0.00228404205065591,0.0018300077440540907,0.022551493164930547
high_school_european_history,-0.022333225513186783,-0.018343484079149847,0.005549530808722725,0.03512717878361393
high_school_geography,0.0016612042815219719,-0.005184541312697827,-0.01625700884176956,0.01978034587294536
high_school_government_and_politics,-0.008375111125098034,-0.00968459739031588,-0.025487183688328918,0.043546892203742915
high_school_macroeconomics,-0.0353360207226249,-0.006179387103431522,-0.002304595919838115,0.04382000374589454
high_school_microeconomics,-0.033415730221331555,-0.004935727092357622,0.02516917018851189,0.013182287125177217
high_school_physics,-0.015021670813844645,0.009052765806110516,0.01843872755192208,-0.012469822544187957
high_school_psychology,-0.0810551327714214,-0.0012032877929335772,0.008416902618838151,0.07384151794551683
high_school_statistics,-0.037721726255880036,0.026227534098705235,-0.005329873092512524,0.01682406524968731
high_school_us_history,-0.01787685588873339,0.0007682842011180468,-0.018330627882291728,0.035439199569907154
high_school_world_history,0.044048126606027665,-0.06791774799489356,-0.030860929093549788,0.05473055048241571
human_aging,-0.05582500111837188,0.000334787705391304,0.03369266125466369,0.021797552158316913
human_sexuality,-0.04548864084496171,-0.010881679792835441,-0.03524103055538108,0.09161135119317826
international_law,-0.061842726872918266,0.02264160791008729,0.011648545049165737,0.027552573913665224
jurisprudence,0.019853052793983667,0.010896617578577683,0.005521763383064593,-0.0362714337556259
logical_fallacies,-0.05614651902317594,0.01595061482885804,0.011253827500226521,0.028942076694091434
machine_learning,0.03407435728385308,-0.02667975834269609,-0.0281868998828238,0.020792300941666814
management,-0.07835870238695254,-0.004911444401661885,0.03196394791369936,0.05130619887491511
marketing,0.014828517938307029,-0.020207166915577,-0.023597914104258544,0.02897656308152846
medical_genetics,0.14098066851007113,-0.05060754566787912,-0.043067466157599946,-0.04730565668459211
miscellaneous,0.0026718194322455646,-0.03759854777985708,-0.012299249547486318,0.047225977895097776
moral_disputes,-0.025706723612785642,-0.021146418208517648,-0.003734222316538971,0.05058736413784226
moral_scenarios,-0.0353104952813712,0.0010548318728320627,0.015893165249425356,0.018362498159113755
nutrition,-0.05269531843641326,0.024301869770704393,0.0052164816764067035,0.023176966989302217
professional_accounting,0.027323389528385367,-0.010235184002259298,0.002319402610910834,-0.019407608137036847
professional_medicine,-0.012098329585312692,0.02632097932518332,-0.013067940606940748,-0.0011547091329298653
professional_psychology,0.04751972648982555,0.00667310913261468,-0.03945739352289451,-0.014735442099545693
public_relations,0.04466082686416839,0.011006455390920267,-0.0234743919713519,-0.0321928902837367
security_studies,0.11222794492310316,-0.018737044371337247,-0.03419231042271835,-0.0592985901290476
sociology,0.07897617925041905,-0.11048974493760295,-0.05608985125030724,0.08760341693749113
us_foreign_policy,0.1640557416736539,-0.021563809741265705,-0.028508806540814252,-0.11398312539157397
virology,0.08462013089985265,-0.0019097850653755633,-0.03338010297231343,-0.04933024286216367
world_religions,0.13033807776711315,-0.043671411069186844,-0.04770625776490864,-0.03896040893301772
Mean,-0.016775325410131093,-0.005962099899736456,-0.0021380551693513396,0.02487548047921889
Std,0.04193820724199896,0.02104400379029522,0.021448293142839997,0.029865323332759982
