Dataset,0,1,2,3
anatomy,0.8,0.7857142857142857,1.0,0.8947368421052632
astronomy,0.6470588235294118,0.7543859649122807,0.8888888888888888,0.782608695652174
business_ethics,1.0,0.6666666666666666,0.6818181818181818,0.875
clinical_knowledge,0.7142857142857143,0.6875,0.8360655737704918,0.8333333333333334
college_biology,0.7142857142857143,0.7142857142857143,0.8695652173913043,0.8125
college_chemistry,0.7777777777777778,0.8333333333333334,0.8,0.9
college_computer_science,0.7692307692307693,0.625,0.9,0.8666666666666667
college_mathematics,0.3333333333333333,0.9393939393939394,0.8695652173913043,0.8333333333333334
college_physics,0.9230769230769231,0.75,0.9090909090909091,0.8333333333333334
computer_security,0.7333333333333333,0.65625,0.9473684210526315,0.7142857142857143
econometrics,0.8666666666666667,0.7906976744186046,0.8823529411764706,0.8235294117647058
electrical_engineering,0.8333333333333334,0.6981132075471698,0.8695652173913043,0.6363636363636364
elementary_mathematics,0.7941176470588235,0.875,0.8571428571428571,0.8947368421052632
formal_logic,0.8,0.8235294117647058,0.7058823529411765,0.7619047619047619
global_facts,0.5,0.8333333333333334,0.7647058823529411,0.9090909090909091
high_school_biology,0.782608695652174,0.6851851851851852,0.8367346938775511,0.8666666666666667
high_school_chemistry,0.8125,0.7446808510638298,0.9333333333333333,0.9583333333333334
high_school_computer_science,1.0,0.7209302325581395,0.9230769230769231,0.8666666666666667
high_school_european_history,0.8888888888888888,0.5490196078431373,0.6896551724137931,0.56
high_school_geography,0.7727272727272727,0.6455696202531646,0.9259259259259259,0.6875
high_school_government_and_politics,0.8928571428571429,0.6351351351351351,0.7857142857142857,0.7307692307692307
high_school_macroeconomics,0.7428571428571429,0.7310344827586207,0.8571428571428571,0.8548387096774194
high_school_microeconomics,0.7241379310344828,0.5714285714285714,0.8717948717948718,0.9
high_school_physics,0.7857142857142857,0.7213114754098361,0.75,0.7619047619047619
high_school_psychology,0.8,0.7864583333333334,0.8369565217391305,0.7792207792207793
high_school_statistics,0.7333333333333333,0.8230088495575221,0.75,0.84375
high_school_us_history,0.896551724137931,0.7534246575342466,0.896551724137931,0.6666666666666666
high_school_world_history,0.9142857142857143,0.6790123456790124,0.7317073170731707,0.6571428571428571
human_aging,0.8529411764705882,0.6712328767123288,0.8571428571428571,0.7368421052631579
human_sexuality,0.5909090909090909,0.723404255319149,0.8181818181818182,0.8823529411764706
international_law,1.0,0.7317073170731707,0.7916666666666666,0.75
jurisprudence,0.7857142857142857,0.6739130434782609,0.9230769230769231,0.9333333333333333
logical_fallacies,0.9047619047619048,0.6451612903225806,0.9259259259259259,0.7727272727272727
machine_learning,0.7857142857142857,0.5945945945945946,0.9642857142857143,0.7692307692307693
management,0.6,0.7931034482758621,0.7407407407407407,0.8461538461538461
marketing,0.8888888888888888,0.582089552238806,0.85,0.6944444444444444
medical_genetics,0.9333333333333333,0.5853658536585366,0.5384615384615384,0.9090909090909091
miscellaneous,0.8547008547008547,0.706959706959707,0.8059701492537313,0.7307692307692307
moral_disputes,0.8181818181818182,0.7867647058823529,0.9,0.76
moral_scenarios,1.0,0.5694822888283378,0.8439716312056738,0.9813084112149533
nutrition,0.8604651162790697,0.7176470588235294,0.851063829787234,0.918918918918919
professional_accounting,0.8857142857142857,0.8275862068965517,0.7948717948717948,1.0
professional_medicine,0.8235294117647058,0.7317073170731707,0.7142857142857143,0.9310344827586207
professional_psychology,0.8387096774193549,0.6792452830188679,0.7647058823529411,0.7567567567567568
public_relations,0.7777777777777778,0.7777777777777778,0.5555555555555556,1.0
security_studies,0.6,0.5714285714285714,0.3076923076923077,0.6
sociology,0.8571428571428571,0.4444444444444444,1.0,0.5555555555555556
us_foreign_policy,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333
virology,1.0,0.6923076923076923,0.5,0.75
world_religions,0.9166666666666666,0.5217391304347826,0.375,1.0
Mean,0.8257865437415628,0.7048510515089522,0.8259049903851781,0.817713747199897
