Dataset,top_1_bin,top_2_bin,top_3_bin,top_4_bin
anatomy,49.074074074074076,26.85185185185185,12.962962962962964,11.11111111111111
astronomy,48.387096774193544,29.032258064516128,12.903225806451612,9.677419354838708
business_ethics,56.25,18.75,13.75,11.25
clinical_knowledge,36.79245283018868,33.49056603773585,18.39622641509434,11.320754716981131
college_biology,48.275862068965516,30.172413793103445,12.93103448275862,8.620689655172413
college_chemistry,28.75,30.0,27.5,13.75
college_computer_science,17.5,38.75,21.25,22.5
college_mathematics,32.5,26.25,27.5,13.75
college_physics,23.80952380952381,34.523809523809526,21.428571428571427,20.238095238095237
computer_security,43.75,32.5,16.25,7.5
econometrics,28.26086956521739,32.608695652173914,28.26086956521739,10.869565217391305
electrical_engineering,51.72413793103448,22.413793103448274,13.793103448275861,12.068965517241379
elementary_mathematics,23.35526315789474,36.8421052631579,23.68421052631579,16.11842105263158
formal_logic,25.961538461538463,27.884615384615387,26.923076923076923,19.23076923076923
global_facts,30.0,28.75,26.25,15.0
high_school_biology,46.774193548387096,26.61290322580645,16.532258064516128,10.080645161290322
high_school_chemistry,39.63414634146341,25.0,25.0,10.365853658536585
high_school_computer_science,38.75,33.75,17.5,10.0
high_school_european_history,46.21212121212121,28.78787878787879,13.636363636363637,11.363636363636363
high_school_geography,47.5,22.5,23.125,6.875
high_school_government_and_politics,50.00000000000001,31.410256410256412,10.897435897435898,7.692307692307693
high_school_macroeconomics,41.98717948717949,29.48717948717949,17.30769230769231,11.217948717948719
high_school_microeconomics,29.687500000000004,32.8125,22.916666666666668,14.583333333333334
high_school_physics,23.387096774193548,38.70967741935483,21.774193548387096,16.129032258064516
high_school_psychology,52.98165137614679,20.18348623853211,18.34862385321101,8.486238532110093
high_school_statistics,22.72727272727273,34.09090909090909,23.295454545454547,19.886363636363637
high_school_us_history,40.24390243902439,29.268292682926827,18.902439024390244,11.585365853658537
high_school_world_history,46.35416666666667,34.375,11.458333333333334,7.812500000000001
human_aging,40.0,25.555555555555557,21.11111111111111,13.333333333333334
human_sexuality,39.81481481481482,29.62962962962963,24.074074074074073,6.481481481481482
international_law,58.0,26.0,7.0,9.0
jurisprudence,47.727272727272734,14.772727272727273,19.31818181818182,18.181818181818183
logical_fallacies,43.93939393939394,26.515151515151516,18.939393939393938,10.606060606060606
machine_learning,22.82608695652174,27.173913043478258,20.652173913043477,29.34782608695652
management,48.80952380952381,29.761904761904763,14.285714285714285,7.142857142857142
marketing,52.659574468085104,22.872340425531913,14.893617021276595,9.574468085106382
medical_genetics,36.25,31.25,18.75,13.75
miscellaneous,51.273885350318466,26.433121019108277,13.694267515923567,8.598726114649681
moral_disputes,39.642857142857146,32.142857142857146,20.0,8.214285714285715
moral_scenarios,17.31843575418994,29.748603351955307,26.955307262569832,25.977653631284916
nutrition,51.88679245283019,25.471698113207548,16.037735849056602,6.60377358490566
professional_accounting,32.38636363636364,36.36363636363637,18.75,12.500000000000002
professional_medicine,48.148148148148145,28.703703703703702,17.59259259259259,5.555555555555555
professional_psychology,44.921875,28.515625,16.40625,10.15625
public_relations,8.333333333333332,44.44444444444444,30.555555555555554,16.666666666666664
security_studies,40.0,40.0,12.5,7.5
sociology,39.285714285714285,28.571428571428573,17.857142857142858,14.285714285714286
us_foreign_policy,55.0,35.0,5.0,5.0
virology,21.42857142857143,53.57142857142858,17.857142857142858,7.142857142857143
world_religions,68.75,25.0,6.25,0.0
Mean,39.49898785425101,29.02327935222672,18.93977732793522,12.537955465587045
