Dataset,A,B,C,D
anatomy,0.9117647058823529,0.4827586206896552,0.7894736842105263,0.8461538461538461
astronomy,0.9761904761904762,0.6206896551724138,0.6428571428571429,1.0
business_ethics,1.0,0.6,0.625,0.8
clinical_knowledge,0.9838709677419355,0.5757575757575758,0.6923076923076923,0.8444444444444444
college_biology,1.0,0.5416666666666666,0.7741935483870968,0.84
college_chemistry,0.9142857142857143,0.6363636363636364,0.8888888888888888,0.6428571428571429
college_computer_science,0.9047619047619048,0.7272727272727273,0.7894736842105263,0.8888888888888888
college_mathematics,0.7777777777777778,0.5714285714285714,0.5789473684210527,0.7692307692307693
college_physics,0.875,0.7142857142857143,0.5555555555555556,0.7333333333333333
computer_security,0.9,0.5263157894736842,0.6842105263157895,0.8636363636363636
econometrics,0.8666666666666667,0.6470588235294118,0.7916666666666666,1.0
electrical_engineering,0.9047619047619048,0.76,0.7222222222222222,0.9705882352941176
elementary_mathematics,0.972027972027972,0.5866666666666667,0.45454545454545453,0.6666666666666666
formal_logic,0.8653846153846154,0.3,0.625,0.75
global_facts,0.9285714285714286,0.4666666666666667,0.6875,0.6666666666666666
high_school_biology,0.9538461538461539,0.6551724137931034,0.8194444444444444,0.9433962264150944
high_school_chemistry,0.9310344827586207,0.65625,0.5897435897435898,0.8285714285714286
high_school_computer_science,0.9473684210526315,0.5882352941176471,0.4166666666666667,0.8461538461538461
high_school_european_history,0.8571428571428571,0.7419354838709677,0.7741935483870968,0.8571428571428571
high_school_geography,0.9069767441860465,0.6756756756756757,0.8205128205128205,0.9024390243902439
high_school_government_and_politics,0.9736842105263158,0.6829268292682927,0.6666666666666666,0.8947368421052632
high_school_macroeconomics,0.9306930693069307,0.6857142857142857,0.6617647058823529,0.9041095890410958
high_school_microeconomics,0.9032258064516129,0.6,0.5813953488372093,0.8378378378378378
high_school_physics,0.7727272727272727,0.7777777777777778,0.8108108108108109,0.9655172413793104
high_school_psychology,0.9051094890510949,0.7523809523809524,0.7684210526315789,0.9090909090909091
high_school_statistics,0.8571428571428571,0.723404255319149,0.7297297297297297,0.813953488372093
high_school_us_history,0.9038461538461539,0.6285714285714286,0.6666666666666666,0.875
high_school_world_history,0.9047619047619048,0.5925925925925926,0.5882352941176471,0.7804878048780488
human_aging,0.9056603773584906,0.5526315789473685,0.7708333333333334,0.926829268292683
human_sexuality,0.90625,0.5625,0.6923076923076923,0.8823529411764706
international_law,0.9393939393939394,0.5,0.6818181818181818,0.9130434782608695
jurisprudence,0.9375,0.8461538461538461,0.7619047619047619,0.8181818181818182
logical_fallacies,0.875,0.6153846153846154,0.8205128205128205,0.9629629629629629
machine_learning,0.7741935483870968,0.47058823529411764,0.7777777777777778,0.8076923076923077
management,0.9090909090909091,0.7222222222222222,0.7307692307692307,0.8888888888888888
marketing,0.9206349206349206,0.8157894736842105,0.7804878048780488,0.9565217391304348
medical_genetics,0.88,0.64,0.6,0.8
miscellaneous,0.9476190476190476,0.6535947712418301,0.746031746031746,0.8848920863309353
moral_disputes,0.9239130434782609,0.6417910447761194,0.7592592592592593,0.8805970149253731
moral_scenarios,0.9798488664987406,0.4602272727272727,0.3493975903614458,0.1
nutrition,0.9104477611940298,0.6078431372549019,0.7142857142857143,0.8666666666666667
professional_accounting,0.9482758620689655,0.6274509803921569,0.6842105263157895,0.7241379310344828
professional_medicine,0.9629629629629629,0.45714285714285713,0.6923076923076923,1.0
professional_psychology,0.8933333333333333,0.7285714285714285,0.7735849056603774,0.896551724137931
public_relations,1.0,0.6666666666666666,0.6666666666666666,0.9166666666666666
security_studies,0.9,0.5555555555555556,0.5555555555555556,0.9166666666666666
sociology,1.0,0.7777777777777778,0.6666666666666666,1.0
us_foreign_policy,1.0,0.5,0.5,0.8571428571428571
virology,1.0,0.7777777777777778,0.5,0.8333333333333334
world_religions,0.9166666666666666,0.5625,0.8,0.8
Mean,0.9245853310113122,0.6246351970960701,0.6719893651552203,0.7950355714781686
