Dataset,A,B,C,D
anatomy,-0.00026185643097692557,-0.047759193830325786,0.020798430699195958,0.027222619562106865
astronomy,-0.025722082772363597,-0.0323823872046724,0.00851811970544003,0.04958635027159586
business_ethics,-0.011968724074679304,0.005333651148612728,-0.006197125165243178,0.012832198091309921
clinical_knowledge,0.030303499615308538,-0.05695454032530162,-0.012396346501929723,0.03904738721192286
college_biology,-0.031797663013884425,-0.04864721667259925,0.020378923080846156,0.06006595660563763
college_chemistry,0.031468028287519656,-0.013325549925950586,-0.0019881977994574696,-0.016154280562111656
college_computer_science,0.06128908760057694,-0.06960356505880266,-0.028478980230983553,0.03679345768920922
college_mathematics,0.023005639186732763,-0.019210036129090002,-0.002332612025720604,-0.0014629910319221007
college_physics,0.057810238694826876,-0.03954053857211737,-0.013237736865154892,-0.00503196325755445
computer_security,-0.009985118428652129,-0.0336043034593127,0.00539800091813708,0.038191420969827916
econometrics,0.011923288975458801,-0.034495759475548615,0.0071313533782333405,0.015441117121856585
electrical_engineering,-0.009323639947299678,-0.008558588895515085,0.0011462216498215883,0.016736007192993063
elementary_mathematics,0.12222869328256275,-0.06265345283437099,-0.049276189850208624,-0.010299050597983195
formal_logic,0.05781872744247307,-0.15706250188333118,0.02139469315443815,0.07784908128641982
global_facts,0.048802404086895734,-0.063487923716571,-0.01864907329053711,0.033334592920212236
high_school_biology,0.0030409548154983757,-0.05187087133446128,0.018278537382330484,0.030551379136632473
high_school_chemistry,0.008789130539123224,-0.042241760123113925,0.001037289419484111,0.032415340164506534
high_school_computer_science,-0.013330310570722481,-0.030159505641932205,-0.01674778419472922,0.06023760040738385
high_school_european_history,0.003844704856473924,-0.0360597328891849,-0.0037410742792445273,0.03595610231195551
high_school_geography,0.014519095903844037,-0.020709769384022803,-0.01728127861185408,0.023471952092032844
high_school_government_and_politics,-0.016487109998044036,0.0061970641205089105,-0.013501893488514216,0.023791939366049453
high_school_macroeconomics,0.008880539294944367,-0.016851104595122457,-0.033748480986938445,0.041719046287116535
high_school_microeconomics,0.07633138916861054,-0.06764426781120908,-0.04905417110828686,0.04036704975088534
high_school_physics,0.09792011292628805,-0.09395950357378835,-0.036351506689589475,0.03239089733708983
high_school_psychology,-0.007847398774549263,-0.02264261011061869,0.011076460713983993,0.019413548171184014
high_school_statistics,0.061369791500909154,-0.055454595939594065,-0.027366492909730644,0.021451297348415554
high_school_us_history,0.02539270836326435,-0.03333601704915651,-0.00951106496002696,0.017454373645919063
high_school_world_history,-0.018424968923544227,-0.019687079705068944,0.0051810013443183145,0.0329310472842948
human_aging,0.01767186164620621,-0.04510014711870147,7.518505605147441e-05,0.027353100416443676
human_sexuality,0.015177343891155826,-0.03800727128601811,-0.011755170314483643,0.03458509770934576
international_law,-0.05677459162215781,-0.0024104669805110612,0.038678840702916106,0.020506217899752932
jurisprudence,-0.021200495723677937,-0.015417917355365907,0.006109660313158294,0.030508752765885605
logical_fallacies,0.016558810085705755,-0.030223739963262608,-0.006708823252439988,0.020373753129996675
machine_learning,0.042185812434068326,-0.05128112255336398,0.010204535740993781,-0.0011092256216981844
management,-0.005893184014013064,-0.014655128819635155,0.0034824370231122392,0.01706587581053598
marketing,-0.014703690748913312,-0.005266373822597814,0.0016503898958241114,0.018319674675687014
medical_genetics,0.08185082591276527,-0.09898675171563545,-0.06130454997420809,0.07844047577707824
miscellaneous,-0.019765290822052306,-0.008587439225556992,0.003616787997054227,0.02473594205055507
moral_disputes,0.01833391921972427,-0.0459970103054021,-0.0037456545467769997,0.031408745632454826
moral_scenarios,0.18148174811686757,-0.018332903281230578,-0.03730798279592934,-0.12584086203970757
nutrition,-0.03692121968627177,-0.005084786042633127,1.8298099537239487e-05,0.0419877076293676
professional_accounting,0.07312801633710447,-0.06274714388269753,-0.026317691168844526,0.015936818714437584
professional_medicine,0.02563607551604824,-0.03810076307721472,-0.028144532647328746,0.04060922020849522
professional_psychology,0.017042999260297842,-0.013589893198258762,-0.03080890715489515,0.027355801092855958
public_relations,0.26519703782990545,-0.07063013827906059,-0.14510046060121848,-0.04946643894962638
security_studies,0.12393988537785727,-0.06018996936585297,-0.10860954346405938,0.044859627452055184
sociology,0.06796341901181269,-0.047185674958236556,-0.044208787411415595,0.023431043357839354
us_foreign_policy,0.012656735136493347,-0.004223900559837124,-0.010957908500440872,0.0025250739237847597
virology,0.170156035874082,-0.08168496898189079,-0.18865178231565372,0.10018071542346263
world_religions,-0.04968509789888337,-0.009842482973139333,0.016267328386541102,0.04326025248548171
Mean,0.032697527530841056,-0.033686186170035874,-0.012512483347360753,0.013501141986555566
Std,0.06453804963858822,0.027229247642211348,0.026631042701593593,0.048081607031769696
