Dataset,0,1,2,3
anatomy,-0.04312305619560425,0.00035912740922405817,0.021318400870274812,0.021445527916105434
astronomy,-0.060127787609144,0.03222973469352769,0.01798339062294929,0.009914662292667242
business_ethics,-0.0019905427175038737,-0.0006925499224171849,0.0036636602160675658,-0.0009805675761465626
clinical_knowledge,-0.012911392511648412,0.004406082781183929,0.020104102184594297,-0.011598792454129703
college_biology,-0.06671272889055302,0.012468926145512593,0.02284464284963722,0.03139915989540343
college_chemistry,-0.07010133563658,0.005735151623020851,0.0443877003926092,0.019978483620950005
college_computer_science,0.03638002338702162,0.01656777703707807,-0.010138640361997825,-0.04280916006210192
college_mathematics,-0.01930661063628264,0.02141121030857457,0.013565746437065651,-0.01567034610935758
college_physics,-0.048931651557712064,0.09047576707900218,0.0017530993280669982,-0.04329721484935717
computer_security,-0.006487035355448867,-0.003638004138601436,0.013559999433700898,-0.0034349599396505393
econometrics,-0.0780410177185667,0.016537369380405065,0.055005295484639116,0.0064983528535224044
electrical_engineering,-0.042004405131085776,0.009782368062717484,0.008159837793568991,0.024062199274799356
elementary_mathematics,0.019047481618913065,0.07746365542613654,-0.03952302460735174,-0.05698811243769808
formal_logic,-0.023562713592211737,0.026784766632300117,0.019432137688647655,-0.022654190728735868
global_facts,0.017116864757830252,0.061267420341413026,0.00043480964032482916,-0.07881909473956814
high_school_biology,-0.021817004647582794,0.01701187933311199,0.022804587256620545,-0.017999461942149853
high_school_chemistry,-0.07510687975161418,0.055364210695019955,0.01921204951369221,0.0005306195429020111
high_school_computer_science,0.01178393308779696,0.015285814703297596,-0.010349737311970808,-0.016720010479123804
high_school_european_history,-0.05109608000393673,0.0074637737749279065,0.024020131459372318,0.019612174769636614
high_school_geography,-0.0015415973017263163,0.0054816491421880165,0.004005119442888505,-0.007945171283350205
high_school_government_and_politics,-0.03164095769174674,0.010450106315546825,0.0027340209003329785,0.01845683047586677
high_school_macroeconomics,-0.030982853156733547,0.022485367734448147,0.005468027475707793,0.0030294579465777183
high_school_microeconomics,0.013325755110277948,0.016771410783940066,0.010811665662261105,-0.04090883155647901
high_school_physics,-0.045992321524950086,0.05651022722274601,0.04062761095854578,-0.051145516656341594
high_school_psychology,-0.018469427079648104,-0.014595183642014065,0.028908353078495874,0.0041562576431661835
high_school_statistics,0.020221640227109094,0.04615721414670565,0.02481275371274927,-0.09119160808656401
high_school_us_history,-0.05744510480800741,0.025639996283281785,0.020737010678981982,0.011068097845743696
high_school_world_history,-0.015536827543804144,-0.021582667431698566,0.033789077774189546,0.0033304172013132183
human_aging,-0.053974406830563204,0.020963012824248284,0.011089421009776279,0.021921972996538475
human_sexuality,-0.08693632717770522,0.009249523775861412,0.03808375399634378,0.03960304940550008
international_law,-0.05570869198661205,-0.00739043310119436,0.03904898844280108,0.024050136645005493
jurisprudence,-0.036931941126464085,0.041692239879232595,0.016039665410379322,-0.020799964163147888
logical_fallacies,-0.002615204578471586,0.010671668786913835,-0.009576619896269067,0.0015201556878270406
machine_learning,-0.013524129084688197,-0.013986924981910565,0.0446906786258795,-0.017179624559280682
management,-0.07797557429233609,0.02517900723859906,0.030327703425901964,0.022468863627834956
marketing,-0.027039934583382386,0.011489204777709816,0.0077933674057441005,0.007757362399928247
medical_genetics,-0.0018981839864791183,0.02214107357767625,0.008210157488234449,-0.02845304707943147
miscellaneous,-0.02672595631088287,0.01015525449856891,0.007223843769444904,0.009346858042868889
moral_disputes,-0.02228640672289328,0.013171542858729568,0.00327670724760154,0.005838156616562229
moral_scenarios,0.07256153483811806,-0.12303696956157201,0.09028716562145345,-0.03981173089799944
nutrition,-0.04214853543670438,0.019531060653718513,0.010133266470668867,0.012484208312317224
professional_accounting,-0.006312558924819633,0.07898631329726963,-0.023095908850380764,-0.04957784552206912
professional_medicine,-0.009660218528020736,0.05423849519035173,0.021100024215834734,-0.06567830087816579
professional_psychology,0.0034742888970308305,-0.00089439790026552,0.01982432682888563,-0.02240421782565094
public_relations,-0.10969059217933064,0.026485794677624408,0.048077272539507276,0.03512752496219895
security_studies,0.03275544885887527,-0.03958688733081972,-0.01506620647160889,0.021897644943553285
sociology,0.05258243391201711,-0.016722593175904854,-0.03841569670892714,0.00255585597281488
us_foreign_policy,0.015969041599451894,-0.02804811785151884,-0.0164631650933591,0.028542241345426045
virology,0.10356838726661605,-0.013187105716955971,-0.04571454049481932,-0.04466674105484075
world_religions,-0.0497716842526445,-0.0288428551876595,0.00017631919985455768,0.07843822024044922
Mean,-0.01521900633545938,0.005596678342447044,0.019441920511583766,-0.009819592518571433
Std,0.039958799715703035,0.04826919188118624,0.02917910063166323,0.030183753747700447
