Dataset,top_1_bin,top_2_bin,top_3_bin,top_4_bin
anatomy,25.0,31.48148148148148,23.14814814814815,20.37037037037037
astronomy,21.774193548387096,25.0,31.451612903225804,21.774193548387096
business_ethics,40.0,31.25,15.0,13.75
clinical_knowledge,30.660377358490567,30.660377358490567,20.28301886792453,18.39622641509434
college_biology,25.86206896551724,30.172413793103445,21.551724137931032,22.413793103448274
college_chemistry,13.75,27.5,31.25,27.5
college_computer_science,23.75,32.5,21.25,22.5
college_mathematics,26.25,31.25,20.0,22.5
college_physics,20.238095238095237,23.80952380952381,34.523809523809526,21.428571428571427
computer_security,28.75,40.0,20.0,11.25
econometrics,32.608695652173914,25.0,28.26086956521739,14.130434782608695
electrical_engineering,30.172413793103445,35.3448275862069,16.379310344827584,18.103448275862068
elementary_mathematics,21.38157894736842,25.98684210526316,28.947368421052634,23.68421052631579
formal_logic,20.192307692307693,24.03846153846154,21.153846153846153,34.61538461538461
global_facts,23.75,38.75,15.0,22.5
high_school_biology,27.419354838709676,33.46774193548387,23.387096774193548,15.725806451612902
high_school_chemistry,21.95121951219512,29.268292682926827,28.65853658536585,20.121951219512194
high_school_computer_science,25.0,25.0,23.75,26.25
high_school_european_history,36.36363636363636,28.03030303030303,19.696969696969695,15.909090909090908
high_school_geography,35.0,26.875,20.625,17.5
high_school_government_and_politics,28.84615384615385,32.69230769230769,25.641025641025642,12.820512820512821
high_school_macroeconomics,21.474358974358974,28.84615384615385,26.602564102564106,23.07692307692308
high_school_microeconomics,22.916666666666668,33.333333333333336,23.958333333333336,19.791666666666668
high_school_physics,18.548387096774192,35.483870967741936,20.96774193548387,25.0
high_school_psychology,29.12844036697248,31.422018348623855,21.55963302752294,17.889908256880734
high_school_statistics,21.590909090909093,21.590909090909093,24.431818181818183,32.38636363636364
high_school_us_history,33.53658536585366,32.3170731707317,16.463414634146343,17.682926829268293
high_school_world_history,32.29166666666667,24.479166666666668,23.4375,19.791666666666668
human_aging,32.77777777777778,26.11111111111111,23.333333333333336,17.77777777777778
human_sexuality,32.407407407407405,22.22222222222222,28.703703703703702,16.666666666666668
international_law,41.0,26.0,21.0,12.0
jurisprudence,30.681818181818183,27.272727272727273,18.181818181818183,23.863636363636367
logical_fallacies,25.0,30.303030303030305,21.96969696969697,22.727272727272727
machine_learning,26.08695652173913,35.869565217391305,21.73913043478261,16.304347826086957
management,25.0,30.952380952380953,19.047619047619047,25.0
marketing,45.212765957446805,25.53191489361702,18.085106382978722,11.170212765957446
medical_genetics,28.75,28.75,22.5,20.0
miscellaneous,31.369426751592353,32.961783439490446,18.94904458598726,16.719745222929937
moral_disputes,32.5,31.071428571428573,19.642857142857142,16.785714285714285
moral_scenarios,30.3072625698324,31.843575418994412,19.1340782122905,18.71508379888268
nutrition,34.905660377358494,33.49056603773585,17.92452830188679,13.679245283018869
professional_accounting,35.227272727272734,25.56818181818182,20.454545454545457,18.75
professional_medicine,28.703703703703702,29.62962962962963,23.14814814814815,18.51851851851852
professional_psychology,38.671875,32.8125,16.796875,11.71875
public_relations,44.44444444444444,36.11111111111111,11.11111111111111,8.333333333333332
security_studies,42.5,22.5,22.5,12.5
sociology,25.0,42.85714285714286,17.857142857142858,14.285714285714286
us_foreign_policy,45.0,45.0,5.0,5.0
virology,53.57142857142858,25.0,17.857142857142858,3.5714285714285716
world_religions,72.91666666666667,25.0,2.0833333333333335,0.0
Mean,29.719129554655872,30.060728744939272,21.58400809716599,18.636133603238868
