Dataset,A,B,C,D
anatomy,0.6333333333333333,0.5,0.25,0.75
astronomy,0.6792452830188679,0.35294117647058826,0.5384615384615384,0.8571428571428571
business_ethics,0.9090909090909091,0.3684210526315789,0.5,0.75
clinical_knowledge,0.9043478260869565,0.20689655172413793,0.3,0.8421052631578947
college_biology,0.8857142857142857,0.2,0.42857142857142855,0.6666666666666666
college_chemistry,0.5625,0.46153846153846156,0.7142857142857143,0.9166666666666666
college_computer_science,0.8,0.1,0.23076923076923078,0.7727272727272727
college_mathematics,0.5,0.08333333333333333,0.26666666666666666,0.8857142857142857
college_physics,0.7333333333333333,0.2,0.48,0.8529411764705882
computer_security,0.8157894736842105,0.2,0.46153846153846156,0.7857142857142857
econometrics,0.9318181818181818,0.0,0.65,0.5
electrical_engineering,0.75,0.52,0.6666666666666666,0.8181818181818182
elementary_mathematics,0.5454545454545454,0.18181818181818182,0.6029411764705882,0.9634146341463414
formal_logic,0.6666666666666666,0.18181818181818182,0.3333333333333333,1.0
global_facts,0.6666666666666666,0.0,0.5,0.9565217391304348
high_school_biology,0.7837837837837838,0.4411764705882353,0.3617021276595745,0.9107142857142857
high_school_chemistry,0.6770833333333334,0.25,0.52,0.8709677419354839
high_school_computer_science,0.71875,0.23076923076923078,0.6363636363636364,0.8461538461538461
high_school_european_history,0.7115384615384616,0.7058823529411765,0.25,0.8636363636363636
high_school_geography,0.8441558441558441,0.38095238095238093,0.34615384615384615,0.7777777777777778
high_school_government_and_politics,0.8974358974358975,0.15789473684210525,0.375,0.5925925925925926
high_school_macroeconomics,0.7933884297520661,0.5733333333333334,0.7241379310344828,0.6896551724137931
high_school_microeconomics,0.717391304347826,0.10526315789473684,0.76,0.7419354838709677
high_school_physics,0.7631578947368421,0.07142857142857142,0.48,0.851063829787234
high_school_psychology,0.8552631578947368,0.42857142857142855,0.4090909090909091,0.8860759493670886
high_school_statistics,0.8478260869565217,0.34782608695652173,0.5666666666666667,0.7741935483870968
high_school_us_history,0.8505747126436781,0.41935483870967744,0.09090909090909091,0.8333333333333334
high_school_world_history,0.7126436781609196,0.5217391304347826,0.07407407407407407,0.8125
human_aging,0.8333333333333334,0.13333333333333333,0.55,0.7631578947368421
human_sexuality,0.8666666666666667,0.4117647058823529,0.47368421052631576,0.7407407407407407
international_law,0.8703703703703703,0.5,0.6111111111111112,0.5
jurisprudence,0.7674418604651163,0.2,0.6111111111111112,0.75
logical_fallacies,0.8857142857142857,0.10526315789473684,0.2962962962962963,0.875
machine_learning,0.9166666666666666,0.07692307692307693,0.375,0.6
management,0.9047619047619048,0.375,0.38461538461538464,0.6923076923076923
marketing,0.6111111111111112,0.5675675675675675,0.55,0.8974358974358975
medical_genetics,0.967741935483871,0.23076923076923078,0.5909090909090909,0.7857142857142857
miscellaneous,0.8407643312101911,0.29213483146067415,0.38235294117647056,0.8211382113821138
moral_disputes,0.6979166666666666,0.25,0.6219512195121951,0.8275862068965517
moral_scenarios,0.68,0.0,0.6804123711340206,0.48507462686567165
nutrition,0.8990825688073395,0.09375,0.4634146341463415,0.6
professional_accounting,0.76,0.45714285714285713,0.5121951219512195,0.8
professional_medicine,0.8775510204081632,0.05263157894736842,0.0,0.7272727272727273
professional_psychology,0.8317757009345794,0.17543859649122806,0.32653061224489793,0.7674418604651163
public_relations,0.9230769230769231,0.3,0.125,0.8
security_studies,0.9,0.18181818181818182,0.125,0.7272727272727273
sociology,0.8571428571428571,0.8,0.5,0.75
us_foreign_policy,1.0,0.0,0.0,0.8
virology,0.5714285714285714,0.6,0.375,1.0
world_religions,1.0,0.4166666666666667,0.5833333333333334,0.9166666666666666
Mean,0.778653125074347,0.2759570583559539,0.4661934757672438,0.7720224119360124
