Dataset,0,1,2,3
anatomy,0.6617647058823529,0.10294117647058823,0.11764705882352941,0.11764705882352941
astronomy,0.45454545454545453,0.10227272727272728,0.18181818181818182,0.26136363636363635
business_ethics,0.5192307692307693,0.3269230769230769,0.07692307692307693,0.07692307692307693
clinical_knowledge,0.6778523489932886,0.12080536912751678,0.10738255033557047,0.09395973154362416
college_biology,0.723404255319149,0.05319148936170213,0.18085106382978725,0.0425531914893617
college_chemistry,0.5,0.1896551724137931,0.1724137931034483,0.13793103448275862
college_computer_science,0.4827586206896552,0.08620689655172414,0.1724137931034483,0.25862068965517243
college_mathematics,0.20754716981132076,0.11320754716981132,0.16981132075471697,0.5094339622641509
college_physics,0.22807017543859648,0.12280701754385964,0.22807017543859648,0.42105263157894735
computer_security,0.6046511627906976,0.11627906976744186,0.11627906976744186,0.16279069767441862
econometrics,0.6190476190476191,0.1746031746031746,0.12698412698412698,0.07936507936507936
electrical_engineering,0.525,0.15,0.1625,0.1625
elementary_mathematics,0.36199095022624433,0.08597285067873303,0.19457013574660634,0.3574660633484163
formal_logic,0.5223880597014925,0.1044776119402985,0.13432835820895522,0.23880597014925373
global_facts,0.2,0.13333333333333333,0.25,0.4166666666666667
high_school_biology,0.5609756097560976,0.12195121951219512,0.13414634146341464,0.18292682926829268
high_school_chemistry,0.5555555555555556,0.0873015873015873,0.15873015873015872,0.1984126984126984
high_school_computer_science,0.38333333333333336,0.18333333333333332,0.35,0.08333333333333333
high_school_european_history,0.5204081632653061,0.30612244897959184,0.1326530612244898,0.04081632653061224
high_school_geography,0.5181818181818182,0.16363636363636364,0.14545454545454545,0.17272727272727273
high_school_government_and_politics,0.6238532110091743,0.11009174311926606,0.1834862385321101,0.08256880733944955
high_school_macroeconomics,0.45689655172413796,0.21551724137931033,0.21120689655172414,0.11637931034482758
high_school_microeconomics,0.45985401459854014,0.08759124087591241,0.35036496350364965,0.10218978102189781
high_school_physics,0.3181818181818182,0.06818181818181818,0.19318181818181818,0.42045454545454547
high_school_psychology,0.6314102564102564,0.1346153846153846,0.13141025641025642,0.10256410256410256
high_school_statistics,0.64,0.104,0.168,0.088
high_school_us_history,0.608,0.208,0.112,0.072
high_school_world_history,0.5625,0.25,0.1484375,0.0390625
human_aging,0.5075757575757576,0.08333333333333333,0.23484848484848486,0.17424242424242425
human_sexuality,0.5394736842105263,0.15789473684210525,0.15789473684210525,0.14473684210526316
international_law,0.7307692307692307,0.1282051282051282,0.08974358974358974,0.05128205128205128
jurisprudence,0.6065573770491803,0.16393442622950818,0.16393442622950818,0.06557377049180328
logical_fallacies,0.5959595959595959,0.15151515151515152,0.1919191919191919,0.06060606060606061
machine_learning,0.6774193548387096,0.06451612903225806,0.16129032258064516,0.0967741935483871
management,0.6031746031746031,0.15873015873015872,0.15873015873015872,0.07936507936507936
marketing,0.4117647058823529,0.2647058823529412,0.19607843137254902,0.12745098039215685
medical_genetics,0.7333333333333333,0.1111111111111111,0.15555555555555556,0.0
miscellaneous,0.6122004357298475,0.10457516339869281,0.13071895424836602,0.15250544662309368
moral_disputes,0.3686868686868687,0.17676767676767677,0.25757575757575757,0.19696969696969696
moral_scenarios,0.4163265306122449,0.1673469387755102,0.37142857142857144,0.044897959183673466
nutrition,0.6821192052980133,0.11920529801324503,0.152317880794702,0.046357615894039736
professional_accounting,0.45774647887323944,0.2605633802816901,0.176056338028169,0.1056338028169014
professional_medicine,0.5443037974683544,0.08860759493670886,0.12658227848101267,0.24050632911392406
professional_psychology,0.524390243902439,0.2073170731707317,0.14634146341463414,0.12195121951219512
public_relations,0.5789473684210527,0.3157894736842105,0.05263157894736842,0.05263157894736842
security_studies,0.38461538461538464,0.23076923076923078,0.15384615384615385,0.23076923076923078
sociology,0.29411764705882354,0.17647058823529413,0.29411764705882354,0.23529411764705882
us_foreign_policy,1.0,0.0,0.0,0.0
virology,0.6111111111111112,0.05555555555555555,0.1111111111111111,0.2222222222222222
world_religions,0.9230769230769231,0.0,0.0,0.07692307692307693
Mean,0.5272549233991376,0.14692602920047054,0.18541142413479564,0.1404076232655962
