Dataset,0,1,2,3
anatomy,0.8301886792452831,0.7333333333333333,0.75,0.4583333333333333
astronomy,0.8333333333333334,0.6111111111111112,0.6428571428571429,0.7
business_ethics,0.75,0.8947368421052632,0.75,0.3076923076923077
clinical_knowledge,0.8869565217391304,0.896551724137931,0.7333333333333333,0.3684210526315789
college_biology,0.9420289855072463,0.8181818181818182,0.8095238095238095,0.3333333333333333
college_chemistry,0.8235294117647058,0.6153846153846154,0.6875,0.29411764705882354
college_computer_science,0.8055555555555556,0.8461538461538461,0.9090909090909091,0.65
college_mathematics,0.8235294117647058,0.9230769230769231,0.8,0.8
college_physics,0.6842105263157895,0.75,0.7727272727272727,0.7741935483870968
computer_security,0.8378378378378378,0.7857142857142857,0.7857142857142857,0.6
econometrics,0.8666666666666667,0.9285714285714286,0.6470588235294118,0.375
electrical_engineering,0.8035714285714286,0.7,0.6666666666666666,0.5
elementary_mathematics,0.8315789473684211,0.631578947368421,0.7066666666666667,0.6979166666666666
formal_logic,0.9302325581395349,0.8823529411764706,0.9333333333333333,0.6896551724137931
global_facts,0.7368421052631579,0.75,0.7777777777777778,0.7419354838709677
high_school_biology,0.8828828828828829,0.7804878048780488,0.7428571428571429,0.5901639344262295
high_school_chemistry,0.9210526315789473,0.7368421052631579,0.7878787878787878,0.6666666666666666
high_school_computer_science,0.8928571428571429,1.0,0.7931034482758621,0.5384615384615384
high_school_european_history,0.7627118644067796,0.6944444444444444,0.6666666666666666,0.21052631578947367
high_school_geography,0.7848101265822784,0.782608695652174,0.9090909090909091,0.5833333333333334
high_school_government_and_politics,0.958904109589041,0.8636363636363636,0.8387096774193549,0.3333333333333333
high_school_macroeconomics,0.7674418604651163,0.703125,0.7213114754098361,0.43103448275862066
high_school_microeconomics,0.7974683544303798,0.8,0.8620689655172413,0.2857142857142857
high_school_physics,0.8787878787878788,0.8125,0.8076923076923077,0.7346938775510204
high_school_psychology,0.8595744680851064,0.7735849056603774,0.65,0.375
high_school_statistics,0.9,0.7391304347826086,0.7586206896551724,0.4117647058823529
high_school_us_history,0.8470588235294118,0.7941176470588235,0.7727272727272727,0.30434782608695654
high_school_world_history,0.8313253012048193,0.7674418604651163,0.8333333333333334,0.2777777777777778
human_aging,0.8493150684931506,0.7037037037037037,0.868421052631579,0.5238095238095238
human_sexuality,0.8837209302325582,0.875,0.7619047619047619,0.4642857142857143
international_law,0.8524590163934426,0.6,0.5,0.5
jurisprudence,0.8444444444444444,0.8235294117647058,0.9333333333333333,0.45454545454545453
logical_fallacies,0.8472222222222222,0.9444444444444444,0.8181818181818182,0.2
machine_learning,0.9347826086956522,0.75,0.9375,0.5
management,0.9047619047619048,0.8666666666666667,0.75,0.26666666666666666
marketing,0.8,0.8974358974358975,0.7380952380952381,0.40425531914893614
medical_genetics,0.8611111111111112,0.9230769230769231,0.8125,0.06666666666666667
miscellaneous,0.8811881188118812,0.7204301075268817,0.696078431372549,0.5538461538461539
moral_disputes,0.7040816326530612,0.7843137254901961,0.7733333333333333,0.5535714285714286
moral_scenarios,0.4346793349168646,0.9886363636363636,0.8584070796460177,0.46808510638297873
nutrition,0.8442622950819673,0.8787878787878788,0.8571428571428571,0.41379310344827586
professional_accounting,0.7733333333333333,0.7727272727272727,0.7096774193548387,0.5384615384615384
professional_medicine,0.8627450980392157,0.8333333333333334,1.0,0.6086956521739131
professional_psychology,0.8557692307692307,0.8035714285714286,0.7450980392156863,0.4888888888888889
public_relations,0.75,0.8888888888888888,1.0,0.2222222222222222
security_studies,0.9,0.9166666666666666,0.6666666666666666,0.2222222222222222
sociology,0.5714285714285714,0.8333333333333334,0.6666666666666666,0.4444444444444444
us_foreign_policy,1.0,1.0,1.0,0.4
virology,0.8571428571428571,0.5714285714285714,1.0,0.4
world_religions,1.0,1.0,1.0,0.14285714285714285
Mean,0.8051693578929372,0.8021046151284745,0.7741443913265329,0.4725268231922673
