Dataset,A,B,C,D
anatomy,1.0,0.5789473684210527,0.5555555555555556,0.4090909090909091
astronomy,1.0,0.5714285714285714,0.6,0.3684210526315789
business_ethics,0.9736842105263158,0.3333333333333333,0.26666666666666666,0.3333333333333333
clinical_knowledge,0.9642857142857143,0.25,0.36363636363636365,0.2571428571428571
college_biology,0.9444444444444444,0.3181818181818182,0.38095238095238093,0.3157894736842105
college_chemistry,0.8867924528301887,0.1111111111111111,0.5,0.0
college_computer_science,0.9523809523809523,0.15384615384615385,0.3333333333333333,0.6923076923076923
college_mathematics,0.9791666666666666,0.08333333333333333,0.09090909090909091,0.1111111111111111
college_physics,0.9545454545454546,0.25,0.18181818181818182,0.23076923076923078
computer_security,0.9722222222222222,0.26666666666666666,0.375,0.3076923076923077
econometrics,0.9761904761904762,0.4166666666666667,0.09090909090909091,0.2
electrical_engineering,1.0,0.4444444444444444,0.36363636363636365,0.35294117647058826
elementary_mathematics,0.9707602339181286,0.39622641509433965,0.12195121951219512,0.1282051282051282
formal_logic,1.0,0.0,0.0,0.0
global_facts,0.925,0.5384615384615384,0.07142857142857142,0.15384615384615385
high_school_biology,0.9619047619047619,0.48936170212765956,0.5625,0.5208333333333334
high_school_chemistry,0.9587628865979382,0.2857142857142857,0.3333333333333333,0.36363636363636365
high_school_computer_science,0.9545454545454546,0.4166666666666667,0.35714285714285715,0.6
high_school_european_history,0.9344262295081968,0.375,0.3333333333333333,0.38461538461538464
high_school_geography,0.9384615384615385,0.59375,0.6896551724137931,0.5294117647058824
high_school_government_and_politics,0.9384615384615385,0.42857142857142855,0.4666666666666667,0.42424242424242425
high_school_macroeconomics,0.9636363636363636,0.4583333333333333,0.47619047619047616,0.3333333333333333
high_school_microeconomics,0.9805825242718447,0.26666666666666666,0.39285714285714285,0.12903225806451613
high_school_physics,0.9722222222222222,0.3888888888888889,0.14285714285714285,0.3
high_school_psychology,0.9340659340659341,0.5897435897435898,0.6625,0.4791666666666667
high_school_statistics,0.9791666666666666,0.3076923076923077,0.23809523809523808,0.21212121212121213
high_school_us_history,0.9295774647887324,0.4857142857142857,0.4482758620689655,0.3448275862068966
high_school_world_history,0.9746835443037974,0.3055555555555556,0.41025641025641024,0.39473684210526316
human_aging,0.967391304347826,0.2857142857142857,0.3076923076923077,0.1111111111111111
human_sexuality,0.9433962264150944,0.2631578947368421,0.3333333333333333,0.3333333333333333
international_law,0.9318181818181818,0.631578947368421,0.5,0.29411764705882354
jurisprudence,0.9565217391304348,0.375,0.38461538461538464,0.38461538461538464
logical_fallacies,0.9130434782608695,0.5217391304347826,0.5,0.5
machine_learning,1.0,0.21052631578947367,0.0,0.2
management,1.0,0.7368421052631579,0.631578947368421,0.625
marketing,0.9230769230769231,0.6153846153846154,0.6428571428571429,0.5
medical_genetics,0.9411764705882353,0.1875,0.23076923076923078,0.17647058823529413
miscellaneous,0.979757085020243,0.5538461538461539,0.5407407407407407,0.45689655172413796
moral_disputes,0.970873786407767,0.5081967213114754,0.5254237288135594,0.43859649122807015
moral_scenarios,1.0,0.0,0.0,0.0
nutrition,0.9619047619047619,0.35,0.3888888888888889,0.3225806451612903
professional_accounting,0.96875,0.027777777777777776,0.1724137931034483,0.06666666666666667
professional_medicine,0.9830508474576272,0.09523809523809523,0.058823529411764705,0.18181818181818182
professional_psychology,0.9902912621359223,0.14516129032258066,0.24489795918367346,0.21428571428571427
public_relations,1.0,0.0,0.0,0.0
security_studies,1.0,0.0,0.0,0.16666666666666666
sociology,1.0,0.0,0.0,0.3333333333333333
us_foreign_policy,1.0,0.0,0.0,0.42857142857142855
virology,1.0,0.0,0.0,0.3333333333333333
world_religions,1.0,0.08333333333333333,0.08333333333333333,0.0
Mean,0.9669664424508299,0.3486830406702958,0.3504985065219762,0.3001180365869713
