Dataset,top_1_bin,top_2_bin,top_3_bin,top_4_bin
anatomy,46.2962962962963,23.14814814814815,13.88888888888889,16.666666666666668
astronomy,20.96774193548387,47.58064516129032,19.354838709677416,12.096774193548386
business_ethics,45.0,28.75,22.5,3.75
clinical_knowledge,36.320754716981135,27.830188679245282,17.92452830188679,17.92452830188679
college_biology,46.55172413793103,26.72413793103448,14.655172413793103,12.068965517241379
college_chemistry,11.25,37.5,18.75,32.5
college_computer_science,25.0,21.25,33.75,20.0
college_mathematics,28.75,26.25,28.75,16.25
college_physics,34.523809523809526,22.61904761904762,14.285714285714285,28.57142857142857
computer_security,53.75,35.0,7.5,3.75
econometrics,30.43478260869565,39.130434782608695,14.130434782608695,16.304347826086957
electrical_engineering,36.206896551724135,26.72413793103448,20.689655172413794,16.379310344827584
elementary_mathematics,24.342105263157897,27.30263157894737,27.30263157894737,21.05263157894737
formal_logic,11.538461538461538,28.846153846153847,27.884615384615387,31.73076923076923
global_facts,32.5,18.75,31.25,17.5
high_school_biology,48.79032258064516,30.241935483870964,11.29032258064516,9.677419354838708
high_school_chemistry,21.95121951219512,35.36585365853659,23.78048780487805,18.902439024390244
high_school_computer_science,35.0,30.0,28.75,6.25
high_school_european_history,43.93939393939394,28.03030303030303,21.96969696969697,6.0606060606060606
high_school_geography,53.75,33.125,7.5,5.625
high_school_government_and_politics,57.6923076923077,19.230769230769234,10.256410256410257,12.820512820512821
high_school_macroeconomics,28.52564102564103,25.32051282051282,21.153846153846157,25.000000000000004
high_school_microeconomics,33.333333333333336,30.729166666666668,15.104166666666668,20.833333333333336
high_school_physics,18.548387096774192,25.0,20.161290322580644,36.29032258064516
high_school_psychology,52.29357798165138,27.293577981651378,11.697247706422019,8.715596330275229
high_school_statistics,31.250000000000004,23.863636363636367,22.15909090909091,22.72727272727273
high_school_us_history,50.0,29.268292682926827,14.024390243902438,6.7073170731707314
high_school_world_history,52.60416666666667,22.916666666666668,18.75,5.729166666666667
human_aging,41.66666666666667,32.77777777777778,10.555555555555555,15.0
human_sexuality,43.51851851851852,29.62962962962963,20.37037037037037,6.481481481481482
international_law,47.0,31.0,13.0,9.0
jurisprudence,35.227272727272734,40.909090909090914,13.636363636363637,10.227272727272728
logical_fallacies,40.15151515151515,34.09090909090909,22.727272727272727,3.0303030303030303
machine_learning,39.130434782608695,30.43478260869565,20.652173913043477,9.782608695652174
management,51.19047619047619,30.952380952380953,13.095238095238095,4.761904761904762
marketing,60.638297872340424,32.97872340425532,3.723404255319149,2.6595744680851063
medical_genetics,61.25,15.0,13.75,10.0
miscellaneous,53.82165605095541,28.82165605095541,12.898089171974522,4.45859872611465
moral_disputes,53.57142857142857,25.357142857142858,12.142857142857142,8.928571428571429
moral_scenarios,24.022346368715084,23.044692737430164,26.11731843575419,26.815642458100555
nutrition,38.20754716981132,39.62264150943396,12.735849056603774,9.433962264150944
professional_accounting,34.09090909090909,47.159090909090914,17.613636363636367,1.1363636363636365
professional_medicine,37.03703703703704,45.370370370370374,16.666666666666668,0.9259259259259259
professional_psychology,59.375,32.03125,7.421875,1.171875
public_relations,66.66666666666666,27.77777777777778,5.555555555555555,0.0
security_studies,95.0,2.5,2.5,0.0
sociology,89.28571428571429,10.714285714285715,0.0,0.0
us_foreign_policy,90.0,10.0,0.0,0.0
virology,82.14285714285715,14.285714285714286,0.0,3.5714285714285716
world_religions,91.66666666666667,8.333333333333334,0.0,0.0
Mean,41.371457489878544,28.795546558704455,16.814271255060728,13.018724696356275
