Dataset,0,1,2,3
anatomy,0.6206896551724138,0.10344827586206896,0.10344827586206896,0.1724137931034483
astronomy,0.5510204081632653,0.1836734693877551,0.1326530612244898,0.1326530612244898
business_ethics,0.6136363636363636,0.22727272727272727,0.11363636363636363,0.045454545454545456
clinical_knowledge,0.6518518518518519,0.1037037037037037,0.1111111111111111,0.13333333333333333
college_biology,0.5967741935483871,0.12903225806451613,0.16129032258064516,0.11290322580645161
college_chemistry,0.647887323943662,0.11267605633802817,0.11267605633802817,0.1267605633802817
college_computer_science,0.6166666666666667,0.11666666666666667,0.13333333333333333,0.13333333333333333
college_mathematics,0.7192982456140351,0.10526315789473684,0.10526315789473684,0.07017543859649122
college_physics,0.6363636363636364,0.10909090909090909,0.07272727272727272,0.18181818181818182
computer_security,0.5945945945945946,0.10810810810810811,0.21621621621621623,0.08108108108108109
econometrics,0.546875,0.265625,0.0625,0.125
electrical_engineering,0.581081081081081,0.17567567567567569,0.14864864864864866,0.0945945945945946
elementary_mathematics,0.6565217391304348,0.13043478260869565,0.10869565217391304,0.10434782608695652
formal_logic,0.717391304347826,0.09782608695652174,0.043478260869565216,0.14130434782608695
global_facts,0.5,0.18518518518518517,0.16666666666666666,0.14814814814814814
high_school_biology,0.5118110236220472,0.1732283464566929,0.12598425196850394,0.1889763779527559
high_school_chemistry,0.6796875,0.09375,0.125,0.1015625
high_school_computer_science,0.6730769230769231,0.1346153846153846,0.11538461538461539,0.07692307692307693
high_school_european_history,0.527027027027027,0.12162162162162163,0.13513513513513514,0.21621621621621623
high_school_geography,0.43243243243243246,0.16216216216216217,0.13513513513513514,0.2702702702702703
high_school_government_and_politics,0.5757575757575758,0.12121212121212122,0.12121212121212122,0.18181818181818182
high_school_macroeconomics,0.6188340807174888,0.10762331838565023,0.09865470852017937,0.17488789237668162
high_school_microeconomics,0.65625,0.109375,0.109375,0.125
high_school_physics,0.6534653465346535,0.10891089108910891,0.0891089108910891,0.1485148514851485
high_school_psychology,0.46634615384615385,0.16826923076923078,0.14423076923076922,0.22115384615384615
high_school_statistics,0.6446280991735537,0.0743801652892562,0.06611570247933884,0.21487603305785125
high_school_us_history,0.5121951219512195,0.23170731707317074,0.12195121951219512,0.13414634146341464
high_school_world_history,0.5666666666666667,0.1111111111111111,0.15555555555555556,0.16666666666666666
human_aging,0.6476190476190476,0.18095238095238095,0.08571428571428572,0.08571428571428572
human_sexuality,0.6065573770491803,0.14754098360655737,0.06557377049180328,0.18032786885245902
international_law,0.5471698113207547,0.20754716981132076,0.1509433962264151,0.09433962264150944
jurisprudence,0.5614035087719298,0.17543859649122806,0.05263157894736842,0.21052631578947367
logical_fallacies,0.5443037974683544,0.17721518987341772,0.16455696202531644,0.11392405063291139
machine_learning,0.6428571428571429,0.17857142857142858,0.07142857142857142,0.10714285714285714
management,0.4634146341463415,0.24390243902439024,0.1951219512195122,0.0975609756097561
marketing,0.40540540540540543,0.17567567567567569,0.1891891891891892,0.22972972972972974
medical_genetics,0.5806451612903226,0.12903225806451613,0.0,0.2903225806451613
miscellaneous,0.5275862068965518,0.18620689655172415,0.18620689655172415,0.1
moral_disputes,0.47692307692307695,0.15384615384615385,0.18461538461538463,0.18461538461538463
moral_scenarios,0.75,0.07536764705882353,0.08455882352941177,0.0900735294117647
nutrition,0.6412213740458015,0.16030534351145037,0.09923664122137404,0.09923664122137404
professional_accounting,0.6896551724137931,0.1724137931034483,0.12931034482758622,0.008620689655172414
professional_medicine,0.7205882352941176,0.14705882352941177,0.1323529411764706,0.0
professional_psychology,0.5961538461538461,0.2980769230769231,0.09615384615384616,0.009615384615384616
public_relations,0.75,0.25,0.0,0.0
security_studies,0.0,0.0,0.0,1.0
sociology,0.0,0.0,0.0,1.0
us_foreign_policy,0.0,0.0,0.0,1.0
virology,0.0,0.4,0.0,0.6
world_religions,0.75,0.25,0.0,0.0
Mean,0.5877304771351972,0.14904636409218508,0.11959845884610504,0.14362469992651264
