Dataset,A,B,C,D
anatomy,0.9152542372881356,0.0,0.05084745762711865,0.03389830508474576
astronomy,0.8765432098765432,0.0,0.08641975308641975,0.037037037037037035
business_ethics,0.9555555555555556,0.022222222222222223,0.0,0.022222222222222223
clinical_knowledge,0.9302325581395349,0.0,0.015503875968992248,0.05426356589147287
college_biology,0.921875,0.0,0.046875,0.03125
college_chemistry,0.9523809523809523,0.0,0.015873015873015872,0.031746031746031744
college_computer_science,0.9245283018867925,0.0,0.018867924528301886,0.05660377358490566
college_mathematics,0.9836065573770492,0.0,0.0,0.01639344262295082
college_physics,0.9523809523809523,0.015873015873015872,0.015873015873015872,0.015873015873015872
computer_security,0.9523809523809523,0.0,0.0,0.047619047619047616
econometrics,0.9384615384615385,0.0,0.015384615384615385,0.046153846153846156
electrical_engineering,0.9036144578313253,0.0,0.012048192771084338,0.08433734939759036
elementary_mathematics,0.9866071428571429,0.004464285714285714,0.0,0.008928571428571428
formal_logic,0.8289473684210527,0.0,0.06578947368421052,0.10526315789473684
global_facts,0.9344262295081968,0.0,0.03278688524590164,0.03278688524590164
high_school_biology,0.908256880733945,0.009174311926605505,0.045871559633027525,0.03669724770642202
high_school_chemistry,0.9831932773109243,0.008403361344537815,0.0,0.008403361344537815
high_school_computer_science,0.9772727272727273,0.0,0.022727272727272728,0.0
high_school_european_history,0.7758620689655172,0.06896551724137931,0.034482758620689655,0.1206896551724138
high_school_geography,0.90625,0.0,0.03125,0.0625
high_school_government_and_politics,0.8461538461538461,0.0,0.06153846153846154,0.09230769230769231
high_school_macroeconomics,0.8578947368421053,0.03684210526315789,0.04736842105263158,0.05789473684210526
high_school_microeconomics,0.8454545454545455,0.00909090909090909,0.1,0.045454545454545456
high_school_physics,0.9368421052631579,0.031578947368421054,0.021052631578947368,0.010526315789473684
high_school_psychology,0.74375,0.05625,0.14375,0.05625
high_school_statistics,0.8290598290598291,0.03418803418803419,0.07692307692307693,0.05982905982905983
high_school_us_history,0.6779661016949152,0.0847457627118644,0.15254237288135594,0.0847457627118644
high_school_world_history,0.8032786885245902,0.01639344262295082,0.06557377049180328,0.11475409836065574
human_aging,0.9298245614035088,0.0,0.03508771929824561,0.03508771929824561
human_sexuality,0.8153846153846154,0.0,0.07692307692307693,0.1076923076923077
international_law,0.9387755102040817,0.0,0.04081632653061224,0.02040816326530612
jurisprudence,0.9375,0.0,0.041666666666666664,0.020833333333333332
logical_fallacies,0.890625,0.0,0.046875,0.0625
machine_learning,0.9411764705882353,0.014705882352941176,0.029411764705882353,0.014705882352941176
management,0.9761904761904762,0.0,0.0,0.023809523809523808
marketing,0.8679245283018868,0.0,0.1320754716981132,0.0
medical_genetics,0.9230769230769231,0.0,0.05128205128205128,0.02564102564102564
miscellaneous,0.918918918918919,0.006756756756756757,0.033783783783783786,0.04054054054054054
moral_disputes,0.8356164383561644,0.00684931506849315,0.0958904109589041,0.06164383561643835
moral_scenarios,0.955719557195572,0.016605166051660517,0.0018450184501845018,0.025830258302583026
nutrition,0.9137931034482759,0.008620689655172414,0.06896551724137931,0.008620689655172414
professional_accounting,0.7155963302752294,0.03669724770642202,0.1743119266055046,0.07339449541284404
professional_medicine,0.734375,0.015625,0.234375,0.015625
professional_psychology,0.7391304347826086,0.036231884057971016,0.16666666666666666,0.057971014492753624
public_relations,0.92,0.04,0.04,0.0
security_studies,0.6086956521739131,0.08695652173913043,0.043478260869565216,0.2608695652173913
sociology,0.8461538461538461,0.0,0.0,0.15384615384615385
us_foreign_policy,0.8,0.0,0.0,0.2
virology,0.65,0.0,0.2,0.15
world_religions,1.0,0.0,0.0,0.0
Mean,0.8796743799161779,0.01588306178297346,0.057657009585248185,0.04678554871560043
