Dataset,top_1_bin,top_2_bin,top_3_bin,top_4_bin
anatomy,43.51851851851852,30.555555555555557,15.74074074074074,10.185185185185185
astronomy,18.548387096774192,44.354838709677416,29.032258064516128,8.064516129032258
business_ethics,42.5,35.0,16.25,6.25
clinical_knowledge,40.09433962264151,34.905660377358494,16.9811320754717,8.018867924528301
college_biology,42.241379310344826,43.103448275862064,11.206896551724137,3.4482758620689653
college_chemistry,6.25,42.5,26.25,25.0
college_computer_science,27.5,28.75,21.25,22.5
college_mathematics,26.25,37.5,17.5,18.75
college_physics,22.61904761904762,38.095238095238095,21.428571428571427,17.857142857142858
computer_security,55.0,30.0,11.25,3.75
econometrics,31.52173913043478,33.69565217391304,16.304347826086957,18.478260869565215
electrical_engineering,27.586206896551722,43.96551724137931,14.655172413793103,13.793103448275861
elementary_mathematics,23.026315789473685,40.131578947368425,19.407894736842106,17.43421052631579
formal_logic,20.192307692307693,39.42307692307693,24.03846153846154,16.346153846153847
global_facts,20.0,38.75,16.25,25.0
high_school_biology,47.983870967741936,37.90322580645161,12.5,1.6129032258064515
high_school_chemistry,12.195121951219512,51.21951219512195,25.0,11.585365853658537
high_school_computer_science,32.5,37.5,8.75,21.25
high_school_european_history,61.36363636363636,22.727272727272727,7.575757575757576,8.333333333333334
high_school_geography,57.5,28.75,8.75,5.0
high_school_government_and_politics,65.38461538461539,22.435897435897438,8.333333333333334,3.8461538461538467
high_school_macroeconomics,31.410256410256412,38.14102564102564,19.230769230769234,11.217948717948719
high_school_microeconomics,42.1875,40.625,10.416666666666668,6.770833333333334
high_school_physics,17.741935483870968,35.483870967741936,25.806451612903224,20.96774193548387
high_school_psychology,60.550458715596335,24.541284403669724,10.550458715596331,4.3577981651376145
high_school_statistics,31.250000000000004,34.659090909090914,24.431818181818183,9.65909090909091
high_school_us_history,68.90243902439025,23.170731707317074,6.097560975609756,1.8292682926829267
high_school_world_history,73.4375,19.270833333333336,3.6458333333333335,3.6458333333333335
human_aging,37.77777777777778,32.22222222222222,16.666666666666668,13.333333333333334
human_sexuality,37.96296296296296,39.81481481481482,10.185185185185185,12.037037037037036
international_law,49.0,37.0,7.0,7.0
jurisprudence,37.5,42.04545454545455,12.500000000000002,7.954545454545455
logical_fallacies,50.75757575757576,21.96969696969697,12.878787878787879,14.393939393939394
machine_learning,41.30434782608695,28.26086956521739,16.304347826086957,14.130434782608695
management,41.666666666666664,39.285714285714285,10.714285714285714,8.333333333333334
marketing,69.14893617021276,23.404255319148938,5.319148936170213,2.127659574468085
medical_genetics,71.25,11.25,10.0,7.5
miscellaneous,52.70700636942675,33.75796178343949,7.802547770700636,5.732484076433121
moral_disputes,54.285714285714285,26.42857142857143,11.071428571428571,8.214285714285715
moral_scenarios,24.162011173184357,19.553072625698324,31.42458100558659,24.860335195530723
nutrition,41.0377358490566,34.43396226415094,17.452830188679247,7.0754716981132075
professional_accounting,38.63636363636364,24.431818181818183,16.47727272727273,20.454545454545457
professional_medicine,43.51851851851852,24.074074074074073,17.59259259259259,14.814814814814815
professional_psychology,54.6875,21.875,11.71875,11.71875
public_relations,58.33333333333333,16.666666666666664,11.11111111111111,13.88888888888889
security_studies,82.5,15.0,0.0,2.5
sociology,85.71428571428572,10.714285714285715,3.5714285714285716,0.0
us_foreign_policy,100.0,0.0,0.0,0.0
virology,64.28571428571429,35.714285714285715,0.0,0.0
world_religions,100.0,0.0,0.0,0.0
Mean,43.155364372469634,30.70597165991903,15.182186234817813,10.956477732793521
