Dataset,0,1,2,3
anatomy,0.6885245901639344,0.08196721311475409,0.14754098360655737,0.08196721311475409
astronomy,0.7029702970297029,0.10891089108910891,0.1485148514851485,0.039603960396039604
business_ethics,0.7391304347826086,0.13043478260869565,0.08695652173913043,0.043478260869565216
clinical_knowledge,0.7086614173228346,0.08661417322834646,0.08661417322834646,0.11811023622047244
college_biology,0.7058823529411765,0.07352941176470588,0.14705882352941177,0.07352941176470588
college_chemistry,0.7702702702702703,0.0945945945945946,0.02702702702702703,0.10810810810810811
college_computer_science,0.7586206896551724,0.1206896551724138,0.10344827586206896,0.017241379310344827
college_mathematics,0.7796610169491526,0.1016949152542373,0.0847457627118644,0.03389830508474576
college_physics,0.7538461538461538,0.09230769230769231,0.09230769230769231,0.06153846153846154
computer_security,0.6666666666666666,0.08333333333333333,0.19444444444444445,0.05555555555555555
econometrics,0.7301587301587301,0.09523809523809523,0.07936507936507936,0.09523809523809523
electrical_engineering,0.7023809523809523,0.05952380952380952,0.11904761904761904,0.11904761904761904
elementary_mathematics,0.7649572649572649,0.07692307692307693,0.08547008547008547,0.07264957264957266
formal_logic,0.6746987951807228,0.0963855421686747,0.10843373493975904,0.12048192771084337
global_facts,0.734375,0.09375,0.078125,0.09375
high_school_biology,0.7,0.09230769230769231,0.11538461538461539,0.09230769230769231
high_school_chemistry,0.7638888888888888,0.06944444444444445,0.0763888888888889,0.09027777777777778
high_school_computer_science,0.7407407407407407,0.09259259259259259,0.12962962962962962,0.037037037037037035
high_school_european_history,0.5769230769230769,0.15384615384615385,0.15384615384615385,0.11538461538461539
high_school_geography,0.7611940298507462,0.05970149253731343,0.1044776119402985,0.07462686567164178
high_school_government_and_politics,0.6226415094339622,0.03773584905660377,0.1509433962264151,0.18867924528301888
high_school_macroeconomics,0.7,0.10476190476190476,0.1,0.09523809523809523
high_school_microeconomics,0.6576576576576577,0.10810810810810811,0.13513513513513514,0.0990990990990991
high_school_physics,0.7450980392156863,0.08823529411764706,0.09803921568627451,0.06862745098039216
high_school_psychology,0.5714285714285714,0.14285714285714285,0.17714285714285713,0.10857142857142857
high_school_statistics,0.65,0.058333333333333334,0.15,0.14166666666666666
high_school_us_history,0.4339622641509434,0.20754716981132076,0.20754716981132076,0.1509433962264151
high_school_world_history,0.4727272727272727,0.14545454545454545,0.23636363636363636,0.14545454545454545
human_aging,0.7142857142857143,0.10714285714285714,0.08928571428571429,0.08928571428571429
human_sexuality,0.6119402985074627,0.07462686567164178,0.16417910447761194,0.14925373134328357
international_law,0.6862745098039216,0.13725490196078433,0.1568627450980392,0.0196078431372549
jurisprudence,0.7636363636363637,0.12727272727272726,0.07272727272727272,0.03636363636363636
logical_fallacies,0.640625,0.171875,0.125,0.0625
machine_learning,0.7407407407407407,0.1111111111111111,0.09259259259259259,0.05555555555555555
management,0.673469387755102,0.14285714285714285,0.08163265306122448,0.10204081632653061
marketing,0.6551724137931034,0.15517241379310345,0.13793103448275862,0.05172413793103448
medical_genetics,0.6956521739130435,0.08695652173913043,0.043478260869565216,0.17391304347826086
miscellaneous,0.7066666666666667,0.11,0.11,0.07333333333333333
moral_disputes,0.5419847328244275,0.16793893129770993,0.17557251908396945,0.11450381679389313
moral_scenarios,0.7476979742173112,0.07550644567219153,0.0865561694290976,0.09023941068139964
nutrition,0.712,0.104,0.128,0.056
professional_accounting,0.5596330275229358,0.1834862385321101,0.22018348623853212,0.03669724770642202
professional_medicine,0.5409836065573771,0.16393442622950818,0.26229508196721313,0.03278688524590164
professional_psychology,0.5128205128205128,0.2222222222222222,0.1794871794871795,0.08547008547008547
public_relations,0.5333333333333333,0.2,0.13333333333333333,0.13333333333333333
security_studies,0.42857142857142855,0.0,0.14285714285714285,0.42857142857142855
sociology,0.0,0.25,0.25,0.5
us_foreign_policy,0,0,0,0
virology,0.2,0.0,0.5,0.3
world_religions,0,0,0,0
Mean,0.6592317244253729,0.11120759895773255,0.12846472461564226,0.09249271313485558
