Dataset,0,1,2,3
anatomy,0.8360655737704918,0.875,1.0,0.8125
astronomy,0.8795180722891566,1.0,0.7857142857142857,0.5384615384615384
business_ethics,0.9545454545454546,0.875,0.8181818181818182,0.8888888888888888
clinical_knowledge,0.8974358974358975,0.8484848484848485,0.9310344827586207,0.9090909090909091
college_biology,0.9666666666666667,0.9375,0.8695652173913043,0.7647058823529411
college_chemistry,1.0,1.0,1.0,0.8181818181818182
college_computer_science,0.98,1.0,0.8181818181818182,0.8571428571428571
college_mathematics,1.0,1.0,1.0,0.6666666666666666
college_physics,1.0,1.0,0.8181818181818182,0.7272727272727273
computer_security,0.868421052631579,0.8571428571428571,0.9375,0.9166666666666666
econometrics,0.9803921568627451,0.9285714285714286,0.8333333333333334,0.8
electrical_engineering,0.9850746268656716,0.9166666666666666,0.9444444444444444,0.8947368421052632
elementary_mathematics,1.0,1.0,0.925,0.8888888888888888
formal_logic,0.9516129032258065,1.0,0.8571428571428571,0.8666666666666667
global_facts,0.9607843137254902,0.8888888888888888,0.7,0.7
high_school_biology,0.8968253968253969,0.9024390243902439,0.8974358974358975,0.8333333333333334
high_school_chemistry,0.991304347826087,0.8666666666666667,0.8333333333333334,0.9375
high_school_computer_science,0.9782608695652174,0.9166666666666666,1.0,0.8
high_school_european_history,0.7894736842105263,0.9615384615384616,0.9583333333333334,0.84
high_school_geography,0.88,0.8571428571428571,0.8571428571428571,0.8275862068965517
high_school_government_and_politics,0.8615384615384616,0.8333333333333334,0.9310344827586207,0.84375
high_school_macroeconomics,0.8846153846153846,0.95,0.8536585365853658,0.7551020408163265
high_school_microeconomics,0.8811881188118812,0.9259259259259259,0.90625,0.78125
high_school_physics,0.9759036144578314,0.8333333333333334,0.9285714285714286,0.7333333333333333
high_school_psychology,0.7857142857142857,0.9325842696629213,0.9529411764705882,0.825
high_school_statistics,0.8947368421052632,0.9444444444444444,0.7407407407407407,0.6111111111111112
high_school_us_history,0.6984126984126984,0.9375,0.9411764705882353,0.8857142857142857
high_school_world_history,0.7605633802816901,0.9743589743589743,0.9069767441860465,0.9230769230769231
human_aging,0.9494949494949495,0.84375,0.9166666666666666,0.92
human_sexuality,0.8679245283018868,0.8823529411764706,0.9,0.7222222222222222
international_law,0.8461538461538461,1.0,0.9,0.8333333333333334
jurisprudence,0.8518518518518519,0.8571428571428571,0.8888888888888888,0.5454545454545454
logical_fallacies,0.819672131147541,0.9642857142857143,0.782608695652174,0.9
machine_learning,1.0,0.8235294117647058,1.0,1.0
management,0.7450980392156863,0.7692307692307693,0.9,1.0
marketing,0.8271604938271605,0.9,1.0,0.9090909090909091
medical_genetics,0.9375,0.9411764705882353,0.9285714285714286,1.0
miscellaneous,0.8681672025723473,0.8849557522123894,0.9150943396226415,0.8571428571428571
moral_disputes,0.7698412698412699,0.9591836734693877,0.8360655737704918,0.9318181818181818
moral_scenarios,0.9955654101995566,1.0,1.0,1.0
nutrition,0.8947368421052632,0.8888888888888888,0.8787878787878788,0.8275862068965517
professional_accounting,0.8333333333333334,0.8055555555555556,0.8918918918918919,0.7368421052631579
professional_medicine,0.7307692307692307,0.8636363636363636,0.8181818181818182,0.9166666666666666
professional_psychology,0.8301886792452831,0.8666666666666667,0.9607843137254902,0.8205128205128205
public_relations,0.9333333333333333,0.6666666666666666,1.0,0.8333333333333334
security_studies,1.0,0.8888888888888888,1.0,0.8333333333333334
sociology,0.8571428571428571,1.0,0.8333333333333334,0.8888888888888888
us_foreign_policy,1.0,1.0,1.0,1.0
virology,1.0,0.6,1.0,1.0
world_religions,1.0,1.0,1.0,1.0
Mean,0.8902144247747611,0.9182535593714607,0.9096845980724839,0.8505110568781122
