Dataset,A,B,C,D
anatomy,-0.005649636731098057,-0.03795592959411315,0.019565420004666878,0.02404014632054438
astronomy,0.020404921054185454,-0.02036572179048815,-0.01787907818898396,0.017839878925286684
business_ethics,0.02705615541307957,-0.0399983025773287,-0.007975961542672078,0.02091810870692118
clinical_knowledge,0.013295550639231546,-0.03704183198736835,0.0047252024777857116,0.01902107887035112
college_biology,0.001374961341867903,-0.01558605134386698,0.0006691085363994265,0.013541981465599595
college_chemistry,0.02249783065453463,-0.0432139925705075,-0.006002787382351785,0.026718949298324607
college_computer_science,0.006665993193673142,-0.004872698447055235,0.014667423722296902,-0.016460718468914837
college_mathematics,0.05135600122378911,-0.0131149461405375,-0.0221931568689,-0.01604789821435154
college_physics,0.047403326673450596,-0.03392361836211692,-0.013987367560202218,0.000507659248868586
computer_security,-0.012937232091909778,-0.02703998380390188,0.020890301131545358,0.019086914764266272
econometrics,0.040963570299739266,-0.029667502445824348,-0.016784807460861584,0.00548873960694668
electrical_engineering,0.07121290275396089,-0.0496329519044869,0.006209986402770262,-0.027789937252244323
elementary_mathematics,0.057045257483322814,-0.03273911322844192,-0.026794922369530405,0.0024887781146494536
formal_logic,0.022114434447157244,-0.041303174345494756,-0.0033516586183009456,0.02254039851663847
global_facts,0.05553584216713184,-0.03686470044937686,-0.016865004686477295,-0.0018061370312776326
high_school_biology,-0.005385767305739947,-0.014309349496549661,0.01175488295427013,0.007940233848019451
high_school_chemistry,0.008390473981725849,-0.033835235941642866,0.006076743351987268,0.01936801860792972
high_school_computer_science,0.007742074431848572,-0.004333016280795909,0.015257698430884759,-0.01866675658193742
high_school_european_history,0.0006154185958237579,-0.005768211431573106,-0.014313008377092568,0.019465801212841943
high_school_geography,0.0010279116421834378,-0.005099119295915749,0.004255609599461113,-0.00018440194572880153
high_school_government_and_politics,-0.008805501790733972,-0.0012580524688286798,0.011291396891197625,-0.0012278426316350566
high_school_macroeconomics,0.006440037123111975,-0.02864818087967133,0.012082557209997624,0.010125586546561705
high_school_microeconomics,-0.004284868444923762,-0.017119972953647672,0.011864857658291567,0.009539983740279867
high_school_physics,0.04129877667885641,-0.03477373633685349,0.0018310879749870862,-0.008356128316990036
high_school_psychology,-8.534004524710093e-05,-0.012275232280642479,0.011780903525396125,0.0005796688004935935
high_school_statistics,0.007783445899843949,-0.0197926131249756,0.001596652850578556,0.010412514374553067
high_school_us_history,-0.01494034205372105,-0.007799840680968534,0.008448408988261158,0.014291773746428371
high_school_world_history,-0.019916489936436382,0.004219562890627276,0.00830219544598021,0.007394731599828869
human_aging,0.037890541789846105,-0.031753744204857354,0.013855166730661256,-0.019991964315650035
human_sexuality,0.004087467478408491,-0.010422273811195343,-0.0034682197507717727,0.009803026083558652
international_law,0.000769837531000378,0.004793687051452694,-0.0005255428048314692,-0.005037981777621492
jurisprudence,0.01930431891008305,-0.017490737535338308,0.0038039459314051782,-0.005617527306149922
logical_fallacies,0.017338851925958992,-0.0490124289413105,0.02694612692229828,0.0047274500930532815
machine_learning,0.03674494033439793,-0.029616131747677743,-0.00936947505953517,0.0022406664728150394
management,0.05195014313830382,-0.028095509767507465,0.004793367332208892,-0.0286480007030053
marketing,0.00851802077785449,-0.0071701138755098925,0.006783816603155662,-0.00813172350550026
medical_genetics,0.035296778988024635,-0.048023556810672774,-0.01015714326760947,0.022883921090257636
miscellaneous,0.007847701114697847,-0.012633717455994897,0.004561449920328697,0.0002245664209683529
moral_disputes,-0.0024509615718251443,-0.028440539107044305,0.019567467315800086,0.01132403336306928
moral_scenarios,0.05679543763145488,-0.04251974279275981,-0.010394379170152651,-0.0038813156685423983
nutrition,0.0003834720520124457,-0.0202173288649512,0.017759338926363166,0.002074517886575561
professional_accounting,0.02120176252019587,-0.01968733592881594,0.017641378681267,-0.019155805272646903
professional_medicine,0.015016952609139725,-0.03155034112129082,0.023669403662183536,-0.007136015150032482
professional_psychology,0.03798707612156582,-0.027063522874824025,-0.005739184874815201,-0.005184368371926651
public_relations,-0.004343305481441226,0.005235949155997843,-4.7590262638633196e-05,-0.0008450534119180259
security_studies,0.005461592236354701,0.012366793149380495,0.0038054690356585374,-0.021633854421393733
sociology,-0.01992058588171977,0.044432823904827556,-0.042022202414232906,0.017509964391125094
us_foreign_policy,0.03779113501108361,-0.021051242383103436,0.03700582592901949,-0.053745718556999736
virology,0.1022211400471223,-0.050826818171729904,-0.0270096463433476,-0.02438467553204479
world_religions,-0.0006557663322378782,0.007153043769013351,-0.047399916923488605,0.04090263948671319
Mean,0.017727289812657424,-0.022872607983547906,0.002649782743154189,0.002495535427736293
Std,0.024266735769982117,0.015248222239918958,0.013735543751771832,0.012842909806098885
