Dataset,top_1_bin,top_2_bin,top_3_bin,top_4_bin
anatomy,23.14814814814815,46.2962962962963,17.59259259259259,12.962962962962964
astronomy,8.064516129032258,52.41935483870967,31.451612903225804,8.064516129032258
business_ethics,33.75,35.0,21.25,10.0
clinical_knowledge,28.30188679245283,39.62264150943396,20.28301886792453,11.79245283018868
college_biology,26.72413793103448,43.96551724137931,18.96551724137931,10.344827586206897
college_chemistry,6.25,50.0,26.25,17.5
college_computer_science,16.25,38.75,22.5,22.5
college_mathematics,25.0,33.75,21.25,20.0
college_physics,22.61904761904762,27.38095238095238,32.142857142857146,17.857142857142858
computer_security,31.25,47.5,16.25,5.0
econometrics,31.52173913043478,29.34782608695652,18.478260869565215,20.652173913043477
electrical_engineering,21.551724137931032,36.206896551724135,24.137931034482758,18.103448275862068
elementary_mathematics,20.72368421052632,34.53947368421053,27.631578947368425,17.10526315789474
formal_logic,12.5,44.23076923076923,15.384615384615385,27.884615384615387
global_facts,15.0,40.0,21.25,23.75
high_school_biology,33.064516129032256,43.14516129032258,14.919354838709676,8.870967741935484
high_school_chemistry,9.146341463414634,53.048780487804876,21.341463414634145,16.463414634146343
high_school_computer_science,15.0,35.0,22.5,27.5
high_school_european_history,46.96969696969697,27.272727272727273,11.363636363636363,14.393939393939394
high_school_geography,20.0,51.875,14.375,13.75
high_school_government_and_politics,41.66666666666667,38.46153846153847,10.256410256410257,9.615384615384617
high_school_macroeconomics,12.820512820512821,50.96153846153847,19.230769230769234,16.98717948717949
high_school_microeconomics,25.520833333333336,44.79166666666667,18.75,10.9375
high_school_physics,16.129032258064516,33.064516129032256,27.419354838709676,23.387096774193548
high_school_psychology,22.706422018348626,52.98165137614679,15.825688073394497,8.486238532110093
high_school_statistics,21.022727272727273,45.45454545454546,19.886363636363637,13.636363636363637
high_school_us_history,59.75609756097561,18.29268292682927,7.926829268292683,14.024390243902438
high_school_world_history,51.04166666666667,30.208333333333336,11.458333333333334,7.291666666666667
human_aging,31.111111111111114,32.22222222222222,20.555555555555557,16.11111111111111
human_sexuality,25.925925925925927,51.851851851851855,13.88888888888889,8.333333333333334
international_law,33.0,50.0,11.0,6.0
jurisprudence,21.590909090909093,46.59090909090909,20.454545454545457,11.363636363636365
logical_fallacies,18.939393939393938,43.93939393939394,25.0,12.121212121212121
machine_learning,39.130434782608695,26.08695652173913,14.130434782608695,20.652173913043477
management,22.61904761904762,52.38095238095238,10.714285714285714,14.285714285714285
marketing,36.702127659574465,48.40425531914894,7.446808510638298,7.446808510638298
medical_genetics,52.5,23.75,13.75,10.0
miscellaneous,34.394904458598724,44.58598726114649,12.261146496815286,8.75796178343949
moral_disputes,26.785714285714285,36.42857142857143,22.142857142857142,14.642857142857142
moral_scenarios,24.022346368715084,21.927374301675975,31.70391061452514,22.3463687150838
nutrition,24.528301886792452,50.471698113207545,16.037735849056602,8.962264150943396
professional_accounting,31.81818181818182,23.863636363636367,18.181818181818183,26.13636363636364
professional_medicine,41.666666666666664,41.666666666666664,12.962962962962964,3.7037037037037037
professional_psychology,55.078125,26.953125,11.71875,6.25
public_relations,63.888888888888886,19.444444444444443,5.555555555555555,11.11111111111111
security_studies,90.0,10.0,0.0,0.0
sociology,92.85714285714286,7.142857142857143,0.0,0.0
us_foreign_policy,100.0,0.0,0.0,0.0
virology,85.71428571428572,10.714285714285715,3.5714285714285716,0.0
world_religions,100.0,0.0,0.0,0.0
Mean,29.693825910931174,38.385627530364374,18.357793522267208,13.562753036437247
