Dataset,A,B,C,D
high_school_microeconomics,0.3,0.25,0.4,0.05
high_school_biology,0.4166666666666667,0.08333333333333333,0.3333333333333333,0.16666666666666666
high_school_world_history,0.5,0.1,0.2,0.2
high_school_government_and_politics,0.2,0.0,0.4,0.4
high_school_psychology,0.275,0.275,0.2,0.25
high_school_chemistry,0.875,0.0,0.125,0.0
moral_disputes,0.5526315789473685,0.18421052631578946,0.13157894736842105,0.13157894736842105
high_school_geography,0.6923076923076923,0.0,0.07692307692307693,0.23076923076923078
marketing,0.5,0.0,0.5,0.0
sociology,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5
Mean,0.4301481106612685,0.1548421052631579,0.23018117408906885,0.18482860998650474
