Dataset,A,B,C,D
high_school_microeconomics,1.0,0.75,0.6363636363636364,0.4
high_school_biology,0.8571428571428571,0.9,0.8571428571428571,0.7857142857142857
high_school_world_history,0.875,0.875,0.7777777777777778,0.5454545454545454
high_school_government_and_politics,0.6,1.0,0.8,1.0
high_school_psychology,0.9230769230769231,0.92,0.72,0.7142857142857143
high_school_chemistry,1.0,0.6,0.6,0.2
moral_disputes,0.8518518518518519,0.7647058823529411,0.5789473684210527,0.5294117647058824
high_school_geography,0.7,0.6666666666666666,0.4,0.6666666666666666
marketing,1.0,1.0,1.0,0.6
sociology,1.0,0.6666666666666666,1.0,0.5
Mean,0.8865489417989418,0.834557843137255,0.7113271360218728,0.6148304048892285
