Dataset,top_1_bin,top_2_bin,top_3_bin,top_4_bin
high_school_microeconomics,31.25,40.625,18.75,9.375
high_school_biology,73.07692307692308,13.461538461538462,9.615384615384615,3.8461538461538463
high_school_world_history,75.0,19.444444444444443,5.555555555555555,0.0
high_school_government_and_politics,50.0,31.25,12.5,6.25
high_school_psychology,62.5,23.076923076923077,5.769230769230769,8.653846153846153
high_school_chemistry,65.0,25.0,10.0,0.0
moral_disputes,66.25,21.25,8.75,3.75
high_school_geography,62.50000000000001,29.166666666666668,8.333333333333334,0.0
marketing,90.0,10.0,0.0,0.0
sociology,62.5,18.75,12.5,6.25
Mean,64.25,22.5,8.5,4.75
