Dataset,0,1,2,3
high_school_microeconomics,0.09090909090909091,0.22727272727272727,0.36363636363636365,0.3181818181818182
high_school_biology,0.14285714285714285,0.07142857142857142,0.21428571428571427,0.5714285714285714
high_school_world_history,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.2222222222222222
high_school_government_and_politics,0.125,0.0,0.25,0.625
high_school_psychology,0.23076923076923078,0.1794871794871795,0.20512820512820512,0.38461538461538464
high_school_chemistry,0.2857142857142857,0.0,0.2857142857142857,0.42857142857142855
moral_disputes,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857
high_school_geography,0.2222222222222222,0.0,0.4444444444444444,0.3333333333333333
marketing,0.0,0.0,1.0,0.0
sociology,0.0,0.16666666666666666,0.3333333333333333,0.5
Mean,0.1956060606060606,0.12937229437229436,0.3117099567099567,0.36331168831168825
