Dataset,0,1,2,3
high_school_microeconomics,0.42857142857142855,0.7142857142857143,0.7272727272727273,0.8571428571428571
high_school_biology,0.5714285714285714,0.7272727272727273,0.8666666666666667,1.0
high_school_world_history,0.4,1.0,1.0,1.0
high_school_government_and_politics,0.6,1.0,0.8,1.0
high_school_psychology,0.7333333333333333,0.7083333333333334,0.7777777777777778,1.0
high_school_chemistry,0.5714285714285714,0.5,1.0,0.75
moral_disputes,0.5769230769230769,0.7368421052631579,1.0,0.8947368421052632
high_school_geography,0.5,0.75,0.8333333333333334,1.0
marketing,0.8,0.8,1.0,1.0
sociology,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666
Mean,0.5865274725274725,0.7498900660742767,0.8850707070707071,0.941685463659148
