Dataset,top_1_bin,top_2_bin,top_3_bin,top_4_bin
anatomy,0,0,0,0
astronomy,50.0,37.5,0.0,12.5
business_ethics,0,0,0,0
clinical_knowledge,0,0,0,0
college_biology,0,0,0,0
college_chemistry,0,0,0,0
college_computer_science,0,0,0,0
college_mathematics,0,0,0,0
college_physics,0,0,0,0
computer_security,0,0,0,0
econometrics,0,0,0,0
electrical_engineering,100.0,0.0,0.0,0.0
elementary_mathematics,0,0,0,0
formal_logic,0,0,0,0
global_facts,0,0,0,0
high_school_biology,80.0,10.0,0.0,10.0
high_school_chemistry,50.0,25.0,0.0,25.0
high_school_computer_science,0,0,0,0
high_school_european_history,0,0,0,0
high_school_geography,75.0,0.0,0.0,25.0
high_school_government_and_politics,100.0,0.0,0.0,0.0
high_school_macroeconomics,0,0,0,0
high_school_microeconomics,68.75,31.25,0.0,0.0
high_school_physics,0,0,0,0
high_school_psychology,68.75,22.916666666666668,8.333333333333334,0.0
high_school_statistics,0,0,0,0
high_school_us_history,0,0,0,0
high_school_world_history,79.16666666666667,16.666666666666668,0.0,4.166666666666667
human_aging,75.0,18.75,6.25,0.0
human_sexuality,0,0,0,0
international_law,0,0,0,0
jurisprudence,0,0,0,0
logical_fallacies,75.0,25.0,0.0,0.0
machine_learning,0,0,0,0
management,0,0,0,0
marketing,90.0,10.0,0.0,0.0
medical_genetics,0,0,0,0
miscellaneous,79.54545454545455,15.90909090909091,2.272727272727273,2.272727272727273
moral_disputes,87.5,12.5,0.0,0.0
moral_scenarios,0,0,0,0
nutrition,0,0,0,0
professional_accounting,50.0,37.5,4.166666666666667,8.333333333333334
professional_medicine,0,0,0,0
professional_psychology,50.0,39.0625,7.8125,3.125
public_relations,0,0,0,0
security_studies,75.0,25.0,0.0,0.0
sociology,66.66666666666667,25.0,8.333333333333334,0.0
us_foreign_policy,0,0,0,0
virology,0,0,0,0
world_religions,100.0,0.0,0.0,0.0
Mean,71.25,22.25,3.5,3.0
