Dataset,A,B,C,D
anatomy,0.3111111111111111,0.24444444444444444,0.06666666666666667,0.37777777777777777
astronomy,0.18333333333333332,0.3,0.13333333333333333,0.38333333333333336
business_ethics,0.6511627906976745,0.09302325581395349,0.046511627906976744,0.20930232558139536
clinical_knowledge,0.2767857142857143,0.21428571428571427,0.14285714285714285,0.36607142857142855
college_biology,0.16393442622950818,0.22950819672131148,0.14754098360655737,0.45901639344262296
college_chemistry,0.023809523809523808,0.23809523809523808,0.14285714285714285,0.5952380952380952
college_computer_science,0.05,0.21666666666666667,0.16666666666666666,0.5666666666666667
college_mathematics,0.09259259259259259,0.2777777777777778,0.037037037037037035,0.5925925925925926
college_physics,0.32653061224489793,0.12244897959183673,0.2857142857142857,0.2653061224489796
computer_security,0.3235294117647059,0.20588235294117646,0.058823529411764705,0.4117647058823529
econometrics,0.21875,0.15625,0.09375,0.53125
electrical_engineering,0.20754716981132076,0.24528301886792453,0.3018867924528302,0.24528301886792453
elementary_mathematics,0.2676767676767677,0.09090909090909091,0.12626262626262627,0.5151515151515151
formal_logic,0.6666666666666666,0.08771929824561403,0.17543859649122806,0.07017543859649122
global_facts,0.543859649122807,0.12280701754385964,0.22807017543859648,0.10526315789473684
high_school_biology,0.27102803738317754,0.2897196261682243,0.09345794392523364,0.34579439252336447
high_school_chemistry,0.13924050632911392,0.21518987341772153,0.189873417721519,0.45569620253164556
high_school_computer_science,0.15,0.15,0.15,0.55
high_school_european_history,0.14634146341463414,0.4878048780487805,0.24390243902439024,0.12195121951219512
high_school_geography,0.07936507936507936,0.30158730158730157,0.19047619047619047,0.42857142857142855
high_school_government_and_politics,0.29411764705882354,0.19117647058823528,0.058823529411764705,0.45588235294117646
high_school_macroeconomics,0.171875,0.28125,0.1328125,0.4140625
high_school_microeconomics,0.1827956989247312,0.25806451612903225,0.17204301075268819,0.3870967741935484
high_school_physics,0.07777777777777778,0.2111111111111111,0.2222222222222222,0.4888888888888889
high_school_psychology,0.2746478873239437,0.323943661971831,0.13380281690140844,0.2676056338028169
high_school_statistics,0.1511627906976744,0.2558139534883721,0.18604651162790697,0.4069767441860465
high_school_us_history,0.2127659574468085,0.44680851063829785,0.2127659574468085,0.1276595744680851
high_school_world_history,0.30158730158730157,0.3968253968253968,0.2698412698412698,0.031746031746031744
human_aging,0.32323232323232326,0.2727272727272727,0.08080808080808081,0.32323232323232326
human_sexuality,0.4444444444444444,0.2,0.1111111111111111,0.24444444444444444
international_law,0.3235294117647059,0.23529411764705882,0.029411764705882353,0.4117647058823529
jurisprudence,0.23255813953488372,0.3488372093023256,0.09302325581395349,0.32558139534883723
logical_fallacies,0.15,0.43333333333333335,0.06666666666666667,0.35
machine_learning,0.373134328358209,0.1791044776119403,0.1044776119402985,0.34328358208955223
management,0.21875,0.34375,0.21875,0.21875
marketing,0.5,0.22058823529411764,0.1323529411764706,0.14705882352941177
medical_genetics,0.4444444444444444,0.19444444444444445,0.16666666666666666,0.19444444444444445
miscellaneous,0.2862903225806452,0.1774193548387097,0.0967741935483871,0.43951612903225806
moral_disputes,0.5570469798657718,0.18120805369127516,0.14093959731543623,0.12080536912751678
moral_scenarios,0.19305856832971802,0.1540130151843818,0.09761388286334056,0.5553145336225597
nutrition,0.20833333333333334,0.2708333333333333,0.11458333333333333,0.40625
professional_accounting,0.24793388429752067,0.2644628099173554,0.17355371900826447,0.3140495867768595
professional_medicine,0.27692307692307694,0.3076923076923077,0.2153846153846154,0.2
professional_psychology,0.4397590361445783,0.1927710843373494,0.1566265060240964,0.21084337349397592
public_relations,0.6153846153846154,0.23076923076923078,0.11538461538461539,0.038461538461538464
security_studies,0.45454545454545453,0.06060606060606061,0.030303030303030304,0.45454545454545453
sociology,0.45454545454545453,0.22727272727272727,0.0,0.3181818181818182
us_foreign_policy,0.5,0.0,0.0,0.5
virology,0.36,0.12,0.24,0.28
world_religions,0.8,0.0,0.0,0.2
Mean,0.276506688561783,0.23312313237650456,0.13674909113075562,0.3536210879309568
