Dataset,A,B,C,D
anatomy,-0.04871342124807437,-0.0006957308433206411,0.0016677342862842226,0.04774141780511085
astronomy,-0.003071980853644546,0.003372032360922178,-0.01914536910965553,0.01884531760237787
business_ethics,-0.0351421732687186,0.0029177743653573673,-1.2453251078375915e-05,0.032236852154439666
clinical_knowledge,-0.015941199671103745,0.00263309939678813,-0.02759363977736823,0.0409017400516839
college_biology,-0.009405547267572006,-0.008384486806141095,-0.0063984329598065215,0.024188467033519595
college_chemistry,-0.019773409785363488,0.00418803513017367,-0.013065835405049922,0.02865121006023974
college_computer_science,-0.00497318187143081,-0.02977613191182725,0.008440838055933125,0.02630847572732492
college_mathematics,-0.035326863539941036,0.001176129690540137,-0.00021937054928691802,0.03437010439868779
college_physics,0.006576125754754622,0.00010862612415354911,-0.0217289481786299,0.015044196299721715
computer_security,-0.034655478639914236,-0.009884871062314976,-0.008227927964988169,0.05276827766721734
econometrics,-0.005215917360545941,-0.012083505157409816,-0.019207882988167987,0.03650730550612376
electrical_engineering,-0.035284722043775224,0.014121643044596427,-0.020081547146851703,0.04124462614603053
elementary_mathematics,0.008154050826177928,-0.0224237912879868,-0.010182717364657909,0.02445245782646674
formal_logic,0.004744576241117043,-0.0038321084321875087,-0.0019526695759754659,0.0010402017670458896
global_facts,0.021095094623285154,-0.018251351303654004,-0.018251024664085277,0.015407281344454127
high_school_biology,-0.023124109339087595,0.018826527604764304,-0.019032682458366423,0.023330264192689576
high_school_chemistry,-0.0058719245722548,0.01928750343899141,-0.01565632495049367,0.002240746083757031
high_school_computer_science,-0.03584277313103419,0.024567575370540773,-0.0055069240781678575,0.016782121838661263
high_school_european_history,-0.0007622219394514962,-0.0007174495963669092,-0.013271403980294666,0.014751075516113071
high_school_geography,-0.020619827982447547,0.006439444249583093,-0.030516425739825964,0.04469680947269039
high_school_government_and_politics,0.0014169960474195997,0.011272490565454318,-0.04433402695458,0.031644540341705996
high_school_macroeconomics,-0.005551846349234585,-0.0034341641503260745,-0.017728633484086764,0.026714643983647368
high_school_microeconomics,0.003606378374866992,0.004337631535126424,-0.016797130941903146,0.008853121031909716
high_school_physics,0.0005949974300921007,-0.01723361397722336,0.0008345202772324645,0.015804096269898815
high_school_psychology,-0.028397861243532524,0.00041664727691562153,-0.006789605674102778,0.034770819640719736
high_school_statistics,-0.03609677629637764,-0.023028888653951626,0.008861343070521832,0.05026432187980748
high_school_us_history,-0.0177419605517804,-0.002944219601270587,-0.018250435191206338,0.03893661534425741
high_school_world_history,-0.00847685251290542,-0.013838952871155163,-0.00843558998192942,0.030751395365989975
human_aging,-0.02105375564946141,0.018460754600109375,-0.020397741729286295,0.022990742778638384
human_sexuality,-0.027399482061419234,0.02644438933138435,-0.02466444265522255,0.025619535385257408
international_law,-0.014443386026764593,-0.00299182587375621,-0.01688357042022376,0.034318782320744506
jurisprudence,-0.001138144938301,-0.0038521260851525907,-0.017183379080312172,0.02217365010376579
logical_fallacies,-0.054363917455173494,0.012732555850840183,-0.012864419707354219,0.054495781311687475
machine_learning,0.023983684283540974,-0.006068198438896791,-0.013019931406944227,-0.004895554437699998
management,-0.0514139979904103,0.0030513488021509383,-0.009243549081050573,0.05760619826930988
marketing,-0.007411495622994202,-0.00962892742270835,-0.012486458394128486,0.02952688143983101
medical_genetics,0.023306277866221997,-0.014773634888824078,-0.006878408274349046,-0.001654234703048818
miscellaneous,-0.019882739726981236,0.013210105914487846,-0.024729210621033365,0.03140184443352667
moral_disputes,-0.02063403299525332,0.003564001802734751,0.003957882090920656,0.01311214910159797
moral_scenarios,-0.0006338634816445005,-0.003142680278982214,-0.012779038290859704,0.01655558205148642
nutrition,0.002093415445008684,0.0024179938378526,-0.010580266427650115,0.006068857144788886
professional_accounting,0.019063418049458214,0.010379913378025435,-0.004771732003386875,-0.024671599424096774
professional_medicine,0.018081751214428093,0.009159193490974271,-0.006769242150128668,-0.020471702555273683
professional_psychology,0.027025733704202304,0.0189648350093434,-0.03097164026001993,-0.01501892845352576
public_relations,0.007622274788967959,0.022118654867681248,-0.001003284962058315,-0.028737644694590836
security_studies,0.10392440955193556,0.017513780816951555,-0.04705261949927532,-0.07438557086961181
sociology,0.09698885832423856,0.02759586661380109,-0.04013696541519561,-0.08444775952284399
us_foreign_policy,0.07118236391468377,0.0042556244407926935,-0.022697665011291973,-0.052740323344184464
virology,0.028298902912644586,0.0031579687595095635,0.011236428959240374,-0.04269330063139453
world_religions,0.04049269276963119,-0.04960464500255801,-0.03208739218121931,0.04119934441414602
Mean,-0.00869124669526523,0.0014675879363201594,-0.014245972046321127,0.021469630805266187
Std,0.021970195091123388,0.013065159979238149,0.01104200307048954,0.020944981117654596
