Dataset,0,1,2,3
anatomy,0.6470588235294118,0.7222222222222222,1.0,1.0
astronomy,0.6129032258064516,0.8333333333333334,0.7391304347826086,0.9047619047619048
business_ethics,0.6571428571428571,0.875,0.9285714285714286,0.8666666666666667
clinical_knowledge,0.5929203539823009,0.8529411764705882,0.8709677419354839,1.0
college_biology,0.5918367346938775,0.7058823529411765,0.7727272727272727,0.8928571428571429
college_chemistry,0.6595744680851063,0.8333333333333334,0.5555555555555556,1.0
college_computer_science,0.71875,0.5,0.6428571428571429,0.7272727272727273
college_mathematics,0.6097560975609756,0.8461538461538461,0.8666666666666667,0.8181818181818182
college_physics,0.6666666666666666,1.0,0.8666666666666667,0.9230769230769231
computer_security,0.7419354838709677,0.75,1.0,0.8823529411764706
econometrics,0.7,0.8125,1.0,1.0
electrical_engineering,0.7966101694915254,0.875,0.8095238095238095,0.95
elementary_mathematics,0.6312056737588653,0.7777777777777778,0.7558139534883721,0.9512195121951219
formal_logic,0.7833333333333333,1.0,0.7777777777777778,1.0
global_facts,0.7073170731707317,1.0,0.8421052631578947,0.7777777777777778
high_school_biology,0.6018518518518519,0.7272727272727273,0.8837209302325582,0.9622641509433962
high_school_chemistry,0.7096774193548387,0.9473684210526315,0.7857142857142857,1.0
high_school_computer_science,0.6046511627906976,0.7272727272727273,0.8,1.0
high_school_european_history,0.6590909090909091,0.6176470588235294,0.9166666666666666,0.9666666666666667
high_school_geography,0.704225352112676,0.68,0.8,1.0
high_school_government_and_politics,0.5106382978723404,0.6857142857142857,0.9166666666666666,0.9736842105263158
high_school_macroeconomics,0.656441717791411,0.7777777777777778,0.7540983606557377,0.9615384615384616
high_school_microeconomics,0.7244897959183674,0.84,0.8823529411764706,1.0
high_school_physics,0.5,0.8947368421052632,0.75,1.0
high_school_psychology,0.6470588235294118,0.6853932584269663,0.8641975308641975,0.9791666666666666
high_school_statistics,0.5625,0.7307692307692307,0.71875,0.9736842105263158
high_school_us_history,0.603448275862069,0.696969696969697,0.8974358974358975,1.0
high_school_world_history,0.6363636363636364,0.7435897435897436,1.0,0.9487179487179487
human_aging,0.6904761904761905,0.8823529411764706,0.9,1.0
human_sexuality,0.6304347826086957,0.6666666666666666,0.8,1.0
international_law,0.6111111111111112,0.9545454545454546,0.9,0.9545454545454546
jurisprudence,0.5652173913043478,0.9166666666666666,0.7333333333333333,1.0
logical_fallacies,0.5531914893617021,0.625,0.96,0.9642857142857143
machine_learning,0.8431372549019608,1.0,1.0,0.9285714285714286
management,0.6363636363636364,0.7368421052631579,0.8888888888888888,1.0
marketing,0.6376811594202898,0.7619047619047619,0.8888888888888888,0.9512195121951219
medical_genetics,0.75,0.7894736842105263,1.0,1.0
miscellaneous,0.6470588235294118,0.7835820895522388,0.8888888888888888,0.9767441860465116
moral_disputes,0.7086614173228346,0.7169811320754716,0.9574468085106383,0.9622641509433962
moral_scenarios,0.6518847006651884,1.0,1.0,1.0
nutrition,0.7307692307692307,0.825,0.8857142857142857,1.0
professional_accounting,0.5833333333333334,0.7878787878787878,0.8125,0.9130434782608695
professional_medicine,0.28125,0.6296296296296297,0.9583333333333334,0.92
professional_psychology,0.66,0.819672131147541,0.9622641509433962,0.9761904761904762
public_relations,0.7333333333333333,0.8888888888888888,1.0,0.8333333333333334
security_studies,0.9,0.6666666666666666,0.8888888888888888,1.0
sociology,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.8888888888888888
us_foreign_policy,1.0,1.0,1.0,1.0
virology,0.8571428571428571,1.0,1.0,0.8888888888888888
world_religions,0.8333333333333334,0.8333333333333334,1.0,1.0
Mean,0.6489735886864054,0.8014975069606736,0.8763799325166473,0.9656619477558528
