Dataset,0,1,2,3
anatomy,0.9206349206349206,0.6428571428571429,0.8461538461538461,0.7777777777777778
astronomy,0.8873239436619719,0.5294117647058824,0.5909090909090909,0.7142857142857143
business_ethics,0.8181818181818182,0.6,0.9090909090909091,0.9
clinical_knowledge,0.8492063492063492,0.8666666666666667,0.84,0.9032258064516129
college_biology,0.8507462686567164,0.5333333333333333,0.5882352941176471,0.7647058823529411
college_chemistry,0.7241379310344828,0.6,0.5,0.8
college_computer_science,0.8703703703703703,0.5,0.5,0.6666666666666666
college_mathematics,0.8541666666666666,0.75,0.6,0.7
college_physics,0.8695652173913043,0.8181818181818182,0.6153846153846154,0.6428571428571429
computer_security,0.8048780487804879,0.6,0.8461538461538461,0.9090909090909091
econometrics,0.8823529411764706,0.5,0.6923076923076923,0.8571428571428571
electrical_engineering,0.8088235294117647,0.875,0.8888888888888888,1.0
elementary_mathematics,0.7631578947368421,0.7878787878787878,0.6222222222222222,0.8333333333333334
formal_logic,0.8059701492537313,0.2727272727272727,0.7,0.5
global_facts,0.75,0.5833333333333334,0.5555555555555556,0.5714285714285714
high_school_biology,0.9172413793103448,0.7096774193548387,0.8,0.7297297297297297
high_school_chemistry,0.8811881188118812,0.5882352941176471,0.6666666666666666,0.7368421052631579
high_school_computer_science,0.9038461538461539,0.5,0.8,0.625
high_school_european_history,0.7027027027027027,0.7058823529411765,0.8421052631578947,0.8636363636363636
high_school_geography,0.85,0.7894736842105263,0.75,0.9047619047619048
high_school_government_and_politics,0.7790697674418605,0.6521739130434783,0.9523809523809523,0.8076923076923077
high_school_macroeconomics,0.8298969072164949,0.4642857142857143,0.6222222222222222,0.7555555555555555
high_school_microeconomics,0.9,0.38095238095238093,0.6086956521739131,0.6428571428571429
high_school_physics,0.835820895522388,0.6428571428571429,0.5384615384615384,0.7058823529411765
high_school_psychology,0.8112449799196787,0.64,0.6944444444444444,0.8923076923076924
high_school_statistics,0.7777777777777778,0.8571428571428571,0.5483870967741935,0.625
high_school_us_history,0.6933333333333334,0.5517241379310345,0.8,0.9
high_school_world_history,0.7291666666666666,0.6551724137931034,0.8333333333333334,0.918918918918919
human_aging,0.8543689320388349,0.8620689655172413,0.8333333333333334,0.9166666666666666
human_sexuality,0.7910447761194029,0.6428571428571429,1.0,0.875
international_law,0.7627118644067796,0.9285714285714286,0.8666666666666667,0.75
jurisprudence,0.8928571428571429,0.4166666666666667,0.75,1.0
logical_fallacies,0.8148148148148148,0.6875,0.9,0.9333333333333333
machine_learning,0.9019607843137255,0.3333333333333333,0.26666666666666666,0.5454545454545454
management,0.9318181818181818,0.3076923076923077,0.7142857142857143,0.9230769230769231
marketing,0.7727272727272727,0.6944444444444444,0.8125,0.75
medical_genetics,0.975,0.8461538461538461,0.9,0.8823529411764706
miscellaneous,0.8388059701492537,0.6938775510204082,0.7222222222222222,0.8275862068965517
moral_disputes,0.7843137254901961,0.5384615384615384,0.6888888888888889,0.5116279069767442
moral_scenarios,1.0,0.42045454545454547,0.7011494252873564,0.8222222222222222
nutrition,0.9230769230769231,0.7096774193548387,0.7241379310344828,0.9090909090909091
professional_accounting,0.7894736842105263,0.6451612903225806,0.5945945945945946,0.8461538461538461
professional_medicine,0.8461538461538461,0.4230769230769231,0.5862068965517241,0.8571428571428571
professional_psychology,0.9553571428571429,0.7321428571428571,0.7692307692307693,0.75
public_relations,0.8666666666666667,0.7777777777777778,1.0,0.8333333333333334
security_studies,1.0,0.5454545454545454,0.8181818181818182,1.0
sociology,1.0,0.5714285714285714,1.0,0.7142857142857143
us_foreign_policy,1.0,0.8,0.6,1.0
virology,0.8571428571428571,1.0,1.0,0.5714285714285714
world_religions,1.0,0.7142857142857143,0.9090909090909091,0.9090909090909091
Mean,0.8505001552099128,0.6277160511112935,0.7224186510063692,0.7982832939687355
