Dataset,A,B,C,D
anatomy,0.5454545454545454,0.2727272727272727,0.13636363636363635,0.045454545454545456
astronomy,0.06557377049180328,0.13114754098360656,0.5245901639344263,0.2786885245901639
business_ethics,0.5588235294117647,0.14705882352941177,0.17647058823529413,0.11764705882352941
clinical_knowledge,0.4024390243902439,0.1951219512195122,0.23170731707317074,0.17073170731707318
college_biology,0.3333333333333333,0.20833333333333334,0.2916666666666667,0.16666666666666666
college_chemistry,0.421875,0.1875,0.25,0.140625
college_computer_science,0.26,0.16,0.34,0.24
college_mathematics,0.37735849056603776,0.16981132075471697,0.3584905660377358,0.09433962264150944
college_physics,0.12244897959183673,0.32653061224489793,0.4489795918367347,0.10204081632653061
computer_security,0.2,0.2,0.6,0.0
econometrics,0.31746031746031744,0.20634920634920634,0.23809523809523808,0.23809523809523808
electrical_engineering,0.42857142857142855,0.16071428571428573,0.32142857142857145,0.08928571428571429
elementary_mathematics,0.22527472527472528,0.17582417582417584,0.42857142857142855,0.17032967032967034
formal_logic,0.5,0.1527777777777778,0.2638888888888889,0.08333333333333333
global_facts,0.25,0.1,0.65,0.0
high_school_biology,0.2702702702702703,0.24324324324324326,0.35135135135135137,0.13513513513513514
high_school_chemistry,0.28888888888888886,0.26666666666666666,0.32222222222222224,0.12222222222222222
high_school_computer_science,0.18421052631578946,0.2894736842105263,0.5,0.02631578947368421
high_school_european_history,0.10526315789473684,0.39473684210526316,0.21052631578947367,0.2894736842105263
high_school_geography,0.3125,0.34375,0.09375,0.25
high_school_government_and_politics,0.4,0.16666666666666666,0.16666666666666666,0.26666666666666666
high_school_macroeconomics,0.49264705882352944,0.16911764705882354,0.22794117647058823,0.11029411764705882
high_school_microeconomics,0.4473684210526316,0.2236842105263158,0.23684210526315788,0.09210526315789473
high_school_physics,0.24050632911392406,0.24050632911392406,0.3037974683544304,0.21518987341772153
high_school_psychology,0.325,0.2916666666666667,0.3333333333333333,0.05
high_school_statistics,0.189873417721519,0.26582278481012656,0.4430379746835443,0.10126582278481013
high_school_us_history,0.02564102564102564,0.46153846153846156,0.4358974358974359,0.07692307692307693
high_school_world_history,0.07317073170731707,0.4146341463414634,0.34146341463414637,0.17073170731707318
human_aging,0.4588235294117647,0.16470588235294117,0.3058823529411765,0.07058823529411765
human_sexuality,0.2903225806451613,0.16129032258064516,0.4838709677419355,0.06451612903225806
international_law,0.2413793103448276,0.3103448275862069,0.3448275862068966,0.10344827586206896
jurisprudence,0.28125,0.4375,0.15625,0.125
logical_fallacies,0.35185185185185186,0.3148148148148148,0.2222222222222222,0.1111111111111111
machine_learning,0.5,0.06896551724137931,0.3620689655172414,0.06896551724137931
management,0.32,0.08,0.48,0.12
marketing,0.4230769230769231,0.19230769230769232,0.19230769230769232,0.19230769230769232
medical_genetics,0.47619047619047616,0.19047619047619047,0.2857142857142857,0.047619047619047616
miscellaneous,0.41333333333333333,0.24,0.2733333333333333,0.07333333333333333
moral_disputes,0.24242424242424243,0.18181818181818182,0.3434343434343434,0.23232323232323232
moral_scenarios,0.75,0.07536764705882353,0.08455882352941177,0.0900735294117647
nutrition,0.21568627450980393,0.19607843137254902,0.3137254901960784,0.27450980392156865
professional_accounting,0.13,0.21,0.57,0.09
professional_medicine,0.26666666666666666,0.2,0.3333333333333333,0.2
professional_psychology,0.3711340206185567,0.2268041237113402,0.30927835051546393,0.09278350515463918
public_relations,0.5,0.23076923076923078,0.19230769230769232,0.07692307692307693
security_studies,0.3125,0.25,0.0,0.4375
sociology,0.125,0.125,0.375,0.375
us_foreign_policy,0,0,0,0
virology,0.2777777777777778,0.0,0.3888888888888889,0.3333333333333333
world_religions,1.0,0.0,0.0,0.0
Mean,0.35815089462621197,0.21458842410615286,0.29440174615562403,0.13032857073954146
