Dataset,A,B,C,D
anatomy,0.9696969696969697,0.8275862068965517,1.0,0.8260869565217391
astronomy,0.6923076923076923,0.9166666666666666,0.9,0.7058823529411765
business_ethics,0.9,0.7647058823529411,0.7777777777777778,0.8666666666666667
clinical_knowledge,0.8055555555555556,0.8695652173913043,0.9574468085106383,0.851063829787234
college_biology,0.9,0.9642857142857143,0.9333333333333333,0.8214285714285714
college_chemistry,0.7297297297297297,0.6923076923076923,0.9411764705882353,0.5384615384615384
college_computer_science,0.5769230769230769,0.7692307692307693,0.8571428571428571,0.75
college_mathematics,0.8,0.7777777777777778,0.95,0.6666666666666666
college_physics,0.55,0.7777777777777778,0.9,0.7058823529411765
computer_security,0.8095238095238095,0.8,0.9523809523809523,0.8333333333333334
econometrics,0.7272727272727273,0.7647058823529411,0.7894736842105263,0.7391304347826086
electrical_engineering,0.825,0.7692307692307693,0.7857142857142857,0.5909090909090909
elementary_mathematics,0.6185567010309279,0.6949152542372882,0.8780487804878049,0.5606060606060606
formal_logic,0.7647058823529411,0.75,0.8181818181818182,0.7333333333333333
global_facts,0.4666666666666667,0.5,0.8285714285714286,0.2
high_school_biology,0.8461538461538461,0.9516129032258065,0.9552238805970149,0.9074074074074074
high_school_chemistry,0.76,0.7857142857142857,0.8,0.7777777777777778
high_school_computer_science,0.9411764705882353,0.7692307692307693,1.0,0.6428571428571429
high_school_european_history,0.8620689655172413,0.9230769230769231,1.0,0.8648648648648649
high_school_geography,0.9069767441860465,0.9302325581395349,0.9705882352941176,0.925
high_school_government_and_politics,0.9090909090909091,0.8888888888888888,0.9714285714285714,0.8292682926829268
high_school_macroeconomics,0.8771929824561403,0.8870967741935484,0.9420289855072463,0.8059701492537313
high_school_microeconomics,0.9047619047619048,0.8297872340425532,0.975609756097561,0.7073170731707317
high_school_physics,0.7407407407407407,0.6216216216216216,0.9333333333333333,0.7666666666666667
high_school_psychology,0.8934426229508197,0.911504424778761,0.9357798165137615,0.8478260869565217
high_school_statistics,0.8611111111111112,0.7872340425531915,0.8461538461538461,0.6341463414634146
high_school_us_history,0.717948717948718,0.9130434782608695,0.9534883720930233,0.8055555555555556
high_school_world_history,0.6938775510204082,0.9423076923076923,0.9574468085106383,0.8409090909090909
human_aging,0.8769230769230769,0.8611111111111112,0.8958333333333334,0.8064516129032258
human_sexuality,0.7931034482758621,0.9130434782608695,0.8823529411764706,0.7727272727272727
international_law,0.8695652173913043,0.8888888888888888,0.9285714285714286,0.6818181818181818
jurisprudence,0.6666666666666666,0.7692307692307693,0.8947368421052632,0.75
logical_fallacies,0.7555555555555555,0.9142857142857143,0.9615384615384616,0.6923076923076923
machine_learning,0.9210526315789473,0.6470588235294118,0.9130434782608695,0.7857142857142857
management,0.875,0.8421052631578947,0.96,0.8125
marketing,0.9423076923076923,0.9767441860465116,0.9166666666666666,0.9333333333333333
medical_genetics,0.875,0.7619047619047619,1.0,0.8235294117647058
miscellaneous,0.893048128342246,0.9473684210526315,0.9617834394904459,0.8939393939393939
moral_disputes,0.9117647058823529,0.90625,0.8717948717948718,0.8285714285714286
moral_scenarios,1.0,1.0,1.0,1.0
nutrition,0.8846153846153846,0.8545454545454545,0.9818181818181818,0.92
professional_accounting,0.7567567567567568,0.5333333333333333,0.8695652173913043,0.6
professional_medicine,0.8275862068965517,0.88,0.9,0.8333333333333334
professional_psychology,0.9459459459459459,0.9016393442622951,0.8732394366197183,0.8
public_relations,0.9333333333333333,0.7777777777777778,0.8333333333333334,0.6666666666666666
security_studies,0.8,1.0,0.7142857142857143,0.8461538461538461
sociology,0.8571428571428571,1.0,1.0,0.875
us_foreign_policy,1.0,1.0,1.0,1.0
virology,1.0,0.6666666666666666,0.8888888888888888,1.0
world_religions,1.0,1.0,1.0,0.9166666666666666
Mean,0.8465115398694578,0.863774233440326,0.9267912513648349,0.8060927228164583
