Dataset,A,B,C,D
anatomy,-0.03830995901559062,0.007999459121258656,0.00612118114832913,0.024189318746002803
astronomy,-0.03955051330853082,0.025400590878974005,0.007421799103412674,0.0067281233261440865
business_ethics,-0.019269917740984466,0.04068102284132252,-0.02788214667594663,0.0064710415756084605
clinical_knowledge,-0.0023243857241467547,0.010965993977344435,-0.018964018098477475,0.01032240984527985
college_biology,-0.008305175359682754,0.01955016262048201,-0.020592197941145335,0.009347210680346107
college_chemistry,-0.017898430855354558,0.018337974117423383,0.0035865569420264753,-0.004026100204095287
college_computer_science,-0.054643598127726456,0.015193429882321113,0.010883950905352824,0.028566217340052602
college_mathematics,-0.0038607002861640732,-0.0003600107016119569,0.011148801928091728,-0.00692809094031574
college_physics,0.010251061292792574,-0.0039307728520531215,0.0014261910478376993,-0.007746479488577096
computer_security,-0.005103266214756763,0.017747654027997273,-0.006703433093594974,-0.00594095471964548
econometrics,-0.00012920648337649832,0.013211818727216496,-0.0011955023302993584,-0.011887109913540611
electrical_engineering,-0.0022488289775566828,0.018756326341116847,-0.001067470146805416,-0.015440027216754748
elementary_mathematics,0.0003169200528083116,0.009072474463788532,-0.007813982343099685,-0.0015754121734971038
formal_logic,-0.03989656349780702,-0.013162754271103222,0.020001089778220113,0.03305822799069011
global_facts,0.003217597760828153,-0.0006334538848853169,0.0038929944814471845,-0.006477138357390028
high_school_biology,-0.0068263312697680045,0.016584807277364055,-0.015513210843271924,0.00575473483567579
high_school_chemistry,-0.020912722094740543,0.02022268266366578,0.0062569148440594635,-0.005566875412984673
high_school_computer_science,-0.010564113161301625,0.03585738787900977,-0.024722794713300078,-0.0005704800044080138
high_school_european_history,-0.01937529911930716,-0.006008277882367435,0.010479173472890874,0.014904403528783722
high_school_geography,-0.005638642166378355,0.0028230226233357247,0.0017595437831594007,0.0010560757598833126
high_school_government_and_politics,-0.014761769179661488,0.013769306871613984,-0.005156825810126997,0.006149288118174501
high_school_macroeconomics,-0.012880466483629005,0.009602970556218088,-0.0018928553286624294,0.005170351256073402
high_school_microeconomics,-0.00688513767979787,-0.000886215099907578,-0.0010433869686084785,0.008814739748313927
high_school_physics,-0.000825317275598425,0.0008141606505255583,0.01211225176387111,-0.012101095138798229
high_school_psychology,-0.005199225785131101,0.015325969988489424,-0.013136387049859671,0.003009642846501376
high_school_statistics,-0.01559103045265478,0.010406614657595598,-0.0017946944390407893,0.0069791102341
high_school_us_history,-0.007779058972842562,0.0037360034113281537,-0.016347572794571275,0.020390628356085627
high_school_world_history,-0.01370999679257412,-0.01246164787327364,0.004429416262024755,0.021742228403822977
human_aging,-0.005281700586964533,0.03592502108824425,-0.009477612694046594,-0.021165707807233175
human_sexuality,-0.010753569474609481,0.02081783852931285,-0.0221328259181926,0.012068556863489205
international_law,-0.015705198110563257,0.024271541236823124,-0.008067185783166897,-0.0004991573430930263
jurisprudence,-0.02113954449915778,0.015951306246808294,-0.0010624296427918234,0.0062506678951413375
logical_fallacies,-0.03417207335281591,0.007547834256957486,0.004401322956468917,0.022222916139389537
machine_learning,0.0019737055141898774,0.012807159505666826,-0.013681766229892117,-0.001099098789964531
management,-0.008153246702727684,0.013701726513426993,-0.01580494155154072,0.01025646174084141
marketing,0.0030381790863711344,0.014834921639431176,-0.012679448639147967,-0.005193652086654343
medical_genetics,0.009886047835548306,0.018399785023772597,-0.03172583478352681,0.00344000192420596
miscellaneous,-0.006928943295974127,0.01593794368979823,-0.010375623751982643,0.0013666233581585696
moral_disputes,-0.018487967307594527,0.013105395557438504,0.004109156340940862,0.0012734154092152172
moral_scenarios,0.005205675355222178,-0.001539452626268048,-0.0019853934206705837,-0.0016808293082835185
nutrition,-0.019581365776130122,0.024118224239677105,-0.0008440290630308822,-0.003692829400516101
professional_accounting,0.013124915104222618,0.022152675839640396,-0.009488796555866985,-0.025788794387996083
professional_medicine,-0.024009869391349276,-0.005398279738109357,0.02328282064672374,0.0061253284827348375
professional_psychology,-0.0012803062761747863,0.013593896745204753,-0.007647713099795478,-0.004665877369234461
public_relations,0.034034827645751664,0.024975893030191654,-0.039467174478412054,-0.019543546197531292
security_studies,0.03962989167207273,-0.018854875012073447,-0.02134370590504972,0.0005686892450504077
sociology,0.01934287468587309,0.007711553082880629,-0.0184086277703151,-0.008645799998438591
us_foreign_policy,-0.026177943577322976,0.017106957082126145,-0.0007664009452262588,0.009837387440423034
virology,0.020547204208737346,0.03678972775361067,-0.04188681665902036,-0.015450115303327738
world_religions,0.009166497082501668,-0.026709954348419496,-0.005608536506436973,0.02315199377235483
Mean,-0.008068479589154465,0.01102828635119781,-0.005186561293622637,0.002226754531579304
Std,0.013435313265768403,0.011496865976925423,0.010706652743860803,0.011022057460219952
