Dataset,0,1,2,3
anatomy,0.45454545454545453,0.21212121212121213,0.15151515151515152,0.18181818181818182
astronomy,0.05172413793103448,0.1896551724137931,0.41379310344827586,0.3448275862068966
business_ethics,0.6428571428571429,0.14285714285714285,0.14285714285714285,0.07142857142857142
clinical_knowledge,0.4177215189873418,0.189873417721519,0.189873417721519,0.20253164556962025
college_biology,0.3076923076923077,0.34615384615384615,0.19230769230769232,0.15384615384615385
college_chemistry,0.4339622641509434,0.11320754716981132,0.24528301886792453,0.20754716981132076
college_computer_science,0.25,0.22727272727272727,0.29545454545454547,0.22727272727272727
college_mathematics,0.39622641509433965,0.20754716981132076,0.32075471698113206,0.07547169811320754
college_physics,0.2692307692307692,0.17307692307692307,0.36538461538461536,0.19230769230769232
computer_security,0.4,0.0,0.5333333333333333,0.06666666666666667
econometrics,0.421875,0.1875,0.140625,0.25
electrical_engineering,0.4146341463414634,0.21951219512195122,0.24390243902439024,0.12195121951219512
elementary_mathematics,0.25824175824175827,0.2087912087912088,0.31868131868131866,0.21428571428571427
formal_logic,0.4927536231884058,0.17391304347826086,0.2753623188405797,0.057971014492753624
global_facts,0.3023255813953488,0.13953488372093023,0.46511627906976744,0.09302325581395349
high_school_biology,0.22388059701492538,0.208955223880597,0.373134328358209,0.19402985074626866
high_school_chemistry,0.3068181818181818,0.20454545454545456,0.2159090909090909,0.2727272727272727
high_school_computer_science,0.17142857142857143,0.3142857142857143,0.42857142857142855,0.08571428571428572
high_school_european_history,0.1388888888888889,0.3055555555555556,0.19444444444444445,0.3611111111111111
high_school_geography,0.3611111111111111,0.25,0.05555555555555555,0.3333333333333333
high_school_government_and_politics,0.39285714285714285,0.14285714285714285,0.14285714285714285,0.32142857142857145
high_school_macroeconomics,0.4178082191780822,0.1780821917808219,0.21232876712328766,0.1917808219178082
high_school_microeconomics,0.45569620253164556,0.13924050632911392,0.22784810126582278,0.17721518987341772
high_school_physics,0.23684210526315788,0.2631578947368421,0.25,0.25
high_school_psychology,0.32142857142857145,0.21428571428571427,0.32142857142857145,0.14285714285714285
high_school_statistics,0.17,0.28,0.28,0.27
high_school_us_history,0.09523809523809523,0.3333333333333333,0.40476190476190477,0.16666666666666666
high_school_world_history,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666
human_aging,0.4810126582278481,0.13924050632911392,0.26582278481012656,0.11392405063291139
human_sexuality,0.3076923076923077,0.23076923076923078,0.38461538461538464,0.07692307692307693
international_law,0.3333333333333333,0.1111111111111111,0.37037037037037035,0.18518518518518517
jurisprudence,0.13043478260869565,0.30434782608695654,0.30434782608695654,0.2608695652173913
logical_fallacies,0.5,0.2608695652173913,0.08695652173913043,0.15217391304347827
machine_learning,0.45454545454545453,0.09090909090909091,0.32727272727272727,0.12727272727272726
management,0.20833333333333334,0.125,0.5,0.16666666666666666
marketing,0.36363636363636365,0.18181818181818182,0.22727272727272727,0.22727272727272727
medical_genetics,0.32142857142857145,0.17857142857142858,0.32142857142857145,0.17857142857142858
miscellaneous,0.48484848484848486,0.1590909090909091,0.2196969696969697,0.13636363636363635
moral_disputes,0.17525773195876287,0.1134020618556701,0.38144329896907214,0.32989690721649484
moral_scenarios,0.7504621072088724,0.07578558225508318,0.07763401109057301,0.09611829944547134
nutrition,0.19298245614035087,0.24561403508771928,0.2807017543859649,0.2807017543859649
professional_accounting,0.24271844660194175,0.1941747572815534,0.47572815533980584,0.08737864077669903
professional_medicine,0.3333333333333333,0.12121212121212122,0.3939393939393939,0.15151515151515152
professional_psychology,0.38636363636363635,0.18181818181818182,0.3181818181818182,0.11363636363636363
public_relations,0.5,0.2916666666666667,0.16666666666666666,0.041666666666666664
security_studies,0.47368421052631576,0.15789473684210525,0.0,0.3684210526315789
sociology,0.23076923076923078,0.23076923076923078,0.3076923076923077,0.23076923076923078
us_foreign_policy,1.0,0.0,0.0,0.0
virology,0.3333333333333333,0.05555555555555555,0.3333333333333333,0.2777777777777778
world_religions,0.5,0.0,0.5,0.0
Mean,0.37007888785518794,0.18570262120892633,0.26423952416679036,0.17997896676909542
