Dataset,A,B,C,D
high_school_microeconomics,0.4375,0.25,0.075,0.2375
high_school_biology,0.38461538461538464,0.21153846153846154,0.17307692307692307,0.23076923076923078
high_school_world_history,0.3076923076923077,0.07692307692307693,0.38461538461538464,0.23076923076923078
high_school_government_and_politics,0,0,0,0
high_school_psychology,0,0,0,0
high_school_chemistry,0,0,0,0
moral_disputes,0,0,0,0
high_school_geography,0,0,0,0
marketing,0,0,0,0
sociology,0,0,0,0
Mean,0.4046153846153846,0.22057692307692306,0.1408076923076923,0.234
