Dataset,A,B,C,D
high_school_microeconomics,0.8913043478260869,0.5166666666666667,0.5365853658536586,0.7555555555555555
high_school_biology,0.9333333333333333,0.7111111111111111,0.6739130434782609,0.7272727272727273
high_school_world_history,1.0,0.7142857142857143,0.6666666666666666,0.7142857142857143
high_school_government_and_politics,0,0,0,0
high_school_psychology,0,0,0,0
high_school_chemistry,0,0,0,0
moral_disputes,0,0,0,0
high_school_geography,0,0,0,0
marketing,0,0,0,0
sociology,0,0,0,0
Mean,0.9178260869565217,0.618,0.6074885118416402,0.739939393939394
