Dataset,A,B,C,D
high_school_microeconomics,-0.04233050740744937,0.012351515676697344,0.020288108593230547,0.009690883137521422
high_school_biology,-0.04671518909539901,0.008844088258588512,0.015939489396534168,0.021931611440276277
high_school_world_history,0.018755802291734402,-0.042487211766897626,0.018026375123489258,0.0057050343516739654
high_school_government_and_politics,nan,nan,nan,nan
high_school_psychology,nan,nan,nan,nan
high_school_chemistry,nan,nan,nan,nan
moral_disputes,nan,nan,nan,nan
high_school_geography,nan,nan,nan,nan
marketing,nan,nan,nan,nan
sociology,nan,nan,nan,nan
Mean,nan,nan,nan,nan
Std,nan,nan,nan,nan
