Dataset,p-value,statistic
professional_psychology,0.0010465120752111126,16.17
electrical_engineering,nan,nan
college_biology,nan,nan
marketing,nan,nan
high_school_world_history,nan,nan
professional_law,0.006117067758723193,12.405000000000001
prehistory,3.94409449309271e-09,42.035
philosophy,3.3729573479622604e-05,23.375
high_school_mathematics,0.3596493431599909,3.215
conceptual_physics,0.001603636542024127,15.264999999999999
college_medicine,0.00038782082024082473,18.265
abstract_algebra,0.04659522052166838,7.9719387755102025
