Dataset,A,B,C,D
anatomy,0.6981132075471698,0.18867924528301888,0.018867924528301886,0.09433962264150944
astronomy,0.44155844155844154,0.18181818181818182,0.16883116883116883,0.2077922077922078
business_ethics,0.6666666666666666,0.1388888888888889,0.0,0.19444444444444445
clinical_knowledge,0.7175572519083969,0.09923664122137404,0.06870229007633588,0.11450381679389313
college_biology,0.5384615384615384,0.16666666666666666,0.08974358974358974,0.20512820512820512
college_chemistry,0.4489795918367347,0.22448979591836735,0.08163265306122448,0.24489795918367346
college_computer_science,0.55,0.0,0.05,0.4
college_mathematics,0.29545454545454547,0.11363636363636363,0.11363636363636363,0.4772727272727273
college_physics,0.46875,0.09375,0.046875,0.390625
computer_security,0.7222222222222222,0.12962962962962962,0.0,0.14814814814814814
econometrics,0.34210526315789475,0.17105263157894737,0.11842105263157894,0.3684210526315789
electrical_engineering,0.46153846153846156,0.2923076923076923,0.12307692307692308,0.12307692307692308
elementary_mathematics,0.4975369458128079,0.12315270935960591,0.07389162561576355,0.3054187192118227
formal_logic,0.46774193548387094,0.20967741935483872,0.12903225806451613,0.1935483870967742
global_facts,0.75,0.03571428571428571,0.14285714285714285,0.07142857142857142
high_school_biology,0.5454545454545454,0.13986013986013987,0.11188811188811189,0.20279720279720279
high_school_chemistry,0.6138613861386139,0.13861386138613863,0.0891089108910891,0.15841584158415842
high_school_computer_science,0.48936170212765956,0.2127659574468085,0.02127659574468085,0.2765957446808511
high_school_european_history,0.7162162162162162,0.13513513513513514,0.02702702702702703,0.12162162162162163
high_school_geography,0.5571428571428572,0.22857142857142856,0.05714285714285714,0.15714285714285714
high_school_government_and_politics,0.6268656716417911,0.16417910447761194,0.08955223880597014,0.11940298507462686
high_school_macroeconomics,0.5597826086956522,0.15760869565217392,0.09239130434782608,0.19021739130434784
high_school_microeconomics,0.6548672566371682,0.13274336283185842,0.04424778761061947,0.168141592920354
high_school_physics,0.32432432432432434,0.1891891891891892,0.0945945945945946,0.3918918918918919
high_school_psychology,0.6458333333333334,0.21354166666666666,0.0625,0.078125
high_school_statistics,0.27722772277227725,0.18811881188118812,0.04950495049504951,0.48514851485148514
high_school_us_history,0.7471264367816092,0.16091954022988506,0.04597701149425287,0.04597701149425287
high_school_world_history,0.7831325301204819,0.10843373493975904,0.04819277108433735,0.060240963855421686
human_aging,0.6770833333333334,0.15625,0.041666666666666664,0.125
human_sexuality,0.7241379310344828,0.08620689655172414,0.1206896551724138,0.06896551724137931
international_law,0.5161290322580645,0.12903225806451613,0.1935483870967742,0.16129032258064516
jurisprudence,0.56,0.26,0.04,0.14
logical_fallacies,0.7096774193548387,0.16129032258064516,0.016129032258064516,0.11290322580645161
machine_learning,0.6901408450704225,0.04225352112676056,0.04225352112676056,0.22535211267605634
management,0.7575757575757576,0.09090909090909091,0.15151515151515152,0.0
marketing,0.5666666666666667,0.31666666666666665,0.016666666666666666,0.1
medical_genetics,0.6744186046511628,0.11627906976744186,0.046511627906976744,0.16279069767441862
miscellaneous,0.6782006920415224,0.16608996539792387,0.05190311418685121,0.10380622837370242
moral_disputes,0.3897058823529412,0.25735294117647056,0.125,0.22794117647058823
moral_scenarios,1.0,0.0,0.0,0.0
nutrition,0.5277777777777778,0.17592592592592593,0.06481481481481481,0.23148148148148148
professional_accounting,0.5634920634920635,0.15079365079365079,0.11904761904761904,0.16666666666666666
professional_medicine,0.7183098591549296,0.07042253521126761,0.056338028169014086,0.15492957746478872
professional_psychology,0.6745562130177515,0.1242603550295858,0.08875739644970414,0.11242603550295859
public_relations,0.6296296296296297,0.2222222222222222,0.1111111111111111,0.037037037037037035
security_studies,0.32142857142857145,0.07142857142857142,0.0,0.6071428571428571
sociology,0.625,0.1875,0.0625,0.125
us_foreign_policy,1.0,0.0,0.0,0.0
virology,0.65,0.0,0.15,0.2
world_religions,0.7777777777777778,0.2222222222222222,0.0,0.0
Mean,0.6284540655880672,0.1465977738269353,0.06662371156185361,0.1583244490231439
