Dataset,A,B,C,D
anatomy,0.8974358974358975,0.4444444444444444,0.6086956521739131,0.631578947368421
astronomy,0.851063829787234,0.6538461538461539,0.5862068965517241,0.7272727272727273
business_ethics,0.8620689655172413,0.6363636363636364,0.6153846153846154,0.6875
clinical_knowledge,0.91,0.6388888888888888,0.5625,0.5227272727272727
college_biology,0.868421052631579,0.6521739130434783,0.5,0.6551724137931034
college_chemistry,0.8181818181818182,0.5882352941176471,0.4166666666666667,0.6666666666666666
college_computer_science,0.8928571428571429,0.0,0.45454545454545453,0.7586206896551724
college_mathematics,0.8,0.3,0.5,0.896551724137931
college_physics,0.8928571428571429,0.4375,0.2857142857142857,0.6666666666666666
computer_security,0.9354838709677419,0.4117647058823529,0.3076923076923077,0.47368421052631576
econometrics,0.8461538461538461,0.6842105263157895,0.75,0.7435897435897436
electrical_engineering,0.9210526315789473,0.7037037037037037,0.6,0.34615384615384615
elementary_mathematics,0.8380952380952381,0.43859649122807015,0.3018867924528302,0.5730337078651685
formal_logic,0.9,0.5555555555555556,0.5454545454545454,0.64
global_facts,0.926829268292683,0.4444444444444444,0.45,0.4
high_school_biology,0.9620253164556962,0.5660377358490566,0.6078431372549019,0.676923076923077
high_school_chemistry,0.8378378378378378,0.4230769230769231,0.56,0.5128205128205128
high_school_computer_science,0.8181818181818182,0.6666666666666666,0.23076923076923078,0.75
high_school_european_history,0.8979591836734694,0.48,0.55,0.47368421052631576
high_school_geography,0.8032786885245902,0.6756756756756757,0.5483870967741935,0.6451612903225806
high_school_government_and_politics,0.9056603773584906,0.7222222222222222,0.6666666666666666,0.6470588235294118
high_school_macroeconomics,0.832,0.47619047619047616,0.5510204081632653,0.5733333333333334
high_school_microeconomics,0.8734177215189873,0.5526315789473685,0.43333333333333335,0.6
high_school_physics,0.84375,0.47058823529411764,0.4074074074074074,0.7741935483870968
high_school_psychology,0.8780487804878049,0.6296296296296297,0.691358024691358,0.6626506024096386
high_school_statistics,0.8717948717948718,0.5555555555555556,0.5333333333333333,0.7903225806451613
high_school_us_history,0.9076923076923077,0.5813953488372093,0.5384615384615384,0.4666666666666667
high_school_world_history,0.953125,0.5909090909090909,0.6666666666666666,0.5111111111111111
human_aging,0.927536231884058,0.6136363636363636,0.5862068965517241,0.6578947368421053
human_sexuality,0.8863636363636364,0.45,0.6818181818181818,0.5
international_law,0.9615384615384616,0.6923076923076923,0.9545454545454546,0.6538461538461539
jurisprudence,0.9032258064516129,0.5555555555555556,0.7142857142857143,0.875
logical_fallacies,0.9423076923076923,0.6666666666666666,0.6086956521739131,0.7407407407407407
machine_learning,0.8837209302325582,0.2857142857142857,0.2727272727272727,0.5833333333333334
management,0.9375,0.631578947368421,0.7368421052631579,0.8571428571428571
marketing,0.796875,0.76,0.8055555555555556,0.7894736842105263
medical_genetics,0.9642857142857143,0.625,0.6153846153846154,0.6086956521739131
miscellaneous,0.9070796460176991,0.6423841059602649,0.6016260162601627,0.625
moral_disputes,0.8846153846153846,0.8307692307692308,0.711864406779661,0.6666666666666666
moral_scenarios,1.0,0.0,0.0,0.0
nutrition,0.8666666666666667,0.723404255319149,0.5945945945945946,0.660377358490566
professional_accounting,0.7894736842105263,0.5789473684210527,0.48484848484848486,0.5517241379310345
professional_medicine,0.8604651162790697,0.38095238095238093,0.35294117647058826,0.37037037037037035
professional_psychology,0.9038461538461539,0.7678571428571429,0.46808510638297873,0.46938775510204084
public_relations,0.9166666666666666,0.5,0.5,0.3333333333333333
security_studies,1.0,1.0,0.5,0.8181818181818182
sociology,1.0,1.0,0.42857142857142855,0.2857142857142857
us_foreign_policy,1.0,1.0,0.6,0.8
virology,1.0,0.3333333333333333,0.4444444444444444,0.5555555555555556
world_religions,1.0,0.9166666666666666,0.75,0.5833333333333334
Mean,0.8957331443322949,0.5402536565694278,0.512569724143479,0.5638529421241625
