Dataset,A,B,C,D
anatomy,-0.007472124180533668,-0.08223915270417706,0.05170844626428278,0.038002830620427974
astronomy,-0.002389740901199061,-0.03594061406400073,0.024067647961644595,0.014262707003555225
business_ethics,0.0012924489812460027,0.004407015984418117,0.016339494692339418,-0.022038959658003565
clinical_knowledge,0.002438806651875902,-0.03035048691479328,0.01595375481276931,0.01195792545014801
college_biology,0.020327014524467224,-0.07312820749207204,0.03069106774167374,0.022110125225931032
college_chemistry,0.007397429258516136,-0.053881481882082666,0.024207449835060235,0.02227660278850635
college_computer_science,0.024739716342830537,-0.05607108905664236,0.006139280164013022,0.025192092549798817
college_mathematics,-0.017567263291611596,-0.04695321449549904,0.02475757702768311,0.039762900759427566
college_physics,0.05210648277077157,-0.04776267849081514,-0.02219817964429216,0.017854375364335734
computer_security,0.028350785024538944,-0.048742291550722544,0.027366722763241785,-0.006975216237058102
econometrics,0.032005314741208546,0.01622398044542192,-0.045138139077367787,-0.0030911561092627216
electrical_engineering,0.020233377726661256,-0.021492836242292535,-0.0020628864937694558,0.0033223450094006513
elementary_mathematics,0.016445504917472986,-0.014711064172769586,-0.011106702537712884,0.00937226179300947
formal_logic,0.008619662908158618,-0.04148838594514105,0.011058327046302205,0.021810395990680242
global_facts,0.040917112791002797,-0.04026296111160252,0.016961909561050953,-0.017616061240451272
high_school_biology,-0.004601104716479121,-0.03681477288122051,0.02785131794140741,0.013564559656292247
high_school_chemistry,0.0035150904904557023,-0.021326194686705713,0.011647068498110424,0.006164035698139558
high_school_computer_science,-0.006667683179759576,-0.014308332030242593,0.0041539088109971145,0.01682210639900511
high_school_european_history,-0.004232851397400594,-0.0584947989447388,0.040845692826248614,0.021881957515890754
high_school_geography,-0.006638965480346232,-0.03040560589772001,0.035876996569332575,0.0011675748087336402
high_school_government_and_politics,-0.008118649983373305,-0.04016982985673048,0.03247005640954079,0.015818423430563028
high_school_macroeconomics,0.03157597701717993,-0.04724169691549365,-0.0007264556412411582,0.016392175539554854
high_school_microeconomics,-0.010847211416927016,-0.026127885804224538,0.02019486937818049,0.016780227842971063
high_school_physics,0.009915482593444408,-0.04871032332999452,0.02993510153836565,0.008859739198184446
high_school_psychology,-0.004785882908873607,-0.03156140482519082,0.029564788520967666,0.006782499213096649
high_school_statistics,0.02320139422699294,-0.044183026034249284,0.0029417576703792414,0.018039874136877132
high_school_us_history,-0.00010472589606638771,-0.041221265233092635,0.017899779978833463,0.02342621115032567
high_school_world_history,-0.009838909392297701,-0.0605055945618552,0.0338355851037985,0.03650891885035437
human_aging,0.02181612631572155,0.0019692471574260517,0.0270664094806575,-0.050851782953805075
human_sexuality,0.028719442573117315,-0.007820912714599282,-0.011889721701223821,-0.009008808157294323
international_law,-0.004087515140547282,-0.010430549607675782,0.032958033374518136,-0.018439968626295072
jurisprudence,-0.016156426828973336,-0.026258909461388785,0.04959269270839792,-0.0071773564180357685
logical_fallacies,0.0006208390107326489,-0.0714076604627926,0.03953469699850318,0.03125212445355677
machine_learning,0.05210048599021595,-0.030306962702950316,-0.01756924064187021,-0.004224282645395441
management,-0.029600738961764184,-0.053463809233016385,0.05809734176413989,0.024967206430640876
marketing,-0.011824303064776887,-0.017310043849165346,0.0300136090465683,-0.000879262132626013
medical_genetics,-0.03101412883079771,-0.0036335942699242674,0.029654085654959805,0.004993637445762145
miscellaneous,-0.008782713756232519,-0.020801961267317565,0.023011722742610097,0.006572952280939903
moral_disputes,0.011414776631557766,-0.026684774440020598,0.01913107542306086,-0.0038610776145980574
moral_scenarios,0.017303902000510064,-0.009307152715446063,-0.004454899242753468,-0.0035418500423105327
nutrition,0.016669613783376613,-0.04026104209182402,0.016882599433601653,0.006708828874845696
professional_accounting,0.035228815760513454,0.007511447389851933,-0.008570358751604112,-0.03416990439876123
professional_medicine,0.07353024980931497,-0.03634594545956282,-0.00014032879667921772,-0.03704397555307297
professional_psychology,0.040369509099668605,-0.03261408640472427,0.010175636255216697,-0.01793105895016095
public_relations,0.020725886019642314,-0.005550957226038961,0.0030398879727052686,-0.01821481676630865
security_studies,0.06232337576924482,0.029834518178877584,0.014478331089465724,-0.10663622503758809
sociology,0.05702648198614557,0.0340291435013331,-0.016270812406813995,-0.07478481308066466
us_foreign_policy,-0.07111679312104213,-0.03527815935690404,0.0036564275761773735,0.10273852490176877
virology,0.05539805539260412,-0.02363156052690596,-0.0052859644956683716,-0.02648053037002973
world_religions,-0.061831468965697606,0.002220566152785236,0.007937189282468726,0.051673713530443754
Mean,0.009135851663221546,-0.029074692282555215,0.015359647981581721,0.004579192637751933
Std,0.021315135487256442,0.020554838887100163,0.018428422425437914,0.02112249405533013
