Dataset,0,1,2,3
anatomy,0.3793103448275862,0.22413793103448276,0.1206896551724138,0.27586206896551724
astronomy,0.3522727272727273,0.19318181818181818,0.22727272727272727,0.22727272727272727
business_ethics,0.40540540540540543,0.2972972972972973,0.13513513513513514,0.16216216216216217
clinical_knowledge,0.5267175572519084,0.09923664122137404,0.15267175572519084,0.22137404580152673
college_biology,0.3717948717948718,0.21794871794871795,0.1282051282051282,0.28205128205128205
college_chemistry,0.3584905660377358,0.18867924528301888,0.1320754716981132,0.32075471698113206
college_computer_science,0.3709677419354839,0.0967741935483871,0.11290322580645161,0.41935483870967744
college_mathematics,0.07407407407407407,0.24074074074074073,0.25925925925925924,0.42592592592592593
college_physics,0.32727272727272727,0.14545454545454545,0.05454545454545454,0.4727272727272727
computer_security,0.5531914893617021,0.14893617021276595,0.06382978723404255,0.23404255319148937
econometrics,0.24324324324324326,0.13513513513513514,0.12162162162162163,0.5
electrical_engineering,0.35714285714285715,0.2571428571428571,0.24285714285714285,0.14285714285714285
elementary_mathematics,0.2692307692307692,0.14903846153846154,0.22115384615384615,0.3605769230769231
formal_logic,0.24675324675324675,0.33766233766233766,0.14285714285714285,0.2727272727272727
global_facts,0.5789473684210527,0.08771929824561403,0.22807017543859648,0.10526315789473684
high_school_biology,0.3618421052631579,0.15789473684210525,0.16447368421052633,0.3157894736842105
high_school_chemistry,0.41025641025641024,0.15384615384615385,0.19658119658119658,0.23931623931623933
high_school_computer_science,0.37735849056603776,0.2830188679245283,0.1320754716981132,0.20754716981132076
high_school_european_history,0.5571428571428572,0.12857142857142856,0.1,0.21428571428571427
high_school_geography,0.4358974358974359,0.2564102564102564,0.08974358974358974,0.21794871794871795
high_school_government_and_politics,0.5277777777777778,0.125,0.1527777777777778,0.19444444444444445
high_school_macroeconomics,0.36363636363636365,0.17727272727272728,0.18181818181818182,0.2772727272727273
high_school_microeconomics,0.5,0.11206896551724138,0.11206896551724138,0.27586206896551724
high_school_physics,0.26744186046511625,0.23255813953488372,0.1744186046511628,0.32558139534883723
high_school_psychology,0.5091743119266054,0.1834862385321101,0.13302752293577982,0.1743119266055046
high_school_statistics,0.1724137931034483,0.23275862068965517,0.11206896551724138,0.4827586206896552
high_school_us_history,0.4823529411764706,0.17647058823529413,0.15294117647058825,0.18823529411764706
high_school_world_history,0.5647058823529412,0.1411764705882353,0.12941176470588237,0.16470588235294117
human_aging,0.56,0.21,0.11,0.12
human_sexuality,0.4782608695652174,0.15942028985507245,0.14492753623188406,0.21739130434782608
international_law,0.3055555555555556,0.16666666666666666,0.3333333333333333,0.19444444444444445
jurisprudence,0.43103448275862066,0.22413793103448276,0.1206896551724138,0.22413793103448276
logical_fallacies,0.5068493150684932,0.1780821917808219,0.1095890410958904,0.2054794520547945
machine_learning,0.5614035087719298,0.07017543859649122,0.08771929824561403,0.2807017543859649
management,0.5,0.15789473684210525,0.2631578947368421,0.07894736842105263
marketing,0.5,0.3064516129032258,0.06451612903225806,0.12903225806451613
medical_genetics,0.4864864864864865,0.13513513513513514,0.08108108108108109,0.2972972972972973
miscellaneous,0.45874587458745875,0.19471947194719472,0.18151815181518152,0.16501650165016502
moral_disputes,0.25,0.20967741935483872,0.22580645161290322,0.31451612903225806
moral_scenarios,0.7296786389413988,0.07750472589792061,0.08695652173913043,0.10586011342155009
nutrition,0.3925233644859813,0.16822429906542055,0.14953271028037382,0.2897196261682243
professional_accounting,0.4594594594594595,0.15315315315315314,0.2072072072072072,0.18018018018018017
professional_medicine,0.5,0.15,0.16666666666666666,0.18333333333333332
professional_psychology,0.6166666666666667,0.14166666666666666,0.13333333333333333,0.10833333333333334
public_relations,0.5789473684210527,0.2631578947368421,0.10526315789473684,0.05263157894736842
security_studies,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.7777777777777778
sociology,0.5,0.125,0.125,0.25
us_foreign_policy,0.0,1.0,0.0,0.0
virology,0.2222222222222222,0.0,0.4444444444444444,0.3333333333333333
world_religions,0.5,0.5,0.0,0.0
Mean,0.45056421556062615,0.1739912152216865,0.14877298409779005,0.2266715851198972
