Dataset,0,1,2,3
anatomy,-0.07121801471533717,-0.029455211800753667,0.02123210078738677,0.0794411257287041
astronomy,-0.011457842767080978,0.005886549623010134,-0.007602734510907538,0.013174027654978326
business_ethics,0.003187648634744966,0.016250487385132073,0.002790354436928766,-0.022228490456805805
clinical_knowledge,-0.010305006653130583,-0.02296124886892284,0.011569045972743358,0.021697209549310065
college_biology,-0.023393774776154924,-0.01967770121928117,-0.0008481322040401196,0.043919608199476184
college_chemistry,0.0407461654609029,-0.03534309966244545,-0.012723357859990195,0.007320292061532785
college_computer_science,-0.01869365603143215,-0.005829643011416585,-0.010847560146835702,0.03537085918968448
college_mathematics,-0.04038646497460041,-0.012836589391025943,0.01028669447648814,0.04293635988913824
college_physics,-0.01416166495864346,-0.055955263128230626,0.008077261682434445,0.0620396664044397
computer_security,-0.019871624140927052,0.002739065426867665,0.0004902044306106801,0.016642354283448735
econometrics,0.05089987687771405,-0.03382632298843369,-0.011633285383555292,-0.0054402685057250155
electrical_engineering,-0.00409400664774856,0.00706016484362193,-0.00696117166493887,0.003995013469065445
elementary_mathematics,-0.02590429828825659,0.009657360205661894,0.0009874105291508284,0.015259527553443883
formal_logic,-0.03692552351916206,-0.028579914063273204,0.022489095241915724,0.04301634234051949
global_facts,0.005869630687180244,-0.01941191178110281,0.019659750796884146,-0.00611746970296162
high_school_biology,0.0051975946576072185,0.006058298323509681,-0.008888733008250327,-0.0023671599728664616
high_school_chemistry,-0.0026667613510229227,-0.011499462712897646,-6.401814944170803e-05,0.014230242213362304
high_school_computer_science,0.014437229869028595,-0.0005469777705754408,-0.013310143921735879,-0.0005801081767171645
high_school_european_history,-0.03953325270786784,0.00023938645235765943,0.021909427605291854,0.01738443865021827
high_school_geography,-0.004535443060775551,-0.011444646018688637,-0.008900313369525209,0.024880402448989425
high_school_government_and_politics,-0.006817718197210998,0.0006725418274861894,0.0036649427420200054,0.0024802336277047476
high_school_macroeconomics,-0.00423133158095132,-0.014448678013851995,-0.008200675243324351,0.026880684838127666
high_school_microeconomics,-0.001602010167082113,-0.03080092000820145,0.011019033070224754,0.02138389710505889
high_school_physics,-0.051875512747578234,-0.0221390180403499,0.031219189469399944,0.04279534131852822
high_school_psychology,0.008818659278168273,-0.010519681208648435,-0.006847614256743018,0.008548636187223235
high_school_statistics,-0.01122578022745803,-0.0020900341438158387,-0.026645001684520664,0.03996081605579452
high_school_us_history,-0.017594572391677166,0.008895214830894949,0.006382246931916469,0.0023171106288656373
high_school_world_history,-0.002987324894077409,-0.011051759702716546,0.006945534095416733,0.007093550501377138
human_aging,0.00041193219277999016,-0.01957006396126451,0.010352729070141703,0.008805402698342846
human_sexuality,0.007152054101777161,-0.013377848325038383,-0.008033858685289635,0.014259652908550913
international_law,-0.005890263151867636,-0.013261651364911586,-0.0010784093596629685,0.020230323876442247
jurisprudence,0.03520503478669482,-0.00584506993184819,-0.039814520576548995,0.010454555721702508
logical_fallacies,-0.020805622731027096,-0.023507166900827797,0.005285797297060635,0.03902699233479426
machine_learning,0.011464257688177354,0.0026962746710614827,-0.01182776061273888,-0.002332771746499873
management,-0.04213684007114593,-0.03966550461070639,0.02080346000142924,0.06099888468042314
marketing,0.012674278959881213,-0.0131474105770647,0.010458823439882747,-0.00998569182269915
medical_genetics,0.025344900157298567,-0.030619156689129484,-0.0070194528926421085,0.012293709424473165
miscellaneous,-0.026426130159114658,0.004586254837628534,-0.0006879420220509136,0.022527817343536982
moral_disputes,-0.003428580459466174,-0.03015911579890629,0.003344436739295853,0.030243259519076582
moral_scenarios,-0.023368896099460412,0.019647315602458804,0.0025635222477902175,0.001158058249211405
nutrition,-0.008918073646789343,-0.002688795368215452,-0.006460567229575609,0.018067436244580404
professional_accounting,0.025398453352324907,-0.029686924693375916,-0.0022929535460529393,0.006581424887103948
professional_medicine,0.0025816780919785676,-0.03046534616921137,0.00532193399689998,0.022561734080332768
professional_psychology,-0.012980272396106468,-0.018987267591212775,0.015389629029698537,0.01657791095762076
public_relations,-0.014871134238505307,0.00737538998905124,0.025015256759827242,-0.01751951251037323
security_studies,0.002221479031575546,0.015399572055896926,0.003878615731802426,-0.021499666819274843
sociology,-0.012153299652839955,0.004535578056477696,0.004858209755745024,0.002759511840617207
us_foreign_policy,-0.05066412643657506,-0.056013949165042515,0.02921068895077994,0.07746738665083763
virology,-0.004718017422991799,0.024811670109487927,-0.08191308597749897,0.06181943329100292
world_religions,-0.023215658184163657,0.03314286165631394,-0.009719136132655404,-0.00020806733949488287
Mean,-0.00948313030995465,-0.00798043156527185,0.0008923793126171112,0.016571182562609397
Std,0.02006558430486515,0.017402981605607222,0.012607507652977605,0.017981378312871513
