Dataset,A,B,C,D
anatomy,0.4418604651162791,0.0,0.47674418604651164,0.08139534883720931
astronomy,0.6126126126126126,0.0,0.21621621621621623,0.17117117117117117
business_ethics,0.4915254237288136,0.06779661016949153,0.3220338983050847,0.11864406779661017
clinical_knowledge,0.4620253164556962,0.0189873417721519,0.3987341772151899,0.12025316455696203
college_biology,0.5777777777777777,0.022222222222222223,0.2111111111111111,0.18888888888888888
college_chemistry,0.6911764705882353,0.014705882352941176,0.20588235294117646,0.08823529411764706
college_computer_science,0.5588235294117647,0.04411764705882353,0.3382352941176471,0.058823529411764705
college_mathematics,0.85,0.0,0.11666666666666667,0.03333333333333333
college_physics,0.6714285714285714,0.0,0.2,0.12857142857142856
computer_security,0.43103448275862066,0.034482758620689655,0.46551724137931033,0.06896551724137931
econometrics,0.5538461538461539,0.046153846153846156,0.26153846153846155,0.13846153846153847
electrical_engineering,0.7894736842105263,0.010526315789473684,0.2,0.0
elementary_mathematics,0.4646017699115044,0.004424778761061947,0.46017699115044247,0.07079646017699115
formal_logic,0.75,0.03571428571428571,0.13095238095238096,0.08333333333333333
global_facts,0.6363636363636364,0.0,0.3484848484848485,0.015151515151515152
high_school_biology,0.5287958115183246,0.041884816753926704,0.2094240837696335,0.2198952879581152
high_school_chemistry,0.6330935251798561,0.007194244604316547,0.2589928057553957,0.10071942446043165
high_school_computer_science,0.578125,0.046875,0.34375,0.03125
high_school_european_history,0.21052631578947367,0.16842105263157894,0.4,0.22105263157894736
high_school_geography,0.6356589147286822,0.031007751937984496,0.24806201550387597,0.08527131782945736
high_school_government_and_politics,0.5892857142857143,0.13392857142857142,0.15178571428571427,0.125
high_school_macroeconomics,0.6470588235294118,0.054901960784313725,0.17647058823529413,0.12156862745098039
high_school_microeconomics,0.6666666666666666,0.047619047619047616,0.1564625850340136,0.1292517006802721
high_school_physics,0.59375,0.0,0.3125,0.09375
high_school_psychology,0.5303030303030303,0.021212121212121213,0.3303030303030303,0.11818181818181818
high_school_statistics,0.6716417910447762,0.014925373134328358,0.20149253731343283,0.11194029850746269
high_school_us_history,0.019417475728155338,0.32038834951456313,0.2815533980582524,0.3786407766990291
high_school_world_history,0.1328125,0.21875,0.296875,0.3515625
human_aging,0.5303030303030303,0.03787878787878788,0.3333333333333333,0.09848484848484848
human_sexuality,0.4166666666666667,0.023809523809523808,0.44047619047619047,0.11904761904761904
international_law,0.5211267605633803,0.04225352112676056,0.38028169014084506,0.056338028169014086
jurisprudence,0.5882352941176471,0.058823529411764705,0.22058823529411764,0.1323529411764706
logical_fallacies,0.6915887850467289,0.06542056074766354,0.18691588785046728,0.056074766355140186
machine_learning,0.4925373134328358,0.014925373134328358,0.40298507462686567,0.08955223880597014
management,0.5714285714285714,0.031746031746031744,0.3333333333333333,0.06349206349206349
marketing,0.5319148936170213,0.07092198581560284,0.3404255319148936,0.05673758865248227
medical_genetics,0.3333333333333333,0.018518518518518517,0.46296296296296297,0.18518518518518517
miscellaneous,0.4895397489539749,0.03347280334728033,0.41422594142259417,0.06276150627615062
moral_disputes,0.7142857142857143,0.07373271889400922,0.12903225806451613,0.08294930875576037
moral_scenarios,0.5687285223367697,0.048109965635738834,0.38316151202749144,0.0
nutrition,0.5521472392638037,0.04294478527607362,0.3374233128834356,0.06748466257668712
professional_accounting,0.43609022556390975,0.08270676691729323,0.39849624060150374,0.08270676691729323
professional_medicine,0.0963855421686747,0.012048192771084338,0.7469879518072289,0.14457831325301204
professional_psychology,0.48344370860927155,0.059602649006622516,0.3708609271523179,0.08609271523178808
public_relations,0.15,0.1,0.7,0.05
security_studies,0.4,0.0,0.1,0.5
sociology,0.1,0.1,0.0,0.8
us_foreign_policy,0.0,0.1111111111111111,0.3333333333333333,0.5555555555555556
virology,0.05263157894736842,0.0,0.5789473684210527,0.3684210526315789
world_religions,0.25,0.05,0.6,0.1
Mean,0.5212160301382612,0.050575531072026364,0.318545455962583,0.10966298282712944
